id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,league,season
565bf0da,1,David Abraham,ARG,DF,Eint Frankfurt,31,1986,25.6,40,32,29,10,1,27,36,75.0,9,29,15,14,40,80,141,1,Matches,GER-BL1,17-18
1c08a3c8,2,Amir Abrashi,ALB,MF,Freiburg,27,1990,9.4,35,32,15,18,2,16,23,69.6,7,22,5,17,19,54,20,0,Matches,GER-BL1,17-18
f71890f5,3,René Adler,GER,GK,Mainz 05,32,1985,14.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,1,Matches,GER-BL1,17-18
74ced675,4,Ailton,BRA,"DF,MF",Stuttgart,22,1995,1.2,8,5,3,5,0,4,8,50.0,4,5,0,5,2,10,5,0,Matches,GER-BL1,17-18
89ac64a6,5,Manuel Akanji,SUI,DF,Dortmund,22,1995,10.0,22,15,14,8,0,15,17,88.2,2,11,4,7,7,29,43,2,Matches,GER-BL1,17-18
debc2f28,6,Chadrac Akolo,COD,"MF,FW",Stuttgart,22,1995,12.2,20,14,3,12,5,6,14,42.9,8,19,0,19,5,25,5,0,Matches,GER-BL1,17-18
6ec6fde0,7,Kevin Akpoguma,NGA,DF,Hoffenheim,22,1995,18.8,47,39,29,16,2,24,35,68.6,11,18,4,14,22,69,60,1,Matches,GER-BL1,17-18
05439de2,8,David Alaba,AUT,DF,Bayern Munich,25,1992,17.2,23,14,11,9,3,14,20,70.0,6,21,6,15,10,33,23,0,Matches,GER-BL1,17-18
834d0be5,9,Lucas Alario,ARG,FW,Leverkusen,24,1992,17.2,16,10,2,12,2,3,8,37.5,5,17,4,13,4,20,16,0,Matches,GER-BL1,17-18
d459281d,10,Miiko Albornoz,CHI,"DF,MF",Hannover 96,26,1990,7.8,24,20,17,4,3,11,16,68.8,5,15,2,13,5,29,23,0,Matches,GER-BL1,17-18
77e84962,11,Thiago Alcántara,ESP,"MF,FW",Bayern Munich,26,1991,13.9,45,35,11,25,9,15,26,57.7,11,22,3,19,27,72,6,1,Matches,GER-BL1,17-18
2930c9d8,12,Stephan Ambrosius,GHA,DF,Hamburger SV,18,1998,0.5,0,0,0,0,0,0,0,,0,2,1,1,1,1,4,0,Matches,GER-BL1,17-18
555d5edd,13,Nadiem Amiri,GER,MF,Hoffenheim,20,1996,19.4,39,26,13,21,5,19,42,45.2,23,33,4,29,17,56,7,0,Matches,GER-BL1,17-18
5e66fa06,14,Waldemar Anton,GER,"DF,MF",Hannover 96,21,1996,25.3,65,49,39,21,5,41,65,63.1,24,56,27,29,39,104,112,3,Matches,GER-BL1,17-18
c311243f,15,Dennis Aogo,GER,"MF,DF",Stuttgart,30,1987,21.7,35,26,17,18,0,14,22,63.6,8,27,3,24,29,64,27,1,Matches,GER-BL1,17-18
56413b1f,16,Charles Aránguiz,CHI,MF,Leverkusen,28,1989,25.6,75,61,17,50,8,33,62,53.2,29,46,5,41,48,123,27,2,Matches,GER-BL1,17-18
86e119e0,17,Maximilian Arnold,GER,MF,Wolfsburg,23,1994,27.3,51,41,23,23,5,25,57,43.9,32,31,4,27,28,79,34,0,Matches,GER-BL1,17-18
c21fb312,18,Jann-Fiete Arp,GER,"FW,MF",Hamburger SV,17,2000,9.4,7,5,0,3,4,1,7,14.3,6,6,0,6,2,9,7,0,Matches,GER-BL1,17-18
13ddc856,19,Takuma Asano,JPN,"FW,MF",Stuttgart,22,1994,8.0,7,5,3,3,1,2,8,25.0,6,7,0,7,3,10,2,0,Matches,GER-BL1,17-18
e26fcca3,20,Santiago Ascacíbar,ARG,MF,Stuttgart,20,1997,26.5,91,65,41,43,7,41,74,55.4,33,45,10,35,47,138,38,1,Matches,GER-BL1,17-18
dfc85b89,21,Simon Asta,GER,MF,Augsburg,16,2001,0.1,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,0,0,Matches,GER-BL1,17-18
d5dd5f1f,22,Pierre-Emerick Aubameyang,GAB,FW,Dortmund,28,1989,15.7,5,5,1,1,3,2,8,25.0,6,16,1,15,3,8,1,0,Matches,GER-BL1,17-18
97bfa797,23,Jean-Kévin Augustin,FRA,FW,RB Leipzig,20,1997,14.1,16,11,4,11,1,3,7,42.9,4,17,1,16,4,20,4,0,Matches,GER-BL1,17-18
9fec8860,24,Ludwig Augustinsson,SWE,"DF,FW",Werder Bremen,23,1994,28.1,45,34,22,20,3,22,32,68.8,10,25,3,22,39,84,53,0,Matches,GER-BL1,17-18
3963c25b,25,Yann Aurel Bisseck,GER,"DF,MF",Köln,16,2000,1.7,2,2,2,0,0,1,1,100.0,0,1,1,0,3,5,8,0,Matches,GER-BL1,17-18
45b7edae,26,Holger Badstuber,GER,"DF,MF",Stuttgart,28,1989,24.1,44,32,29,14,1,22,39,56.4,17,27,14,13,41,85,111,4,Matches,GER-BL1,17-18
f261abcb,27,Daniel Baier,GER,MF,Augsburg,33,1984,28.2,83,62,38,40,5,46,83,55.4,37,26,5,21,57,140,41,1,Matches,GER-BL1,17-18
3a233281,28,Leon Bailey,JAM,"FW,DF",Leverkusen,19,1997,24.6,16,12,7,4,5,8,13,61.5,5,28,0,28,15,31,6,0,Matches,GER-BL1,17-18
04c11885,29,Marvin Bakalorz,GER,MF,Hannover 96,27,1989,22.8,44,25,19,23,2,22,37,59.5,15,38,7,31,20,64,46,1,Matches,GER-BL1,17-18
442b56fa,30,Ridle Baku,GER,MF,Mainz 05,19,1998,2.6,3,3,1,1,1,0,1,0.0,1,3,0,3,3,6,2,0,Matches,GER-BL1,17-18
78e68b4d,31,Leon Balogun,NGA,DF,Mainz 05,29,1988,13.0,39,32,27,11,1,22,31,71.0,9,21,9,12,32,71,64,0,Matches,GER-BL1,17-18
3f7cd8f1,32,Philipp Bargfrede,GER,MF,Werder Bremen,28,1989,20.7,60,45,29,30,1,33,55,60.0,22,35,12,23,47,107,52,0,Matches,GER-BL1,17-18
a2a85828,33,Aymen Barkok,MAR,"FW,MF",Eint Frankfurt,19,1998,3.5,11,11,6,4,1,5,7,71.4,2,8,2,6,2,13,3,0,Matches,GER-BL1,17-18
acc7b7ec,34,Fin Bartels,GER,FW,Werder Bremen,30,1987,12.5,12,9,4,3,5,4,12,33.3,8,5,1,4,7,19,1,1,Matches,GER-BL1,17-18
b742cc0d,35,Marc Bartra,ESP,DF,Dortmund,26,1991,9.0,28,19,16,12,0,15,24,62.5,9,14,2,12,28,56,43,1,Matches,GER-BL1,17-18
2973d8ff,36,Michy Batshuayi,BEL,FW,Dortmund,23,1993,9.3,8,6,1,4,3,2,4,50.0,2,4,0,4,0,8,5,0,Matches,GER-BL1,17-18
9b88e120,37,Robert Bauer,GER,"DF,FW",Werder Bremen,22,1995,10.6,31,25,21,9,1,15,25,60.0,10,8,2,6,21,52,25,2,Matches,GER-BL1,17-18
47064058,38,Oliver Baumann,GER,GK,Hoffenheim,27,1990,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,6,Matches,GER-BL1,17-18
bd7d2e6d,39,Timo Baumgartl,GER,DF,Stuttgart,21,1996,29.0,87,71,55,29,3,56,75,74.7,19,50,21,29,34,121,132,1,Matches,GER-BL1,17-18
69374ff5,40,Julian Baumgartlinger,AUT,"MF,DF",Leverkusen,29,1988,15.5,47,37,21,21,5,14,29,48.3,15,25,2,23,18,65,23,0,Matches,GER-BL1,17-18
fbbc8e15,41,Noah Joel Sarenren Bazee,NGA,"FW,MF",Hannover 96,20,1996,1.3,0,0,0,0,0,0,0,,0,3,0,3,0,0,3,0,Matches,GER-BL1,17-18
da59a197,42,Riechedly Bazoer,NED,MF,Wolfsburg,20,1996,6.6,8,7,5,2,1,2,4,50.0,2,2,1,1,8,16,4,1,Matches,GER-BL1,17-18
a53b661f,43,Ihlas Bebou,TOG,"MF,FW",Hannover 96,23,1994,23.8,37,29,15,17,5,14,27,51.9,13,34,3,31,24,61,27,0,Matches,GER-BL1,17-18
00a6485f,44,Andreas Beck,GER,DF,Stuttgart,30,1987,21.4,46,29,27,16,3,21,31,67.7,10,32,2,30,19,65,46,1,Matches,GER-BL1,17-18
ff182fdc,45,Ishak Belfodil,ALG,FW,Werder Bremen,25,1992,15.0,7,6,2,3,2,0,3,0.0,3,10,1,9,1,8,9,0,Matches,GER-BL1,17-18
857a5abe,46,Stefan Bell,GER,DF,Mainz 05,25,1991,24.2,36,25,23,13,0,27,39,69.2,12,35,18,17,46,82,123,2,Matches,GER-BL1,17-18
bee0bab1,47,Karim Bellarabi,GER,"MF,FW",Leverkusen,27,1990,12.7,22,17,10,9,3,10,19,52.6,9,26,1,25,13,35,5,0,Matches,GER-BL1,17-18
c50281a0,48,Lars Bender,GER,"DF,MF",Leverkusen,28,1989,17.7,63,52,26,32,5,35,53,66.0,18,34,7,27,28,91,40,0,Matches,GER-BL1,17-18
070ec0b1,49,Sven Bender,GER,DF,Leverkusen,28,1989,26.1,51,37,33,18,0,26,34,76.5,8,49,21,28,50,101,123,1,Matches,GER-BL1,17-18
