Season,Competition Name,# Squads,Champion,Top Scorer,url,Format
2024-2025,FRA-L1,18,,"Mason Greenwood, Bradley Barcola - 3",/en/comps/13/Ligue-1-Stats,round-robin
2023-2024,FRA-L1,18,Paris Saint-Germain - 76,Kylian Mbappé - 27,/en/comps/13/2023-2024/2023-2024-Ligue-1-Stats,round-robin
2022-2023,FRA-L1,20,Paris Saint-Germain - 85,Kylian Mbappé - 29,/en/comps/13/2022-2023/2022-2023-Ligue-1-Stats,round-robin
2021-2022,FRA-L1,20,Paris Saint-Germain - 86,Kylian Mbappé - 28,/en/comps/13/2021-2022/2021-2022-Ligue-1-Stats,round-robin
2020-2021,FRA-L1,20,Lille - 83,Kylian Mbappé - 27,/en/comps/13/2020-2021/2020-2021-Ligue-1-Stats,round-robin
2019-2020,FRA-L1,20,Paris Saint-Germain - 68,"Kylian Mbappé, Wissam Ben Yedder - 18",/en/comps/13/2019-2020/2019-2020-Ligue-1-Stats,round-robin
2018-2019,FRA-L1,20,Paris Saint-Germain - 91,Kylian Mbappé - 33,/en/comps/13/2018-2019/2018-2019-Ligue-1-Stats,round-robin
2017-2018,FRA-L1,20,Paris Saint-Germain - 93,Edinson Cavani - 28,/en/comps/13/2017-2018/2017-2018-Ligue-1-Stats,round-robin
2016-2017,FRA-L1,20,Monaco - 95,Edinson Cavani - 35,/en/comps/13/2016-2017/2016-2017-Ligue-1-Stats,round-robin
2015-2016,FRA-L1,20,Paris Saint-Germain - 96,Zlatan Ibrahimović - 38,/en/comps/13/2015-2016/2015-2016-Ligue-1-Stats,round-robin
2014-2015,FRA-L1,20,Paris Saint-Germain - 83,Alexandre Lacazette - 27,/en/comps/13/2014-2015/2014-2015-Ligue-1-Stats,round-robin
2013-2014,FRA-L1,20,Paris Saint-Germain - 89,Zlatan Ibrahimović - 26,/en/comps/13/2013-2014/2013-2014-Ligue-1-Stats,round-robin
2012-2013,FRA-L1,20,Paris Saint-Germain - 83,Zlatan Ibrahimović - 30,/en/comps/13/2012-2013/2012-2013-Ligue-1-Stats,round-robin
2011-2012,FRA-L1,20,Montpellier - 82,"Olivier Giroud, Nenê - 21",/en/comps/13/2011-2012/2011-2012-Ligue-1-Stats,round-robin
2010-2011,FRA-L1,20,Lille - 76,Moussa Sow - 25,/en/comps/13/2010-2011/2010-2011-Ligue-1-Stats,round-robin
2009-2010,FRA-L1,20,Marseille - 78,Mamadou Niang - 18,/en/comps/13/2009-2010/2009-2010-Ligue-1-Stats,round-robin
2008-2009,FRA-L1,20,Bordeaux - 80,André-Pierre Gignac - 24,/en/comps/13/2008-2009/2008-2009-Ligue-1-Stats,round-robin
2007-2008,FRA-L1,20,Lyon - 79,Karim Benzema - 20,/en/comps/13/2007-2008/2007-2008-Ligue-1-Stats,round-robin
2006-2007,FRA-L1,20,Lyon - 81,Pauleta - 15,/en/comps/13/2006-2007/2006-2007-Ligue-1-Stats,round-robin
2005-2006,FRA-L1,20,Lyon - 84,Pauleta - 21,/en/comps/13/2005-2006/2005-2006-Ligue-1-Stats,round-robin
2004-2005,FRA-L1,20,Lyon - 79,Alexander Frei - 20,/en/comps/13/2004-2005/2004-2005-Ligue-1-Stats,round-robin
2003-2004,FRA-L1,20,Lyon - 79,Djibril Cissé - 26,/en/comps/13/2003-2004/2003-2004-Ligue-1-Stats,round-robin
2002-2003,FRA-L1,20,Lyon - 68,Shabani Nonda - 26,/en/comps/13/2002-2003/2002-2003-Ligue-1-Stats,round-robin
2001-2002,FRA-L1,18,Lyon - 66,"Pauleta, Djibril Cissé - 22",/en/comps/13/2001-2002/2001-2002-Ligue-1-Stats,round-robin
2000-2001,FRA-L1,18,Nantes - 68,Sonny Anderson - 22,/en/comps/13/2000-2001/2000-2001-Ligue-1-Stats,round-robin
1999-2000,FRA-L1,18,Monaco - 65,Sonny Anderson - 23,/en/comps/13/1999-2000/1999-2000-Ligue-1-Stats,round-robin
1998-1999,FRA-L1,18,Bordeaux - 72,Sylvain Wiltord - 22,/en/comps/13/1998-1999/1998-1999-Ligue-1-Stats,round-robin
1997-1998,FRA-L1,18,Lens - 68,Stéphane Guivarc'h - 21,/en/comps/13/1997-1998/1997-1998-Ligue-1-Stats,round-robin
1996-1997,FRA-L1,20,Monaco - 79,Stéphane Guivarc'h - 22,/en/comps/13/1996-1997/1996-1997-Ligue-1-Stats,round-robin
1995-1996,FRA-L1,20,Auxerre - 72,Sonny Anderson - 21,/en/comps/13/1995-1996/1995-1996-Ligue-1-Stats,round-robin
