id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,league,season
bbe88396,1,Aly Abeid,MTN,DF,Levante,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,ESP-LALIGA,17-18
65d62814,2,Antonio Adán,ESP,GK,Betis,30,1987,30,30,2700,30.0,0,2,2,0,0,0,4,0,0.0,0.0,0.7,0.7,0,0,0,0.0,0.07,0.07,0.0,0.07,0.0,0.02,0.02,0.0,0.02,Matches,ESP-LALIGA,17-18
5890cef1,3,Aday,ESP,DF,Girona,29,1987,31,20,1835,20.4,2,0,2,1,1,2,10,0,2.8,1.3,1.6,2.9,82,61,156,0.1,0.0,0.1,0.05,0.05,0.14,0.08,0.22,0.06,0.14,Matches,ESP-LALIGA,17-18
293211e1,4,Aritz Aduriz,ESP,FW,Athletic Club,36,1981,33,21,2152,23.9,9,1,10,6,3,5,5,0,11.1,7.6,1.5,9.0,27,45,150,0.38,0.04,0.42,0.25,0.29,0.47,0.06,0.53,0.32,0.38,Matches,ESP-LALIGA,17-18
355c883a,5,Martin Agirregabiria,ESP,DF,Alavés,21,1996,21,20,1828,20.3,0,4,4,0,0,0,4,0,0.1,0.1,1.5,1.6,24,48,54,0.0,0.2,0.2,0.0,0.2,0.0,0.08,0.08,0.0,0.08,Matches,ESP-LALIGA,17-18
c84c1afc,6,Imanol Agirretxe,ESP,FW,Real Sociedad,30,1987,11,2,232,2.6,0,0,0,0,0,0,0,0,1.2,1.2,0.0,1.2,1,5,8,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,Matches,ESP-LALIGA,17-18
8617e3d9,7,Matías Aguirregaray,URU,DF,Las Palmas,28,1989,15,14,1153,12.8,0,0,0,0,0,0,3,0,0.6,0.6,0.6,1.2,23,57,49,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.1,0.05,0.1,Matches,ESP-LALIGA,17-18
c5eaff5c,8,Ager Aketxe,ESP,MF,Athletic Club,23,1993,3,0,37,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,6,3,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,ESP-LALIGA,17-18
7a4cd784,9,David Alba,ESP,DF,Getafe,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ESP-LALIGA,17-18
4601e194,10,Jordi Alba,ESP,DF,Barcelona,28,1989,33,30,2744,30.5,2,8,10,2,0,0,7,0,2.1,2.1,6.1,8.3,58,135,314,0.07,0.26,0.33,0.07,0.33,0.07,0.2,0.27,0.07,0.27,Matches,ESP-LALIGA,17-18
348e4809,11,Raúl Albentosa,ESP,DF,La Coruña,28,1988,20,19,1748,19.4,1,0,1,1,0,0,5,0,1.5,1.5,0.2,1.6,1,27,5,0.05,0.0,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08,Matches,ESP-LALIGA,17-18
a7a9d95a,12,Paco Alcácer,ESP,"MF,FW",Barcelona,23,1993,17,8,695,7.7,4,3,7,4,0,0,0,0,3.9,3.9,2.1,6.0,6,13,42,0.52,0.39,0.91,0.52,0.91,0.51,0.27,0.78,0.51,0.78,Matches,ESP-LALIGA,17-18
ba71d071,13,Pedro Alcalá,ESP,DF,Girona,28,1989,8,8,689,7.7,1,0,1,1,0,0,4,0,1.0,1.0,0.2,1.2,3,24,0,0.13,0.0,0.13,0.13,0.13,0.13,0.03,0.16,0.13,0.16,Matches,ESP-LALIGA,17-18
