id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
774cf58b,1,Max Aarons,ENG,DF,Norwich City,21,2000,34,2881,85,84.2,32.0,32,89,29,2,22,2,0.53,18,69,-51,-1.59,0.08,25.5,60.0,-34.6,-1.08,0.35,Matches,ENG-EPL,21-22
f586779e,2,Tammy Abraham,ENG,FW,Chelsea,23,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,ENG-EPL,21-22
f2bf1b0f,3,Che Adams,SCO,FW,Southampton,25,1996,30,2039,68,59.6,22.7,23,82,13,7,22,4,1.03,25,40,-15,-0.66,-0.08,28.5,36.1,-7.7,-0.34,0.16,Matches,ENG-EPL,21-22
c150b220,4,Tayo Adaramola,IRL,DF,Crystal Palace,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,ENG-EPL,21-22
f76e6b4e,5,Adrián,ESP,GK,Liverpool,34,1987,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,ENG-EPL,21-22
9b398aea,6,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,20,2001,23,1828,79,53.5,20.3,20,89,17,3,13,12,1.13,25,26,-1,-0.05,0.18,18.6,33.6,-15.0,-0.74,-0.49,Matches,ENG-EPL,21-22
a8c0acb7,7,Kristoffer Ajer,NOR,DF,Brentford,23,1998,24,1995,83,58.3,22.2,23,85,17,1,45,3,1.29,28,31,-3,-0.14,0.18,27.7,29.8,-2.1,-0.09,-0.05,Matches,ENG-EPL,21-22
eaeca114,8,Nathan Aké,NED,DF,Manchester City,26,1995,14,923,66,27.0,10.3,10,82,8,4,25,22,2.64,19,3,16,1.56,-0.49,20.3,5.3,15.0,1.46,-0.31,Matches,ENG-EPL,21-22
b827d5b3,9,Marc Albrighton,ENG,"FW,DF",Leicester City,31,1989,17,1132,67,33.1,12.6,11,90,11,6,24,17,1.35,17,24,-7,-0.56,-0.95,13.3,24.6,-11.3,-0.9,-0.89,Matches,ENG-EPL,21-22
77e84962,10,Thiago Alcántara,ESP,MF,Liverpool,30,1991,25,1534,61,44.9,17.0,17,80,5,8,22,1,2.64,43,7,36,2.11,0.59,42.7,10.9,31.9,1.87,0.77,Matches,ENG-EPL,21-22
