Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
1,Sat,2017-08-19,18:00,Juventus,1.1,3–0,1.4,Cagliari,39226,Allianz Stadium,Fabio Maresca,/en/matches/c6005f97/Juventus-Cagliari-August-19-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sat,2017-08-19,20:45,Hellas Verona,1.3,1–3,2.1,Napoli,15215,Stadio Marc'Antonio Bentegodi,Michael Fabbri,/en/matches/3a95d279/Hellas-Verona-Napoli-August-19-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sun,2017-08-20,18:00,Atalanta,1.5,0–1,0.4,Roma,19108,Stadio Atleti Azzurri d'Italia,Piero Giacomelli,/en/matches/634f9715/Atalanta-Roma-August-20-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sun,2017-08-20,20:45,Udinese,0.8,1–2,0.5,Chievo,13000,Dacia Arena,Claudio Gavillucci,/en/matches/41ef2446/Udinese-Chievo-August-20-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sun,2017-08-20,20:45,Inter,2.3,3–0,0.6,Fiorentina,51752,Stadio Giuseppe Meazza,Paolo Tagliavento,/en/matches/607c6fb5/Internazionale-Fiorentina-August-20-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sun,2017-08-20,20:45,Bologna,0.6,1–1,0.4,Torino,19033,Stadio Renato Dall'Ara,Davide Massa,/en/matches/7697c084/Bologna-Torino-August-20-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sun,2017-08-20,20:45,Sampdoria,2.7,2–1,0.9,Benevento,19223,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua,/en/matches/9456e693/Sampdoria-Benevento-August-20-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sun,2017-08-20,20:45,Crotone,0.4,0–3,1.8,Milan,13478,Stadio Ezio Scida,Maurizio Mariani,/en/matches/9bd2e3b1/Crotone-Milan-August-20-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sun,2017-08-20,20:45,Lazio,0.8,0–0,0.6,SPAL,25000,Stadio Olimpico,Rosario Abisso,/en/matches/c91aae8f/Lazio-SPAL-August-20-2017-Serie-A,,ITA-SERIA_A,17-18
1,Sun,2017-08-20,20:45,Sassuolo,0.5,0–0,0.9,Genoa,8134,Stadio Città del Tricolore,Antonio Damato,/en/matches/eafae14e/Sassuolo-Genoa-August-20-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sat,2017-08-26,18:00,Genoa,1.2,2–4,2.1,Juventus,26296,Stadio Comunale Luigi Ferraris,Luca Banti,/en/matches/bcf8af9e/Genoa-Juventus-August-26-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sat,2017-08-26,18:00,Benevento,0.9,0–1,1.7,Bologna,11054,Stadio Ciro Vigorito,Giampaolo Calvarese,/en/matches/cc6d08ce/Benevento-Bologna-August-26-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sat,2017-08-26,20:45,Roma,1.4,1–3,2.4,Inter,49388,Stadio Olimpico,Massimiliano Irrati,/en/matches/b8f79753/Roma-Internazionale-August-26-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sun,2017-08-27,18:00,Torino,1.1,3–0,0.8,Sassuolo,18289,Stadio Olimpico di Torino,Paolo Mazzoleni,/en/matches/35ece6cc/Torino-Sassuolo-August-27-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sun,2017-08-27,20:45,SPAL,1.5,3–2,1.2,Udinese,11000,Stadio Paolo Mazza,Paolo Valeri,/en/matches/588d7ade/SPAL-Udinese-August-27-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sun,2017-08-27,20:45,Napoli,1.2,3–1,0.9,Atalanta,35102,Stadio San Paolo,Marco Di Bello,/en/matches/5ad1604c/Napoli-Atalanta-August-27-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sun,2017-08-27,20:45,Crotone,0.8,0–0,0.2,Hellas Verona,9158,Stadio Ezio Scida,Marco Guida,/en/matches/637558a1/Crotone-Hellas-Verona-August-27-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sun,2017-08-27,20:45,Milan,1.4,2–1,0.7,Cagliari,49525,Stadio Giuseppe Meazza,Luca Pairetto,/en/matches/75ebe4c6/Milan-Cagliari-August-27-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sun,2017-08-27,20:45,Fiorentina,2.0,1–2,2.2,Sampdoria,25611,Stadio Artemio Franchi,Daniele Doveri,/en/matches/c0a267bc/Fiorentina-Sampdoria-August-27-2017-Serie-A,,ITA-SERIA_A,17-18
2,Sun,2017-08-27,20:45,Chievo,0.9,1–2,1.5,Lazio,10000,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,/en/matches/fe1b3ecb/Chievo-Lazio-August-27-2017-Serie-A,,ITA-SERIA_A,17-18
3,Sat,2017-09-09,18:00,Juventus,1.3,3–0,0.6,Chievo,39457,Allianz Stadium,Michael Fabbri,/en/matches/1025d70b/Juventus-Chievo-September-9-2017-Serie-A,,ITA-SERIA_A,17-18
3,Sun,2017-09-10,12:30,Inter,1.9,2–0,0.5,SPAL,57235,Stadio Giuseppe Meazza,Claudio Gavillucci,/en/matches/8815cfb6/Internazionale-SPAL-September-10-2017-Serie-A,,ITA-SERIA_A,17-18
