id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,league,season
32c2d95f,1,Yunis Abdelhamid,MAR,DF,Reims,33,1987,33.1,48,27,34,14,0,16,32,50.0,16,50,25,25,68,116,104,0,Matches,FRA-L1,21-22
82464ce3,2,Salis Abdul Samed,GHA,MF,Clermont Foot,21,2000,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0,Matches,FRA-L1,21-22
31626657,3,Laurent Abergel,FRA,MF,Lorient,28,1993,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,Matches,FRA-L1,21-22
469d3d84,4,Charles Abi,FRA,FW,Saint-Étienne,21,2000,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches,FRA-L1,21-22
0e46fa2f,5,Matthis Abline,FRA,FW,Rennes,18,2003,1.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches,FRA-L1,21-22
1e93fc5d,6,Mohamed Achi,FRA,MF,Nantes,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,FRA-L1,21-22
7587446d,7,Martin Adeline,FRA,"MF,FW",Reims,17,2003,3.9,15,11,5,8,2,8,16,50.0,8,0,0,0,11,26,6,0,Matches,FRA-L1,21-22
26777636,8,Yacine Adli,FRA,"MF,FW",Bordeaux,21,2000,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2,Matches,FRA-L1,21-22
8bc8829a,9,Lucien Agoume,FRA,MF,Brest,19,2002,20.8,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1,Matches,FRA-L1,21-22
288e1e13,10,Nayef Aguerd,MAR,DF,Rennes,25,1996,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1,Matches,FRA-L1,21-22
3dd738a1,11,Ruben Aguilar,FRA,DF,Monaco,28,1993,23.8,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0,Matches,FRA-L1,21-22
eab957a3,12,Anel Ahmedhodžić,BIH,DF,Bordeaux,22,1999,15.0,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0,Matches,FRA-L1,21-22
48b28bfd,13,Jean-Eudes Aholou,CIV,MF,Strasbourg,27,1994,11.2,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0,Matches,FRA-L1,21-22
462475ed,14,Ludovic Ajorque,FRA,FW,Strasbourg,27,1994,30.4,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1,Matches,FRA-L1,21-22
b625b241,15,Maghnes Akliouche,FRA,"MF,FW",Monaco,19,2002,0.6,2,0,0,2,0,0,1,0.0,1,2,0,2,0,2,0,0,Matches,FRA-L1,21-22
5314e067,16,Sofiane Alakouch,MAR,"DF,MF",Metz,23,1998,1.8,7,4,3,4,0,2,5,40.0,3,4,0,4,1,8,4,0,Matches,FRA-L1,21-22
3d738df0,17,Josué Albert,GUF,DF,Clermont Foot,29,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches,FRA-L1,21-22
9e17ccff,18,Doğan Alemdar,TUR,GK,Rennes,18,2002,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Matches,FRA-L1,21-22
f8405304,19,Mohamed Ali Cho,FRA,FW,Angers,17,2004,20.4,10,5,1,4,5,5,17,29.4,12,17,1,16,8,18,0,1,Matches,FRA-L1,21-22
1956b948,20,Jim Allevinah,GAB,FW,Clermont Foot,26,1995,16.5,18,13,8,8,2,5,18,27.8,13,11,0,11,6,24,4,0,Matches,FRA-L1,21-22
9260926b,21,Ibrahim Amadou,FRA,"DF,MF",Metz,28,1993,9.0,16,8,10,6,0,8,15,53.3,7,4,2,2,14,30,26,0,Matches,FRA-L1,21-22
22721b88,22,Jordan Amavi,FRA,DF,Nice,27,1994,4.6,16,10,8,7,1,10,17,58.8,7,3,1,2,15,31,7,0,Matches,FRA-L1,21-22
22721b88,23,Jordan Amavi,FRA,"DF,FW",Marseille,27,1994,1.4,6,5,3,1,2,5,10,50.0,5,1,0,1,1,7,3,0,Matches,FRA-L1,21-22
ef9c1c95,24,Benjamin André,FRA,MF,Lille,30,1990,30.6,123,69,49,65,9,51,113,45.1,62,49,11,38,50,173,56,0,Matches,FRA-L1,21-22
a5db0bec,25,Houssem Aouar,ALG,"MF,FW",Lyon,23,1998,27.8,46,30,9,25,12,27,54,50.0,27,26,1,25,20,66,5,0,Matches,FRA-L1,21-22
b94b8be1,26,Adil Aouchiche,FRA,"MF,FW",Saint-Étienne,19,2002,12.0,13,6,5,5,3,5,33,15.2,28,18,1,17,17,30,4,0,Matches,FRA-L1,21-22
feb5d3ab,27,Dennis Appiah,FRA,DF,Nantes,29,1992,23.3,55,34,35,18,2,28,48,58.3,20,30,13,17,27,82,74,0,Matches,FRA-L1,21-22
b026bbf6,28,Lorenz Assignon,TOG,DF,Rennes,21,2000,6.8,15,10,11,3,1,5,9,55.6,4,3,1,2,11,26,19,0,Matches,FRA-L1,21-22
6a827d8e,29,Youcef Atal,ALG,DF,Nice,25,1996,12.7,29,19,17,10,2,14,25,56.0,11,13,2,11,32,61,21,0,Matches,FRA-L1,21-22
97bfa797,30,Jean-Kévin Augustin,FRA,"FW,MF",Nantes,24,1997,0.9,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,0,0,Matches,FRA-L1,21-22
eaf71a5e,31,Karim Azamoum,FRA,DF,Troyes,31,1990,4.3,6,5,4,2,0,3,5,60.0,2,4,2,2,1,7,10,0,Matches,FRA-L1,21-22
114bbdee,32,Loïc Bade,FRA,DF,Rennes,21,2000,10.9,6,5,4,2,0,3,5,60.0,2,12,10,2,12,18,48,0,Matches,FRA-L1,21-22
06df8256,33,Benoît Badiashile,FRA,DF,Monaco,20,2001,20.4,36,19,21,15,0,14,23,60.9,9,18,12,6,28,64,68,1,Matches,FRA-L1,21-22
6a2b9aee,34,Youssouph Badji,SEN,"FW,MF",Brest,19,2001,1.5,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches,FRA-L1,21-22
5046b7d4,35,Stéphane Bahoken,CMR,FW,Angers,29,1992,12.2,13,8,2,7,4,1,9,11.1,8,15,0,15,3,16,3,0,Matches,FRA-L1,21-22
5065d67d,36,Dénys Bain,FRA,DF,Brest,28,1993,2.0,3,3,1,2,0,1,1,100.0,0,3,1,2,3,6,5,0,Matches,FRA-L1,21-22
be13e5a8,37,Stefan Bajic,FRA,GK,Saint-Étienne,19,2001,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,FRA-L1,21-22
0af4dcf0,38,Cédric Bakambu,COD,FW,Marseille,30,1991,4.0,2,0,1,0,1,0,3,0.0,3,2,0,2,0,2,1,0,Matches,FRA-L1,21-22
ee95585f,39,Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,18,2002,3.4,15,9,13,2,0,8,12,66.7,4,5,4,1,12,27,15,0,Matches,FRA-L1,21-22
2b5a35e5,40,Dilane Bakwa,FRA,"FW,MF",Bordeaux,18,2002,0.5,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches,FRA-L1,21-22
a30cb0d4,41,Ibrahima Baldé,FRA,"FW,MF",Lens,18,2003,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,FRA-L1,21-22
7c3ed041,42,Leonardo Balerdi,ARG,DF,Marseille,22,1999,10.6,9,6,9,0,0,5,14,35.7,9,11,4,7,19,28,30,0,Matches,FRA-L1,21-22
7fecbcdb,43,Abdoulaye Bamba,CIV,"DF,FW",Angers,31,1990,5.1,6,5,6,0,0,4,11,36.4,7,5,1,4,9,15,13,0,Matches,FRA-L1,21-22
b2bd0f6c,44,Jonathan Bamba,CIV,"MF,FW",Lille,25,1996,27.0,30,12,13,9,8,13,36,36.1,23,24,1,23,21,51,10,0,Matches,FRA-L1,21-22
be47b750,45,Simon Banza,COD,FW,Lens,24,1996,1.4,2,1,0,0,2,0,2,0.0,2,1,0,1,1,3,2,0,Matches,FRA-L1,21-22
0557ff4f,46,Danilo Barbosa,BRA,DF,Nice,25,1996,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,10,0,Matches,FRA-L1,21-22
a0d55a09,47,Bradley Barcola,FRA,"FW,MF",Lyon,18,2002,2.9,7,4,2,3,2,1,8,12.5,7,7,1,6,2,9,1,0,Matches,FRA-L1,21-22
1ddbc7ca,48,Melvin Bard,FRA,DF,Nice,20,2000,28.8,59,37,38,17,4,41,63,65.1,22,33,10,23,51,110,56,0,Matches,FRA-L1,21-22
80556f08,49,Toma Bašić,CRO,MF,Bordeaux,24,1996,2.3,2,2,1,0,1,0,4,0.0,4,4,1,3,2,4,0,0,Matches,FRA-L1,21-22
ced1d98f,50,Amine Bassi,FRA,"MF,FW",Metz,23,1997,2.0,6,3,2,3,1,1,3,33.3,2,5,0,5,0,6,0,0,Matches,FRA-L1,21-22
2515040a,51,Paul Baysse,FRA,"MF,DF",Bordeaux,33,1988,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches,FRA-L1,21-22
1a248246,52,Youcef Belaïli,ALG,"MF,FW",Brest,29,1992,9.2,2,1,0,0,2,2,9,22.2,7,5,1,4,7,9,4,0,Matches,FRA-L1,21-22
2b1bed19,53,Haris Belkebla,ALG,MF,Brest,27,1994,25.7,46,23,21,21,4,18,39,46.2,21,26,6,20,48,94,30,1,Matches,FRA-L1,21-22
10f0fdd3,54,Jean-Ricner Bellegarde,FRA,MF,Strasbourg,23,1998,25.9,51,32,21,21,9,17,41,41.5,24,29,4,25,27,78,19,0,Matches,FRA-L1,21-22
c678ddd7,55,Jeanuël Belocian,FRA,DF,Rennes,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,FRA-L1,21-22
74dc806c,56,Hatem Ben Arfa,FRA,"FW,MF",Lille,34,1987,3.5,4,2,2,1,1,2,4,50.0,2,3,0,3,0,4,1,0,Matches,FRA-L1,21-22
1f6298f2,57,Salim Ben Seghir,FRA,MF,Marseille,18,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,FRA-L1,21-22
942b4f90,58,Wissam Ben Yedder,FRA,FW,Monaco,30,1990,28.1,18,8,1,11,6,6,15,40.0,9,12,1,11,0,18,1,0,Matches,FRA-L1,21-22
bef0a7ac,59,Darío Benedetto,ARG,"FW,MF",Marseille,31,1990,0.6,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches,FRA-L1,21-22
8a2248b4,60,Walter Benítez,ARG,GK,Nice,28,1993,37.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,12,2,Matches,FRA-L1,21-22
f5b6fb78,61,Loris Benito,SUI,DF,Bordeaux,29,1992,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,Matches,FRA-L1,21-22
3189f61a,62,Nabil Bentaleb,ALG,MF,Angers,26,1994,16.8,42,24,15,20,7,16,29,55.2,13,24,9,15,28,70,13,0,Matches,FRA-L1,21-22
e4114f5d,63,Patrick Berg,NOR,MF,Lens,23,1997,3.4,14,6,6,8,0,0,4,0.0,4,2,1,1,4,18,3,0,Matches,FRA-L1,21-22
