Season,Competition Name,# Squads,Champion,Top Scorer,url,Format
2024-2025,ESP-LALIGA,20,,Robert Lewandowski - 3,/en/comps/12/La-Liga-Stats,round-robin
2023-2024,ESP-LALIGA,20,Real Madrid - 95,Artem Dovbyk - 24,/en/comps/12/2023-2024/2023-2024-La-Liga-Stats,round-robin
2022-2023,ESP-LALIGA,20,Barcelona - 88,Robert Lewandowski - 23,/en/comps/12/2022-2023/2022-2023-La-Liga-Stats,round-robin
2021-2022,ESP-LALIGA,20,Real Madrid - 86,Karim Benzema - 27,/en/comps/12/2021-2022/2021-2022-La-Liga-Stats,round-robin
2020-2021,ESP-LALIGA,20,Atlético Madrid - 86,Lionel Messi - 30,/en/comps/12/2020-2021/2020-2021-La-Liga-Stats,round-robin
2019-2020,ESP-LALIGA,20,Real Madrid - 87,Lionel Messi - 25,/en/comps/12/2019-2020/2019-2020-La-Liga-Stats,round-robin
2018-2019,ESP-LALIGA,20,Barcelona - 87,Lionel Messi - 36,/en/comps/12/2018-2019/2018-2019-La-Liga-Stats,round-robin
2017-2018,ESP-LALIGA,20,Barcelona - 93,Lionel Messi - 34,/en/comps/12/2017-2018/2017-2018-La-Liga-Stats,round-robin
2016-2017,ESP-LALIGA,20,Real Madrid - 93,Lionel Messi - 37,/en/comps/12/2016-2017/2016-2017-La-Liga-Stats,round-robin
2015-2016,ESP-LALIGA,20,Barcelona - 91,Luis Suárez - 40,/en/comps/12/2015-2016/2015-2016-La-Liga-Stats,round-robin
2014-2015,ESP-LALIGA,20,Barcelona - 94,Cristiano Ronaldo - 48,/en/comps/12/2014-2015/2014-2015-La-Liga-Stats,round-robin
2013-2014,ESP-LALIGA,20,Atlético Madrid - 90,Cristiano Ronaldo - 31,/en/comps/12/2013-2014/2013-2014-La-Liga-Stats,round-robin
2012-2013,ESP-LALIGA,20,Barcelona - 100,Lionel Messi - 46,/en/comps/12/2012-2013/2012-2013-La-Liga-Stats,round-robin
2011-2012,ESP-LALIGA,20,Real Madrid - 100,Lionel Messi - 50,/en/comps/12/2011-2012/2011-2012-La-Liga-Stats,round-robin
2010-2011,ESP-LALIGA,20,Barcelona - 96,Cristiano Ronaldo - 40,/en/comps/12/2010-2011/2010-2011-La-Liga-Stats,round-robin
2009-2010,ESP-LALIGA,20,Barcelona - 99,Lionel Messi - 34,/en/comps/12/2009-2010/2009-2010-La-Liga-Stats,round-robin
2008-2009,ESP-LALIGA,20,Barcelona - 87,Diego Forlán - 32,/en/comps/12/2008-2009/2008-2009-La-Liga-Stats,round-robin
2007-2008,ESP-LALIGA,20,Real Madrid - 85,Dani Güiza - 27,/en/comps/12/2007-2008/2007-2008-La-Liga-Stats,round-robin
2006-2007,ESP-LALIGA,20,Real Madrid - 76,Ruud van Nistelrooy - 25,/en/comps/12/2006-2007/2006-2007-La-Liga-Stats,round-robin
2005-2006,ESP-LALIGA,20,Barcelona - 82,Samuel Eto'o - 26,/en/comps/12/2005-2006/2005-2006-La-Liga-Stats,round-robin
2004-2005,ESP-LALIGA,20,Barcelona - 84,"Samuel Eto'o, Diego Forlán - 24",/en/comps/12/2004-2005/2004-2005-La-Liga-Stats,round-robin
2003-2004,ESP-LALIGA,20,Valencia - 77,Ronaldo - 24,/en/comps/12/2003-2004/2003-2004-La-Liga-Stats,round-robin
2002-2003,ESP-LALIGA,20,Real Madrid - 78,Roy Makaay - 29,/en/comps/12/2002-2003/2002-2003-La-Liga-Stats,round-robin
2001-2002,ESP-LALIGA,20,Valencia - 75,Diego Tristán - 21,/en/comps/12/2001-2002/2001-2002-La-Liga-Stats,round-robin
2000-2001,ESP-LALIGA,20,Real Madrid - 80,Raúl - 24,/en/comps/12/2000-2001/2000-2001-La-Liga-Stats,round-robin
1999-2000,ESP-LALIGA,20,Deportivo La Coruña - 69,Salva Ballesta - 27,/en/comps/12/1999-2000/1999-2000-La-Liga-Stats,round-robin
1998-1999,ESP-LALIGA,20,Barcelona - 79,Raúl - 25,/en/comps/12/1998-1999/1998-1999-La-Liga-Stats,round-robin
1997-1998,ESP-LALIGA,20,Barcelona - 74,Christian Vieri - 24,/en/comps/12/1997-1998/1997-1998-La-Liga-Stats,round-robin
1996-1997,ESP-LALIGA,22,Real Madrid - 92,Ronaldo - 34,/en/comps/12/1996-1997/1996-1997-La-Liga-Stats,round-robin
1995-1996,ESP-LALIGA,22,Atlético Madrid - 87,Juan Antonio Pizzi - 31,/en/comps/12/1995-1996/1995-1996-La-Liga-Stats,round-robin
1994-1995,ESP-LALIGA,20,Real Madrid - 55,Iván Zamorano - 28,/en/comps/12/1994-1995/1994-1995-La-Liga-Stats,round-robin
1993-1994,ESP-LALIGA,20,Barcelona - 56,Romário - 30,/en/comps/12/1993-1994/1993-1994-La-Liga-Stats,round-robin
1992-1993,ESP-LALIGA,20,Barcelona - 58,Bebeto - 29,/en/comps/12/1992-1993/1992-1993-La-Liga-Stats,round-robin
1991-1992,ESP-LALIGA,20,Barcelona - 55,Manolo - 27,/en/comps/12/1991-1992/1991-1992-La-Liga-Stats,round-robin
1990-1991,ESP-LALIGA,20,Barcelona - 57,Emilio Butragueño - 19,/en/comps/12/1990-1991/1990-1991-La-Liga-Stats,round-robin
1989-1990,ESP-LALIGA,20,Real Madrid - 62,Hugo Sánchez - 38,/en/comps/12/1989-1990/1989-1990-La-Liga-Stats,round-robin
1988-1989,ESP-LALIGA,20,Real Madrid - 62,Baltazar Maria de Morais Júnior - 35,/en/comps/12/1988-1989/1988-1989-La-Liga-Stats,round-robin
