id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
82e12fe7,1,Junior Adamu,AUT,FW,Freiburg,23-084,2001,1.0,23,0,2,9,13,2,23,1,1,100.0,0,0.0,17,81,45,1,1,0,3,0,19,1,Matches,GER-BL1,24-25
501055d8,2,Karim Adeyemi,GER,FW,Dortmund,22-224,2002,0.6,23,2,4,8,11,4,23,1,1,100.0,0,0.0,13,55,34,1,1,1,2,1,13,3,Matches,GER-BL1,24-25
dcfb17f4,3,Amine Adli,MAR,FW,Leverkusen,24-111,2000,0.1,13,0,0,4,9,3,13,2,0,0.0,1,50.0,4,39,28,1,1,1,1,0,8,3,Matches,GER-BL1,24-25
5054c359,4,Oladapo Afolayan,ENG,FW,St. Pauli,26-199,1998,0.2,7,0,0,3,4,0,7,1,1,100.0,0,0.0,6,26,3,0,0,0,1,1,7,2,Matches,GER-BL1,24-25
cb6d81b3,5,Felix Agu,GER,DF,Werder Bremen,24-337,1999,1.0,52,1,20,16,16,6,52,2,0,0.0,2,100.0,28,201,82,3,1,2,2,0,35,12,Matches,GER-BL1,24-25
6ec6fde0,6,Kevin Akpoguma,NGA,DF,Hoffenheim,29-132,1995,1.0,59,12,26,26,7,0,59,0,0,,0,,30,114,28,0,2,0,0,1,31,0,Matches,GER-BL1,24-25
add37c13,7,Skelly Alvero,FRA,MF,Werder Bremen,22-117,2002,0.0,3,0,2,1,0,0,3,0,0,,0,,0,0,0,0,0,0,1,0,0,0,Matches,GER-BL1,24-25
555d5edd,8,Nadiem Amiri,GER,MF,Mainz 05,27-307,1996,1.0,63,3,17,32,14,0,63,1,1,100.0,0,0.0,30,134,40,0,0,0,0,1,36,0,Matches,GER-BL1,24-25
e0b113a7,9,Robert Andrich,GER,MF,Leverkusen,29-342,1994,0.9,65,2,11,46,9,0,65,1,0,0.0,0,0.0,17,76,33,0,2,0,0,0,43,3,Matches,GER-BL1,24-25
5e66fa06,10,Waldemar Anton,GER,DF,Dortmund,28-040,1996,1.0,108,10,40,57,11,3,108,1,0,0.0,1,100.0,86,331,141,0,1,0,0,0,88,0,Matches,GER-BL1,24-25
86e119e0,11,Maximilian Arnold,GER,MF,Wolfsburg,30-094,1994,1.0,38,2,5,25,8,1,38,0,0,,0,,16,61,10,0,0,0,1,0,17,0,Matches,GER-BL1,24-25
c21fb312,12,Jann-Fiete Arp,GER,FW,Holstein Kiel,24-236,2000,0.4,12,1,3,2,7,0,12,2,1,50.0,1,50.0,4,38,11,0,2,0,2,3,7,3,Matches,GER-BL1,24-25
442b56fa,13,Ridle Baku,GER,FW,Wolfsburg,26-143,1998,1.0,46,1,8,23,16,3,46,3,1,33.3,2,66.7,26,134,55,2,0,2,1,3,26,7,Matches,GER-BL1,24-25
7362a6f2,14,Aliou Baldé,GUI,FW,Bochum,21-261,2002,0.2,7,0,1,1,5,0,7,1,1,100.0,0,0.0,6,58,50,0,1,0,0,2,5,0,Matches,GER-BL1,24-25
489d4867,15,Samuel Bamba,GER,FW,Bochum,20-198,2004,0.1,9,0,0,3,6,0,9,2,0,0.0,2,100.0,7,29,2,0,0,0,1,0,6,4,Matches,GER-BL1,24-25
44a20f0c,16,Maximilian Bauer,GER,DF,Augsburg,24-202,2000,0.3,15,1,2,11,2,0,15,0,0,,0,,8,41,28,0,0,0,0,0,8,2,Matches,GER-BL1,24-25
