id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,league,season
a7e4760c,1,Ismael Aaneba,FRA,DF,Strasbourg,19,1999,2.3,120,92,28,3,0,2,11,25,0,0,0,0,73,0,8,Matches,FRA-L1,18-19
32c2d95f,2,Yunis Abdelhamid,MAR,DF,Reims,30,1987,38.0,1614,1543,63,62,0,31,0,1,0,0,0,0,1330,8,19,Matches,FRA-L1,18-19
a4c3f7af,3,Mehdi Abeid,ALG,MF,Dijon,25,1992,22.5,1068,1028,35,17,4,12,24,5,10,1,6,0,903,5,13,Matches,FRA-L1,18-19
469d3d84,4,Charles Abi,FRA,"DF,FW",Saint-Étienne,18,2000,0.4,17,17,0,0,0,0,0,0,0,0,0,0,6,0,3,Matches,FRA-L1,18-19
16714a62,5,Khaled Adénon,BEN,DF,Amiens,33,1985,22.2,973,938,32,31,0,5,0,1,0,0,0,0,837,3,5,Matches,FRA-L1,18-19
26777636,6,Yacine Adli,FRA,MF,Bordeaux,18,2000,2.4,151,145,5,1,1,2,9,2,2,2,0,0,111,1,3,Matches,FRA-L1,18-19
288e1e13,7,Nayef Aguerd,MAR,DF,Dijon,22,1996,11.7,604,561,40,18,0,8,3,22,0,0,0,0,465,3,8,Matches,FRA-L1,18-19
3dd738a1,8,Ruben Aguilar,FRA,DF,Montpellier,25,1993,28.1,1640,1334,297,15,0,7,115,281,1,0,0,0,1315,9,51,Matches,FRA-L1,18-19
48b28bfd,9,Jean-Eudes Aholou,CIV,MF,Monaco,24,1994,11.9,549,537,12,9,4,8,5,2,0,0,0,0,463,0,8,Matches,FRA-L1,18-19
