id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
7a2e46a8,27,Alisson,BRA,GK,Liverpool,30,1992,2,180,90,20.0,2.0,2,90,2,0,,3,3.0,3,0,3,1.5,-0.25,4.5,1.7,2.8,1.41,0.3,Matches,UEL,23-24
bdf8165d,28,Richard Almeida,AZE,MF,Qarabağ,34,1989,0,,,,,0,,0,0,,6,1.0,,,,,,,,,,,Matches,UEL,23-24
414b2ce4,29,Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,23,2000,2,180,90,100.0,2.0,2,90,2,0,,0,1.5,4,6,-2,-1.0,,2.2,4.0,-1.8,-0.92,,Matches,UEL,23-24
757a3431,30,Adrià Altimira,ESP,DF,Villarreal,22,2001,4,283,71,39.3,3.1,3,90,3,1,13,3,2.5,5,4,1,0.32,0.52,6.9,3.2,3.7,1.19,2.25,Matches,UEL,23-24
8b3ab7ad,31,Edson Álvarez,MEX,MF,West Ham,25,1997,7,499,71,55.4,5.5,6,80,2,1,19,0,1.86,12,2,10,1.8,2.25,9.0,4.9,4.1,0.75,0.92,Matches,UEL,23-24
13619663,32,Iker Álvarez,AND,GK,Villarreal,22,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,UEL,23-24
24fc70d3,33,Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,1,87,87,48.3,1.0,1,87,0,0,,0,0.0,1,3,-2,-2.07,-2.07,0.5,1.7,-1.2,-1.2,1.31,Matches,UEL,23-24
e134b9f9,34,Romeo Amane,CIV,MF,Häcken,20,2003,6,373,62,69.1,4.1,4,72,1,2,43,0,1.0,1,12,-11,-2.65,-1.04,5.4,7.5,-2.1,-0.51,-0.37,Matches,UEL,23-24
98e0d76c,35,Jaydon Amauri Banel,NED,MF,Ajax,18,2004,1,1,1,0.2,0.0,0,,0,1,1,1,0.0,0,0,0,0.0,0.5,0.0,0.1,-0.1,-6.97,-6.78,Matches,UEL,23-24
1227a22d,36,Aurele Amenda,SUI,DF,Young Boys,20,2003,2,180,90,100.0,2.0,2,90,2,0,,0,0.5,2,4,-2,-1.0,,1.4,5.2,-3.7,-1.87,,Matches,UEL,23-24
349cae8f,37,Michael Amir Murillo,PAN,"DF,MF",Marseille,27,1996,7,283,40,21.9,3.1,2,81,1,5,24,3,2.0,6,4,2,0.64,0.37,5.6,5.5,0.1,0.04,-0.25,Matches,UEL,23-24
6597f8b6,38,Mohamed Amoura,ALG,FW,Union SG,23,2000,6,438,73,81.1,4.9,5,82,3,1,29,0,1.33,5,6,-1,-0.21,1.56,9.0,6.5,2.5,0.51,1.18,Matches,UEL,23-24
7c2a398c,39,Nordin Amrabat,MAR,"MF,FW",AEK Athens,36,1987,6,460,77,85.2,5.1,6,77,2,0,,0,0.67,6,11,-5,-0.98,0.15,7.3,10.4,-3.1,-0.6,1.72,Matches,UEL,23-24
21a866b7,40,Joseph Anang,ENG,GK,West Ham,23,2000,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,UEL,23-24
6ea23758,41,Andrés Andrade Cedeño,PAN,DF,LASK,24,1998,6,465,78,86.1,5.2,5,90,5,1,15,0,0.88,5,12,-7,-1.35,-2.55,6.5,10.0,-3.5,-0.67,0.11,Matches,UEL,23-24
8382b207,42,Leandro Andrade,CPV,"FW,MF",Qarabağ,23,1999,10,783,78,84.2,8.7,10,78,0,0,,0,1.71,13,11,2,0.23,2.68,10.3,13.6,-3.3,-0.38,1.67,Matches,UEL,23-24
e66c698a,43,Patrick Andrade,CPV,MF,Qarabağ,30,1993,9,250,28,26.9,2.8,2,90,2,7,10,1,1.55,5,9,-4,-1.44,-1.7,3.6,7.2,-3.7,-1.38,-0.99,Matches,UEL,23-24
0a7fa520,44,Markus Andreas Kaasa,NOR,MF,Molde,26,1997,5,360,72,66.7,4.0,5,72,0,0,,0,1.2,7,8,-1,-0.25,-0.75,4.2,7.0,-2.7,-0.69,-1.53,Matches,UEL,23-24
e0b113a7,45,Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,11,760,69,65.0,8.4,8,90,8,3,13,2,2.36,23,8,15,1.78,1.12,17.2,9.6,7.6,0.9,-0.16,Matches,UEL,23-24
30941e96,46,Angeliño,ESP,"DF,FW",Roma,26,1997,4,133,33,10.3,1.5,1,80,0,3,18,4,1.25,2,2,0,0.0,-0.86,3.2,2.7,0.4,0.32,0.09,Matches,UEL,23-24
