id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,league,season
9260926b,1,Ibrahim Amadou,FRA,"MF,DF",Lille,24,1993,1,0,17,26.7,2,10.59,3,1,66.7,0,0,0,0,,1,1,0,0,0.0,Matches,FRA-L1,17-18
2f965a72,2,Alphonse Areola,FRA,GK,Paris S-G,24,1993,34,34,3060,34.0,25,0.74,102,77,76.5,26,6,2,17,50.0,3,1,1,1,50.0,Matches,FRA-L1,17-18
b7e7937d,3,Diego Benaglio,SUI,GK,Monaco,33,1983,3,2,225,2.5,0,0.0,6,6,100.0,2,0,0,3,150.0,0,0,0,0,,Matches,FRA-L1,17-18
8a2248b4,4,Walter Benítez,ARG,GK,Nice,24,1993,28,28,2520,28.0,36,1.29,113,76,70.8,12,8,8,7,25.0,5,3,2,0,40.0,Matches,FRA-L1,17-18
15285503,5,Quentin Beunardeau,FRA,GK,Metz,23,1994,1,0,38,0.4,2,4.74,4,2,50.0,0,0,0,0,,0,0,0,0,,Matches,FRA-L1,17-18
e65dd8dc,6,Landry Bonnefoi,FRA,GK,Strasbourg,33,1983,4,3,271,3.0,6,1.99,17,11,64.7,2,0,1,0,0.0,0,0,0,0,,Matches,FRA-L1,17-18
96908f80,7,Jean-Christophe Bouet,FRA,GK,Amiens,34,1983,1,1,90,1.0,1,1.0,7,6,85.7,0,0,1,0,0.0,0,0,0,0,,Matches,FRA-L1,17-18
26975a92,8,Ludovic Butelle,FRA,GK,Angers,34,1983,19,19,1653,18.4,22,1.2,68,48,72.1,6,5,8,4,21.1,3,3,0,0,0.0,Matches,FRA-L1,17-18
950ff24d,9,Yoan Cardinale,FRA,GK,Nice,23,1994,10,10,900,10.0,16,1.6,41,26,61.0,3,1,6,3,30.0,0,0,0,0,,Matches,FRA-L1,17-18
2434f24a,10,Benoît Costil,FRA,GK,Bordeaux,30,1987,36,36,3240,36.0,45,1.25,123,75,66.7,16,7,13,10,27.8,8,4,4,0,50.0,Matches,FRA-L1,17-18
26383ea5,11,Abdoulaye Diallo,SEN,GK,Rennes,25,1992,3,3,270,3.0,5,1.67,15,10,73.3,0,2,1,0,0.0,1,1,0,0,0.0,Matches,FRA-L1,17-18
a3d524cb,12,Thomas Didillon,FRA,GK,Metz,21,1995,9,9,810,9.0,14,1.56,35,22,68.6,1,1,7,2,22.2,3,3,0,0,0.0,Matches,FRA-L1,17-18
0e12089d,13,Maxime Dupé,FRA,GK,Nantes,24,1993,1,1,90,1.0,3,3.0,5,2,60.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches,FRA-L1,17-18
4d3e9033,14,Mathieu Gorgelin,FRA,GK,Lyon,26,1990,4,4,360,4.0,6,1.5,13,7,53.8,2,1,1,1,25.0,0,0,0,0,,Matches,FRA-L1,17-18
bc270726,15,Régis Gurtner,FRA,GK,Amiens,30,1986,37,37,3330,37.0,41,1.11,171,130,78.4,12,9,16,11,29.7,4,4,0,0,0.0,Matches,FRA-L1,17-18
a56bd2ee,16,Karl-Johan Johnsson,SWE,GK,Guingamp,27,1990,38,38,3420,38.0,59,1.55,171,111,68.4,12,11,15,11,28.9,7,5,2,0,28.6,Matches,FRA-L1,17-18
3814120d,17,Bingourou Kamara,SEN,GK,Strasbourg,20,1996,19,19,1692,18.8,32,1.7,86,54,65.1,4,6,9,2,10.5,2,2,0,0,0.0,Matches,FRA-L1,17-18
a4527d33,18,Eiji Kawashima,JPN,GK,Metz,34,1983,29,29,2569,28.5,60,2.1,167,106,64.1,5,7,17,2,6.9,2,0,2,0,100.0,Matches,FRA-L1,17-18
faf873a7,19,Hervé Koffi,BFA,GK,Lille,20,1996,4,4,360,4.0,11,2.75,20,10,50.0,0,1,3,0,0.0,1,1,0,0,0.0,Matches,FRA-L1,17-18
dc366c36,20,Tomáš Koubek,CZE,GK,Rennes,24,1992,34,34,3060,34.0,36,1.06,127,91,73.2,16,8,10,10,29.4,5,2,2,1,50.0,Matches,FRA-L1,17-18
4e7db402,21,Alban Lafont,FRA,GK,Toulouse,18,1999,38,38,3420,38.0,54,1.42,158,106,69.6,9,10,19,12,31.6,6,6,0,0,0.0,Matches,FRA-L1,17-18
2fa2a875,22,Benjamin Lecomte,FRA,GK,Montpellier,26,1991,38,38,3420,38.0,33,0.87,117,84,76.1,11,18,9,14,36.8,6,5,0,1,0.0,Matches,FRA-L1,17-18
96fcd380,23,Alexandre Letellier,FRA,GK,Angers,26,1990,13,13,1170,13.0,17,1.31,44,28,65.9,2,7,4,1,7.7,2,2,0,0,0.0,Matches,FRA-L1,17-18
f00de885,24,Anthony Lopes,POR,GK,Lyon,26,1990,34,34,3060,34.0,37,1.09,137,101,76.6,21,8,5,14,41.2,8,5,2,1,28.6,Matches,FRA-L1,17-18
c121a641,25,Raïs M'Bolhi,ALG,GK,Rennes,31,1986,1,1,90,1.0,3,3.0,6,3,83.3,0,0,1,0,0.0,2,2,0,0,0.0,Matches,FRA-L1,17-18
fcb38f57,26,Mike Maignan,FRA,GK,Lille,22,1995,34,34,3032,33.7,53,1.57,160,107,68.8,10,7,17,5,14.7,5,3,2,0,40.0,Matches,FRA-L1,17-18
1d2d5cc8,27,Steve Mandanda,FRA,GK,Marseille,32,1985,31,31,2706,30.0,37,1.23,114,77,70.2,18,9,4,11,35.5,5,3,1,1,25.0,Matches,FRA-L1,17-18
e39f8724,28,Mathieu Michel,FRA,GK,Angers,25,1991,7,6,597,6.6,13,1.96,26,14,57.7,1,2,3,1,16.7,2,2,0,0,0.0,Matches,FRA-L1,17-18
28a65a2c,29,Jessy Moulin,FRA,GK,Saint-Étienne,31,1986,4,3,304,3.4,6,1.78,29,23,82.8,1,0,2,1,33.3,1,1,0,0,0.0,Matches,FRA-L1,17-18
ae7d0ecd,30,Alexandre Oukidja,ALG,GK,Strasbourg,29,1988,17,16,1457,16.2,29,1.79,71,41,64.8,3,5,8,2,12.5,5,4,1,0,20.0,Matches,FRA-L1,17-18
76806215,31,Yohann Pelé,FRA,GK,Marseille,34,1982,9,7,714,8.2,10,1.26,27,18,66.7,4,2,1,3,42.9,1,1,0,0,0.0,Matches,FRA-L1,17-18
b0547a87,32,Nicolas de Préville,FRA,"FW,MF",Lille,26,1991,1,0,11,3.2,1,8.18,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,FRA-L1,17-18
1061c207,33,Jérôme Prior,FRA,GK,Bordeaux,21,1995,2,2,180,2.0,3,1.5,9,6,66.7,0,0,2,0,0.0,0,0,0,0,,Matches,FRA-L1,17-18
bcf1b2e9,34,Baptiste Reynet,FRA,GK,Dijon,26,1990,38,38,3420,38.0,73,1.92,201,128,69.2,13,9,16,5,13.2,14,11,3,0,21.4,Matches,FRA-L1,17-18
cac76a72,35,Stéphane Ruffier,FRA,GK,Saint-Étienne,30,1986,35,35,3112,34.6,44,1.27,150,106,74.0,14,10,11,12,34.3,6,5,1,0,16.7,Matches,FRA-L1,17-18
cfe852d8,36,Mamadou Samassa,MLI,GK,Troyes,27,1990,21,21,1890,21.0,31,1.48,101,70,71.3,6,3,12,5,23.8,3,2,1,0,33.3,Matches,FRA-L1,17-18
60d90c55,37,Brice Samba,FRA,GK,Caen,23,1994,4,3,315,3.5,4,1.14,19,15,84.2,1,1,1,2,66.7,1,1,0,0,0.0,Matches,FRA-L1,17-18
f6db3bd5,38,Danijel Subašić,CRO,GK,Monaco,32,1984,34,34,2940,32.7,41,1.26,125,85,70.4,21,8,5,10,29.4,4,4,0,0,0.0,Matches,FRA-L1,17-18
8417953b,39,Seydou Sy,SEN,GK,Monaco,21,1995,3,2,255,2.8,4,1.41,16,12,81.3,1,0,1,1,50.0,1,1,0,0,0.0,Matches,FRA-L1,17-18
b056e3da,40,Ciprian Tătărușanu,ROU,GK,Nantes,31,1986,37,37,3330,37.0,38,1.03,133,96,72.9,14,10,13,12,32.4,3,2,0,1,0.0,Matches,FRA-L1,17-18
ce17b5eb,41,Kevin Trapp,GER,GK,Paris S-G,27,1990,4,4,360,4.0,4,1.0,17,13,88.2,3,0,1,1,25.0,2,2,0,0,0.0,Matches,FRA-L1,17-18
1d0900d4,42,Rémy Vercoutre,FRA,GK,Caen,37,1980,35,35,3103,34.5,48,1.39,132,88,66.7,9,7,19,11,31.4,4,4,0,0,0.0,Matches,FRA-L1,17-18
e750cba4,43,Erwin Zelazny,FRA,GK,Troyes,25,1991,17,17,1530,17.0,28,1.65,92,64,71.7,3,3,11,3,17.6,2,2,0,0,0.0,Matches,FRA-L1,17-18
