Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,3,Wed,2021-10-20,20:00,Benfica,0.7,0–4,3.0,Bayern Munich,55201,Estádio do Sport Lisboa e Benfica,Ovidiu Hațegan,/en/matches/542956e2/Benfica-Bayern-Munich-October-20-2021-Champions-League,,UCL,21-22
Group stage,3,Wed,2021-10-20,20:00,Chelsea,2.6,4–0,0.1,Malmö,39095,Stamford Bridge,François Letexier,/en/matches/615bb75f/Chelsea-Malmo-October-20-2021-Champions-League,,UCL,21-22
Group stage,3,Wed,2021-10-20,21:00,Lille,0.8,0–0,1.1,Sevilla,34362,Stade Pierre-Mauroy,Michael Oliver,/en/matches/6f680700/Lille-Sevilla-October-20-2021-Champions-League,,UCL,21-22
Group stage,3,Wed,2021-10-20,21:00,Young Boys,2.7,1–4,2.7,Villarreal,27398,Wankdorfstadion,Sergey Karasev,/en/matches/ac01fac5/Young-Boys-Villarreal-October-20-2021-Champions-League,,UCL,21-22
Group stage,3,Wed,2021-10-20,22:00,Zenit,0.6,0–1,1.2,Juventus,18717,Gazprom Arena,Sandro Schärer,/en/matches/e7f7549b/Zenit-Juventus-October-20-2021-Champions-League,,UCL,21-22
Group stage,4,Tue,2021-11-02,18:45,Wolfsburg,1.7,2–1,1.6,RB Salzburg,16112,Volkswagen Arena,Artur Dias,/en/matches/575f8ead/Wolfsburg-Red-Bull-Salzburg-November-2-2021-Champions-League,,UCL,21-22
Group stage,4,Tue,2021-11-02,18:45,Malmö,0.2,0–1,2.5,Chelsea,19551,Eleda Stadion,Felix Brych,/en/matches/fa70eb4c/Malmo-Chelsea-November-2-2021-Champions-League,,UCL,21-22
Group stage,4,Tue,2021-11-02,21:00,Bayern Munich,4.8,5–2,1.0,Benfica,50000,Allianz Arena,Szymon Marciniak,/en/matches/08db1510/Bayern-Munich-Benfica-November-2-2021-Champions-League,,UCL,21-22
Group stage,4,Tue,2021-11-02,21:00,Atalanta,1.5,2–2,1.1,Manchester Utd,14443,Stadio Atleti Azzurri d'Italia,Slavko Vinčič,/en/matches/16b0abb7/Atalanta-Manchester-United-November-2-2021-Champions-League,,UCL,21-22
Group stage,4,Tue,2021-11-02,21:00,Villarreal,2.2,2–0,1.1,Young Boys,14890,Estadio de la Cerámica,Serdar Gözübüyük,/en/matches/1c0b1278/Villarreal-Young-Boys-November-2-2021-Champions-League,,UCL,21-22
Group stage,4,Tue,2021-11-02,21:00,Juventus,2.7,4–2,1.3,Zenit,20053,Allianz Stadium,Alejandro Hernández,/en/matches/43e95e01/Juventus-Zenit-November-2-2021-Champions-League,,UCL,21-22
Group stage,4,Tue,2021-11-02,21:00,Sevilla,1.0,1–2,1.9,Lille,29369,Estadio Ramón Sánchez Pizjuán,István Kovács,/en/matches/6f2937b8/Sevilla-Lille-November-2-2021-Champions-League,,UCL,21-22
Group stage,4,Tue,2021-11-02,22:00,Dynamo Kyiv,1.1,0–1,1.1,Barcelona,31378,NSK Olimpijs'kyj,Ovidiu Hațegan,/en/matches/3345b115/Dynamo-Kyiv-Barcelona-November-2-2021-Champions-League,,UCL,21-22
Group stage,4,Wed,2021-11-03,18:45,Milan,0.6,1–1,1.8,Porto,39675,Stadio Giuseppe Meazza,Clément Turpin,/en/matches/5dfde5e7/Milan-Porto-November-3-2021-Champions-League,,UCL,21-22
Group stage,4,Wed,2021-11-03,18:45,Real Madrid,2.0,2–1,1.3,Shakhtar,38105,Estadio Santiago Bernabéu,Benoît Bastien,/en/matches/d8d8cd07/Real-Madrid-Shakhtar-Donetsk-November-3-2021-Champions-League,,UCL,21-22
Group stage,4,Wed,2021-11-03,20:00,Manchester City,4.6,4–1,0.8,Club Brugge,50228,Etihad Stadium,Antonio Matéu Lahoz,/en/matches/7e276b93/Manchester-City-Club-Brugge-November-3-2021-Champions-League,,UCL,21-22
Group stage,4,Wed,2021-11-03,20:00,Sporting CP,2.7,4–0,1.1,Beşiktaş,40835,Estádio José Alvalade,Sergey Karasev,/en/matches/99437702/Sporting-CP-Besiktas-November-3-2021-Champions-League,,UCL,21-22
Group stage,4,Wed,2021-11-03,20:00,Liverpool,3.0,2–0,0.2,Atlético Madrid,51347,Anfield,Danny Makkelie,/en/matches/d1319048/Liverpool-Atletico-Madrid-November-3-2021-Champions-League,,UCL,21-22
Group stage,4,Wed,2021-11-03,21:00,RB Leipzig,3.3,2–2,2.1,Paris S-G,39794,Red Bull Arena,Andreas Ekberg,/en/matches/a0f25b92/RB-Leipzig-Paris-Saint-Germain-November-3-2021-Champions-League,,UCL,21-22
Group stage,4,Wed,2021-11-03,21:00,Dortmund,1.7,1–3,2.0,Ajax,54820,Signal Iduna Park,Michael Oliver,/en/matches/a4217efc/Dortmund-Ajax-November-3-2021-Champions-League,,UCL,21-22
Group stage,4,Wed,2021-11-03,22:00,Sheriff Tiraspol,0.3,1–3,2.5,Inter,5930,Bolshaya Sportivnaya Arena,Felix Zwayer,/en/matches/899725a9/Sheriff-Tiraspol-Internazionale-November-3-2021-Champions-League,,UCL,21-22
Group stage,5,Tue,2021-11-23,18:45,Villarreal,0.6,0–2,1.2,Manchester Utd,20875,Estadio de la Cerámica,Felix Brych,/en/matches/fd901849/Villarreal-Manchester-United-November-23-2021-Champions-League,,UCL,21-22
Group stage,5,Tue,2021-11-23,19:45,Dynamo Kyiv,1.1,1–2,1.0,Bayern Munich,28732,NSK Olimpijs'kyj,Halil Umut Meler,/en/matches/2459dc61/Dynamo-Kyiv-Bayern-Munich-November-23-2021-Champions-League,,UCL,21-22
Group stage,5,Tue,2021-11-23,20:00,Chelsea,3.0,4–0,0.7,Juventus,39513,Stamford Bridge,Srđan Jovanović,/en/matches/8b15222a/Chelsea-Juventus-November-23-2021-Champions-League,,UCL,21-22
Group stage,5,Tue,2021-11-23,21:00,Barcelona,1.4,0–0,1.2,Benfica,49572,Camp Nou,Sergey Karasev,/en/matches/2d0e42b8/Barcelona-Benfica-November-23-2021-Champions-League,,UCL,21-22
Group stage,5,Tue,2021-11-23,21:00,Lille,0.7,1–0,0.5,RB Salzburg,33573,Stade Pierre-Mauroy,Anthony Taylor,/en/matches/aa8e3e6b/Lille-Red-Bull-Salzburg-November-23-2021-Champions-League,,UCL,21-22
Group stage,5,Tue,2021-11-23,21:00,Young Boys,0.7,3–3,1.2,Atalanta,31120,Stade de Suisse Wankdorf Bern,Daniel Siebert,/en/matches/ab636221/Young-Boys-Atalanta-November-23-2021-Champions-League,,UCL,21-22
Group stage,5,Tue,2021-11-23,21:00,Sevilla,1.6,2–0,0.3,Wolfsburg,28663,Estadio Ramón Sánchez Pizjuán,Cüneyt Çakιr,/en/matches/e8f46f62/Sevilla-Wolfsburg-November-23-2021-Champions-League,,UCL,21-22
Group stage,5,Tue,2021-11-23,21:00,Malmö,0.2,1–1,1.9,Zenit,15520,Eleda Stadion,Andris Treimanis,/en/matches/ea8fad6f/Malmo-Zenit-November-23-2021-Champions-League,,UCL,21-22
Group stage,5,Wed,2021-11-24,18:45,Inter,2.6,2–0,0.6,Shakhtar,46225,Stadio Giuseppe Meazza,Ovidiu Hațegan,/en/matches/4950ab44/Internazionale-Shakhtar-Donetsk-November-24-2021-Champions-League,,UCL,21-22
Group stage,5,Wed,2021-11-24,20:00,Manchester City,2.1,2–1,1.0,Paris S-G,52030,Etihad Stadium,Daniele Orsato,/en/matches/52e983e7/Manchester-City-Paris-Saint-Germain-November-24-2021-Champions-League,,UCL,21-22
Group stage,5,Wed,2021-11-24,20:00,Sporting CP,1.9,3–1,1.6,Dortmund,41341,Estádio José Alvalade,Carlos del Cerro,/en/matches/a0bdb8f5/Sporting-CP-Dortmund-November-24-2021-Champions-League,,UCL,21-22
Group stage,5,Wed,2021-11-24,20:00,Liverpool,0.6,2–0,1.1,Porto,52209,Anfield,Felix Zwayer,/en/matches/a8898813/Liverpool-Porto-November-24-2021-Champions-League,,UCL,21-22
Group stage,5,Wed,2021-11-24,20:45,Beşiktaş,1.9,1–2,2.5,Ajax,11712,Vodafone Arena,Irfan Peljto,/en/matches/e05f5bad/Besiktas-Ajax-November-24-2021-Champions-League,,UCL,21-22
Group stage,5,Wed,2021-11-24,21:00,Atlético Madrid,0.9,0–1,1.3,Milan,61019,Estadio Wanda Metropolitano,Slavko Vinčič,/en/matches/34f0c83f/Atletico-Madrid-Milan-November-24-2021-Champions-League,,UCL,21-22
Group stage,5,Wed,2021-11-24,21:00,Club Brugge,0.9,0–5,3.8,RB Leipzig,24072,Jan Breydelstadion,Davide Massa,/en/matches/e26db5b0/Club-Brugge-RB-Leipzig-November-24-2021-Champions-League,,UCL,21-22
Group stage,5,Wed,2021-11-24,22:00,Sheriff Tiraspol,1.4,0–3,1.5,Real Madrid,5932,Bolshaya Sportivnaya Arena,Szymon Marciniak,/en/matches/fee91c56/Sheriff-Tiraspol-Real-Madrid-November-24-2021-Champions-League,,UCL,21-22
Group stage,6,Tue,2021-12-07,18:45,Paris S-G,3.6,4–1,1.1,Club Brugge,47492,Parc des Princes,Jesús Gil,/en/matches/0e09d997/Paris-Saint-Germain-Club-Brugge-December-7-2021-Champions-League,,UCL,21-22
Group stage,6,Tue,2021-12-07,18:45,RB Leipzig,1.7,2–1,1.2,Manchester City,,Red Bull Arena,Sandro Schärer,/en/matches/cccff79c/RB-Leipzig-Manchester-City-December-7-2021-Champions-League,,UCL,21-22
Group stage,6,Tue,2021-12-07,20:00,Porto,1.6,1–3,3.7,Atlético Madrid,38830,Estádio Do Dragão,Clément Turpin,/en/matches/59e9e4f2/Porto-Atletico-Madrid-December-7-2021-Champions-League,,UCL,21-22
Group stage,6,Tue,2021-12-07,21:00,Real Madrid,1.2,2–0,0.9,Inter,44887,Estadio Santiago Bernabéu,Felix Brych,/en/matches/77861aa9/Real-Madrid-Internazionale-December-7-2021-Champions-League,,UCL,21-22
Group stage,6,Tue,2021-12-07,21:00,Dortmund,3.5,5–0,0.1,Beşiktaş,15000,Signal Iduna Park,François Letexier,/en/matches/9cf37489/Dortmund-Besiktas-December-7-2021-Champions-League,,UCL,21-22
Group stage,6,Tue,2021-12-07,21:00,Ajax,2.1,4–2,1.2,Sporting CP,,Johan Cruyff ArenA,Davide Massa,/en/matches/abd2822f/Ajax-Sporting-CP-December-7-2021-Champions-League,,UCL,21-22
Group stage,6,Tue,2021-12-07,21:00,Milan,1.4,1–2,1.9,Liverpool,56237,Stadio Giuseppe Meazza,Danny Makkelie,/en/matches/dd8d2903/Milan-Liverpool-December-7-2021-Champions-League,,UCL,21-22
