id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,league,season
abf0cad0,1,Suleiman Abdullahi,NGA,"FW,MF",Union Berlin,22,1996,1.7,1,6,3,50.0,3.44,1.72,0.17,0.33,16.0,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Matches,GER-BL1,19-20
565bf0da,2,David Abraham,ARG,DF,Eint Frankfurt,33,1986,18.8,2,7,4,57.1,0.37,0.21,0.29,0.5,8.1,0,0,0,1.6,1.6,0.22,0.4,0.4,Matches,GER-BL1,19-20
1c08a3c8,3,Amir Abrashi,ALB,MF,Freiburg,29,1990,7.4,0,4,2,50.0,0.54,0.27,0.0,0.0,20.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches,GER-BL1,19-20
2b09d998,4,Tyler Adams,USA,"MF,DF",RB Leipzig,20,1999,10.6,0,7,1,14.3,0.66,0.09,0.0,0.0,18.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,GER-BL1,19-20
22919e97,5,Sargis Adamyan,ARM,"FW,MF",Hoffenheim,26,1993,8.3,5,21,11,52.4,2.53,1.33,0.24,0.45,12.1,0,0,0,5.9,5.9,0.28,-0.9,-0.9,Matches,GER-BL1,19-20
89ac64a6,6,Manuel Akanji,SUI,DF,Dortmund,24,1995,25.7,0,8,2,25.0,0.31,0.08,0.0,0.0,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,GER-BL1,19-20
6ec6fde0,7,Kevin Akpoguma,NGA,DF,Hoffenheim,24,1995,12.7,0,2,0,0.0,0.16,0.0,0.0,,19.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,GER-BL1,19-20
05439de2,8,David Alaba,AUT,DF,Bayern Munich,27,1992,27.8,1,19,7,36.8,0.68,0.25,0.05,0.14,25.7,6,0,0,1.0,1.0,0.05,0.0,0.0,Matches,GER-BL1,19-20
834d0be5,9,Lucas Alario,ARG,FW,Leverkusen,26,1992,13.0,7,49,18,36.7,3.76,1.38,0.12,0.33,12.7,0,1,1,7.3,6.5,0.13,-0.3,-0.5,Matches,GER-BL1,19-20
a7a9d95a,10,Paco Alcácer,ESP,FW,Dortmund,25,1993,5.9,5,16,7,43.8,2.72,1.19,0.31,0.71,13.1,0,0,0,3.9,3.9,0.25,1.1,1.1,Matches,GER-BL1,19-20
77e84962,11,Thiago Alcántara,ESP,MF,Bayern Munich,28,1991,19.7,3,18,8,44.4,0.91,0.41,0.17,0.38,17.7,0,0,0,2.4,2.4,0.14,0.6,0.6,Matches,GER-BL1,19-20
555d5edd,12,Nadiem Amiri,GER,"MF,FW",Leverkusen,22,1996,20.6,1,42,18,42.9,2.04,0.87,0.02,0.06,23.3,1,0,0,2.2,2.2,0.05,-1.2,-1.2,Matches,GER-BL1,19-20
