id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,league,season
b96b595c,1,Francesco Acerbi,ITA,DF,Lazio,31,1988,35.1,2,16,5,31.3,0.46,0.14,0.13,0.4,14.5,0,0,0,2.4,2.4,0.15,-0.4,-0.4,Matches,ITA-SERIA_A,19-20
3ed84b2c,2,Bobby Adekanye,NED,FW,Lazio,20,1999,2.1,1,5,4,80.0,2.39,1.91,0.2,0.25,11.3,0,0,0,1.4,1.4,0.27,-0.4,-0.4,Matches,ITA-SERIA_A,19-20
ce5b170a,3,Claud Adjapong,ITA,DF,Hellas Verona,21,1998,2.6,0,3,1,33.3,1.17,0.39,0.0,0.0,14.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,ITA-SERIA_A,19-20
8bc8829a,4,Lucien Agoume,FRA,MF,Inter,17,2002,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
46fa7204,5,Kevin Agudelo,COL,"MF,FW",Fiorentina,20,1998,0.7,0,4,0,0.0,5.63,0.0,0.0,,22.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,ITA-SERIA_A,19-20
46fa7204,6,Kevin Agudelo,COL,"MF,FW",Genoa,20,1998,7.4,1,10,2,20.0,1.35,0.27,0.1,0.5,17.4,0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches,ITA-SERIA_A,19-20
fe0b8f0e,7,Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,28,1990,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
246d153b,8,Ola Aina,NGA,DF,Torino,22,1996,23.1,0,12,2,16.7,0.52,0.09,0.0,0.0,24.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,ITA-SERIA_A,19-20
5294a83f,9,Luis Alberto,ESP,MF,Lazio,26,1992,34.6,6,97,27,27.8,2.8,0.78,0.05,0.19,21.6,11,1,1,6.6,5.8,0.06,-0.6,-0.8,Matches,ITA-SERIA_A,19-20
95adf1e1,10,Enrico Alfonso,ITA,GK,Brescia,31,1988,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
cc700722,11,Allan,BRA,MF,Napoli,28,1991,14.2,2,12,7,58.3,0.84,0.49,0.17,0.29,21.1,0,0,0,0.5,0.5,0.05,1.5,1.5,Matches,ITA-SERIA_A,19-20
585a73a8,12,Bruno Alves,POR,DF,Parma,37,1981,29.7,0,24,1,4.2,0.81,0.03,0.0,0.0,20.0,10,0,0,1.3,1.3,0.05,-1.3,-1.3,Matches,ITA-SERIA_A,19-20
5a2cb25d,13,Sofyan Amrabat,MAR,MF,Hellas Verona,22,1996,32.4,1,18,6,33.3,0.55,0.18,0.0,0.0,22.7,0,1,1,2.0,1.3,0.07,-1.0,-1.3,Matches,ITA-SERIA_A,19-20
ca241ad3,14,Djavan Anderson,NED,"FW,DF",Lazio,24,1995,1.9,0,1,0,0.0,0.54,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,ITA-SERIA_A,19-20
fe471a89,15,Lorenzo Andrenacci,ITA,GK,Brescia,24,1995,5.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
df525574,16,Peter Ankersen,DEN,DF,Genoa,28,1990,11.8,0,13,3,23.1,1.1,0.25,0.0,0.0,23.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,ITA-SERIA_A,19-20
bbafc0c4,17,Cristian Ansaldi,ARG,"DF,MF",Torino,32,1986,19.6,4,29,8,27.6,1.48,0.41,0.14,0.5,21.0,1,0,0,1.9,1.9,0.06,2.1,2.1,Matches,ITA-SERIA_A,19-20
91976866,18,Mirko Antonucci,ITA,"FW,MF",Roma,20,1999,0.9,0,3,0,0.0,3.29,0.0,0.0,,12.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,ITA-SERIA_A,19-20
2b15a82a,19,Guilherme Arana,BRA,DF,Atalanta,22,1997,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
2f7407fa,20,Nicolò Armini,ITA,DF,Lazio,18,2001,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
089550f5,21,Kwadwo Asamoah,GHA,"DF,FW",Inter,30,1988,7.1,0,3,1,33.3,0.42,0.14,0.0,0.0,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,ITA-SERIA_A,19-20
a69cc629,22,Kristoffer Askildsen,NOR,MF,Sampdoria,18,2001,0.8,1,1,1,100.0,1.18,1.18,1.0,1.0,31.0,0,0,0,0.0,0.0,0.02,1.0,1.0,Matches,ITA-SERIA_A,19-20
649b01d8,23,Emil Audero,ITA,GK,Sampdoria,22,1997,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
3cd3b384,24,Tommaso Augello,ITA,DF,Sampdoria,24,1994,12.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
718b8afd,25,Florian Ayé,FRA,"FW,MF",Brescia,22,1997,15.3,0,23,7,30.4,1.5,0.46,0.0,0.0,14.7,0,0,0,2.4,2.4,0.1,-2.4,-2.4,Matches,ITA-SERIA_A,19-20
422ec08a,26,Khouma Babacar,SEN,FW,Lecce,26,1993,15.8,3,47,16,34.0,2.97,1.01,0.06,0.19,16.0,0,0,2,6.6,4.9,0.1,-3.6,-1.9,Matches,ITA-SERIA_A,19-20
e8c930bb,27,Milan Badelj,CRO,MF,Fiorentina,30,1989,17.6,1,15,2,13.3,0.85,0.11,0.07,0.5,23.6,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,ITA-SERIA_A,19-20
8cb494c9,28,Marco Ballarini,ITA,MF,Udinese,18,2001,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
8ff07990,29,Mario Balotelli,ITA,FW,Brescia,28,1990,15.6,5,72,25,34.7,4.62,1.6,0.07,0.2,20.7,16,0,0,7.1,7.1,0.1,-2.1,-2.1,Matches,ITA-SERIA_A,19-20
0821331c,30,Mattia Bani,ITA,DF,Bologna,25,1993,24.5,4,16,7,43.8,0.65,0.29,0.25,0.57,10.3,0,0,0,3.7,3.7,0.23,0.3,0.3,Matches,ITA-SERIA_A,19-20
01efac19,31,Antonín Barák,CZE,"MF,FW",Udinese,24,1994,2.2,0,4,2,50.0,1.86,0.93,0.0,0.0,26.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,ITA-SERIA_A,19-20
01efac19,32,Antonín Barák,CZE,MF,Lecce,24,1994,15.2,2,33,13,39.4,2.17,0.85,0.06,0.15,17.0,0,0,0,3.9,3.9,0.12,-1.9,-1.9,Matches,ITA-SERIA_A,19-20
6928979a,33,Nicolò Barella,ITA,MF,Inter,22,1997,22.4,1,24,5,20.8,1.07,0.22,0.04,0.2,21.0,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches,ITA-SERIA_A,19-20
a64cbd35,34,Antonino Barillà,ITA,MF,Parma,31,1988,18.8,1,17,3,17.6,0.91,0.16,0.06,0.33,20.2,0,0,0,1.6,1.6,0.1,-0.6,-0.6,Matches,ITA-SERIA_A,19-20
6a189491,35,Antonio Barreca,ITA,"DF,FW",Genoa,24,1995,12.2,0,6,3,50.0,0.49,0.25,0.0,0.0,22.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,ITA-SERIA_A,19-20
43a1bea5,36,Édgar Barreto,PAR,MF,Sampdoria,35,1984,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,20.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,ITA-SERIA_A,19-20
e5bf73f3,37,Musa Barrow,GAM,"FW,MF",Bologna,20,1998,15.0,9,64,21,32.8,4.25,1.4,0.13,0.38,21.2,7,1,1,5.3,4.5,0.07,3.7,3.5,Matches,ITA-SERIA_A,19-20
e5bf73f3,38,Musa Barrow,GAM,"FW,MF",Atalanta,20,1998,2.1,0,11,5,45.5,5.21,2.37,0.0,0.0,14.5,0,0,1,2.4,1.6,0.15,-2.4,-1.6,Matches,ITA-SERIA_A,19-20
ea06dd97,39,Daniele Baselli,ITA,MF,Torino,27,1992,14.2,0,7,3,42.9,0.49,0.21,0.0,0.0,23.0,1,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,ITA-SERIA_A,19-20
75b86fb3,40,Alessandro Bastoni,ITA,DF,Inter,20,1999,21.3,2,8,4,50.0,0.37,0.19,0.25,0.5,10.1,0,0,0,1.3,1.3,0.16,0.7,0.7,Matches,ITA-SERIA_A,19-20
c01c66d9,41,Bastos,ANG,DF,Lazio,28,1991,8.5,1,7,2,28.6,0.82,0.24,0.14,0.5,17.9,0,0,0,0.4,0.4,0.06,0.6,0.6,Matches,ITA-SERIA_A,19-20
19e4eab9,42,Rodrigo Becão,BRA,DF,Udinese,23,1996,24.6,1,7,2,28.6,0.28,0.08,0.14,0.5,15.0,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches,ITA-SERIA_A,19-20
7b4de647,43,Asmir Begović,BIH,GK,Milan,32,1987,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
d3d758d8,44,Valon Behrami,SUI,MF,Genoa,34,1985,12.3,0,5,1,20.0,0.41,0.08,0.0,0.0,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,ITA-SERIA_A,19-20
e3756e72,45,Raoul Bellanova,ITA,DF,Atalanta,19,2000,0.2,0,2,0,0.0,10.0,0.0,0.0,,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,ITA-SERIA_A,19-20
d705ba44,46,Andrea Belotti,ITA,FW,Torino,25,1993,33.4,16,96,33,34.4,2.87,0.99,0.09,0.27,17.2,5,7,8,16.7,10.5,0.11,-0.7,-1.5,Matches,ITA-SERIA_A,19-20
0000acda,47,Marco Benassi,ITA,MF,Fiorentina,24,1994,10.9,1,20,4,20.0,1.84,0.37,0.05,0.25,19.2,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches,ITA-SERIA_A,19-20
db092d3b,48,Ismaël Bennacer,ALG,MF,Milan,21,1997,27.6,1,15,1,6.7,0.54,0.04,0.07,1.0,27.4,1,0,0,0.7,0.7,0.05,0.3,0.3,Matches,ITA-SERIA_A,19-20
3b8674e6,49,Rodrigo Bentancur,URU,MF,Juventus,22,1997,24.4,0,16,3,18.8,0.66,0.12,0.0,0.0,23.0,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches,ITA-SERIA_A,19-20
2e3596d1,50,Romario Benzar,ROU,DF,Lecce,27,1992,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ITA-SERIA_A,19-20
