id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,league,season
82e12fe7,1,Junior Adamu,AUT,FW,Freiburg,23-085,2001,1.0,7,14,50.0,62,6,4,9,44.4,1,1,100.0,0,0,,1,0.3,0.0,0.7,4,0,0,0,0,Matches,GER-BL1,24-25
501055d8,2,Karim Adeyemi,GER,FW,Dortmund,22-225,2002,0.6,9,13,69.2,137,12,6,8,75.0,3,3,100.0,0,0,,0,0.4,0.0,-0.4,2,0,1,0,1,Matches,GER-BL1,24-25
dcfb17f4,3,Amine Adli,MAR,FW,Leverkusen,24-112,2000,0.1,7,8,87.5,77,18,7,8,87.5,0,0,,0,0,,0,0.0,0.0,0.0,0,0,1,0,2,Matches,GER-BL1,24-25
5054c359,4,Oladapo Afolayan,ENG,FW,St. Pauli,26-200,1998,0.2,4,5,80.0,76,10,2,2,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,GER-BL1,24-25
cb6d81b3,5,Felix Agu,GER,DF,Werder Bremen,24-338,1999,1.0,35,41,85.4,649,153,20,22,90.9,9,11,81.8,5,5,100.0,0,0.1,0.3,-0.1,2,0,3,3,1,Matches,GER-BL1,24-25
6ec6fde0,6,Kevin Akpoguma,NGA,DF,Hoffenheim,29-133,1995,1.0,39,46,84.8,744,285,16,16,100.0,20,23,87.0,3,5,60.0,0,0.0,0.0,0.0,1,5,0,0,4,Matches,GER-BL1,24-25
add37c13,7,Skelly Alvero,FRA,MF,Werder Bremen,22-118,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,GER-BL1,24-25
555d5edd,8,Nadiem Amiri,GER,MF,Mainz 05,27-308,1996,1.0,47,59,79.7,1010,375,15,17,88.2,20,22,90.9,11,17,64.7,0,0.2,0.8,-0.2,2,7,3,0,6,Matches,GER-BL1,24-25
e0b113a7,9,Robert Andrich,GER,MF,Leverkusen,29-343,1994,0.9,46,55,83.6,577,139,30,32,93.8,14,18,77.8,1,2,50.0,0,0.0,0.1,0.0,1,4,1,0,2,Matches,GER-BL1,24-25
5e66fa06,10,Waldemar Anton,GER,DF,Dortmund,28-041,1996,1.0,86,96,89.6,1574,345,37,39,94.9,45,48,93.8,4,8,50.0,0,0.0,0.0,0.0,0,8,0,0,7,Matches,GER-BL1,24-25
86e119e0,11,Maximilian Arnold,GER,MF,Wolfsburg,30-095,1994,1.0,23,31,74.2,442,165,11,12,91.7,7,8,87.5,4,9,44.4,0,0.0,0.0,0.0,1,5,0,0,7,Matches,GER-BL1,24-25
c21fb312,12,Jann-Fiete Arp,GER,FW,Holstein Kiel,24-237,2000,0.4,2,6,33.3,31,17,1,2,50.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,GER-BL1,24-25
442b56fa,13,Ridle Baku,GER,FW,Wolfsburg,26-144,1998,1.0,25,36,69.4,375,175,16,17,94.1,7,10,70.0,1,2,50.0,0,0.1,0.4,-0.1,1,3,4,1,4,Matches,GER-BL1,24-25
7362a6f2,14,Aliou Baldé,GUI,FW,Bochum,21-262,2002,0.2,3,4,75.0,42,18,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,0,Matches,GER-BL1,24-25
489d4867,15,Samuel Bamba,GER,FW,Bochum,20-199,2004,0.1,3,6,50.0,56,8,1,1,100.0,2,2,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,GER-BL1,24-25
44a20f0c,16,Maximilian Bauer,GER,DF,Augsburg,24-203,2000,0.3,11,12,91.7,190,63,6,6,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches,GER-BL1,24-25
