id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,league,season
f76e6b4e,1,Adrián,ESP,GK,Liverpool,33,1987,3,3,270,3.0,9,3.0,18,9,50.0,1,1,1,1,33.3,0,0,0,0,,Matches,ENG-EPL,20-21
8fa8f8d2,2,Rúnar Alex Rúnarsson,ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0.0,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches,ENG-EPL,20-21
7a2e46a8,3,Alisson,BRA,GK,Liverpool,27,1992,33,33,2970,33.0,32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,3,20.0,Matches,ENG-EPL,20-21
2f965a72,4,Alphonse Areola,FRA,GK,Fulham,27,1993,36,36,3240,36.0,48,1.33,161,114,73.9,5,13,18,9,25.0,6,6,0,0,0.0,Matches,ENG-EPL,20-21
28d596a0,5,Kepa Arrizabalaga,ESP,GK,Chelsea,25,1994,7,6,585,6.5,8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,0.0,Matches,ENG-EPL,20-21
cc70a1d5,6,Jack Butland,ENG,GK,Crystal Palace,27,1993,1,1,90,1.0,2,2.0,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Matches,ENG-EPL,20-21
e608ed4c,7,David Button,ENG,GK,West Brom,31,1989,1,1,90,1.0,2,2.0,6,4,66.7,1,0,0,0,0.0,0,0,0,0,,Matches,ENG-EPL,20-21
a179d516,8,Willy Caballero,ARG,GK,Chelsea,38,1981,1,1,90,1.0,3,3.0,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Matches,ENG-EPL,20-21
3e1550ee,9,Scott Carson,ENG,GK,Manchester City,34,1985,1,1,90,1.0,3,3.0,5,1,60.0,1,0,0,0,0.0,2,1,1,0,50.0,Matches,ENG-EPL,20-21
