id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,league,season
4cd41883,1,Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,18,2003,1.9,71,68,3,0,0,0,7,2,1,0,1,0,51,0,1,Matches,GER-BL1,22-23
22919e97,2,Sargis Adamyan,ARM,"FW,MF",Köln,29,1993,7.2,179,159,19,0,1,1,13,6,0,0,0,0,123,1,8,Matches,GER-BL1,22-23
501055d8,3,Karim Adeyemi,GER,"FW,MF",Dortmund,20,2002,15.4,457,431,23,3,2,1,25,12,8,7,1,0,335,3,21,Matches,GER-BL1,22-23
dcfb17f4,4,Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,15.9,565,535,23,4,3,2,18,5,8,2,2,0,427,7,19,Matches,GER-BL1,22-23
cb6d81b3,5,Felix Agu,GER,"DF,FW",Werder Bremen,22,1999,0.5,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2,Matches,GER-BL1,22-23
a6c58494,6,Naouirou Ahamada,FRA,MF,Stuttgart,20,2002,15.5,529,514,13,4,2,1,6,5,0,0,0,0,449,2,13,Matches,GER-BL1,22-23
462475ed,7,Ludovic Ajorque,FRA,"FW,MF",Mainz 05,28,1994,13.5,415,398,14,1,1,5,4,2,0,0,0,0,243,3,11,Matches,GER-BL1,22-23
6ec6fde0,8,Kevin Akpoguma,NGA,DF,Hoffenheim,27,1995,21.7,1024,966,56,30,1,14,8,26,0,0,0,0,814,2,18,Matches,GER-BL1,22-23
834d0be5,9,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,85,80,5,0,0,0,0,0,0,0,0,0,56,0,1,Matches,GER-BL1,22-23
00f518d8,10,Faride Alidou,GER,"DF,MF",Eint Frankfurt,21,2001,2.0,101,84,17,0,0,0,7,17,0,0,0,0,74,0,2,Matches,GER-BL1,22-23
8ce30c57,11,Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,29,1993,2.6,91,84,5,3,1,1,2,0,2,1,1,0,64,2,1,Matches,GER-BL1,22-23
cd682b6b,12,Lukáš Ambros,CZE,MF,Wolfsburg,18,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,GER-BL1,22-23
555d5edd,13,Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,10.9,507,472,32,14,4,4,16,4,9,2,7,0,423,3,15,Matches,GER-BL1,22-23
e0b113a7,14,Robert Andrich,GER,MF,Leverkusen,27,1994,26.7,1455,1404,49,42,0,4,4,5,0,0,0,0,1218,2,12,Matches,GER-BL1,22-23
30941e96,15,Angeliño,ESP,DF,Hoffenheim,25,1997,29.1,1544,1160,366,42,1,16,179,276,48,18,23,0,1012,18,40,Matches,GER-BL1,22-23
5e66fa06,16,Waldemar Anton,GER,DF,Stuttgart,26,1996,32.6,2059,1854,201,64,4,21,31,136,0,0,0,0,1629,4,31,Matches,GER-BL1,22-23
0a3f6cde,17,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,28,1994,22.0,712,513,195,3,2,2,63,180,4,0,0,0,432,4,32,Matches,GER-BL1,22-23
56413b1f,18,Charles Aránguiz,CHI,MF,Leverkusen,33,1989,5.5,311,290,20,12,0,0,12,1,7,4,3,0,248,1,3,Matches,GER-BL1,22-23
86e119e0,19,Maximilian Arnold,GER,MF,Wolfsburg,28,1994,30.7,1642,1335,296,177,6,32,154,9,87,57,28,0,1269,11,9,Matches,GER-BL1,22-23
13ddc856,20,Takuma Asano,JPN,"FW,MF",Bochum,27,1994,19.0,342,336,4,1,2,0,28,2,1,0,0,0,237,2,16,Matches,GER-BL1,22-23
35f67a30,21,Fisnik Asllani,KVX,FW,Hoffenheim,19,2002,1.9,63,62,1,0,0,0,3,0,0,0,0,0,37,0,4,Matches,GER-BL1,22-23
fe46e261,22,Mehmet Aydin,GER,"DF,FW",Schalke 04,20,2002,6.3,280,220,56,4,1,1,23,51,1,0,0,0,178,4,13,Matches,GER-BL1,22-23
ce81d82d,23,Ayman Azhil,MAR,MF,Leverkusen,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,GER-BL1,22-23
10549b49,24,Sardar Azmoun,IRN,"FW,MF",Leverkusen,27,1995,10.3,247,232,13,0,2,0,0,1,0,0,0,0,162,2,10,Matches,GER-BL1,22-23
f582d5c1,25,Sanoussy Ba,GER,DF,RB Leipzig,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,GER-BL1,22-23
a8567629,26,Mitchel Bakker,NED,"DF,MF",Leverkusen,22,2000,18.4,968,790,177,14,1,8,26,162,1,0,0,0,764,1,20,Matches,GER-BL1,22-23
442b56fa,27,Ridle Baku,GER,"DF,FW",Wolfsburg,24,1998,28.7,1551,1286,258,24,2,7,70,232,2,2,0,0,1216,7,34,Matches,GER-BL1,22-23
a2a85828,28,Aymen Barkok,MAR,MF,Mainz 05,24,1998,6.5,264,249,12,2,2,1,12,7,3,1,1,0,181,3,10,Matches,GER-BL1,22-23
00242b75,29,Leandro Barreiro Martins,LUX,MF,Mainz 05,22,2000,23.8,557,547,7,7,2,0,6,0,0,0,0,0,379,3,21,Matches,GER-BL1,22-23
e61bdd69,30,Gil Bastião Dias,POR,FW,Stuttgart,25,1996,4.4,174,170,4,1,0,2,6,3,0,0,0,0,120,0,14,Matches,GER-BL1,22-23
44a20f0c,31,Maximilian Bauer,GER,DF,Augsburg,22,2000,20.5,758,722,34,28,0,7,2,6,0,0,0,0,551,2,11,Matches,GER-BL1,22-23
47064058,32,Oliver Baumann,GER,GK,Hoffenheim,32,1990,34.0,1417,1081,332,83,0,6,0,0,0,0,0,0,1068,4,1,Matches,GER-BL1,22-23
bd7d2e6d,33,Timo Baumgartl,GER,DF,Union Berlin,26,1996,6.2,316,301,15,13,0,3,6,0,0,0,0,0,257,0,2,Matches,GER-BL1,22-23
69374ff5,34,Julian Baumgartlinger,AUT,MF,Augsburg,34,1988,6.2,228,219,9,4,0,2,2,1,0,0,0,0,189,0,2,Matches,GER-BL1,22-23
437f2b00,35,Christoph Baumgartner,AUT,"MF,FW",Hoffenheim,22,1999,28.5,915,850,56,10,4,9,29,31,1,0,0,0,610,9,42,Matches,GER-BL1,22-23
fbbc8e15,36,Noah Joel Sarenren Bazee,NGA,"MF,FW",Augsburg,25,1996,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches,GER-BL1,22-23
a53b661f,37,Ihlas Bebou,TOG,"FW,DF",Hoffenheim,28,1994,15.7,369,336,30,0,0,2,11,21,0,0,0,0,246,3,12,Matches,GER-BL1,22-23
8eb55dbb,38,Sheraldo Becker,SUR,FW,Union Berlin,27,1995,28.4,652,631,17,3,1,1,139,10,2,0,0,0,387,4,44,Matches,GER-BL1,22-23
30ae134d,39,Kevin Behrens,GER,FW,Union Berlin,31,1991,17.1,483,471,8,0,2,0,8,3,0,0,0,0,283,4,11,Matches,GER-BL1,22-23
857a5abe,40,Stefan Bell,GER,DF,Mainz 05,30,1991,26.6,1248,1207,34,32,1,5,15,2,0,0,0,0,945,7,13,Matches,GER-BL1,22-23
bee0bab1,41,Karim Bellarabi,GER,"FW,MF",Leverkusen,32,1990,0.9,57,56,1,0,0,0,8,1,0,0,0,0,37,0,1,Matches,GER-BL1,22-23
57d88cf9,42,Jude Bellingham,ENG,MF,Dortmund,19,2003,29.9,1643,1583,55,34,9,30,33,17,1,0,0,0,1342,5,37,Matches,GER-BL1,22-23
378825c7,43,Ramy Bensebaini,ALG,DF,Gladbach,27,1995,27.6,1525,1223,293,48,10,4,31,244,0,0,0,0,1192,9,37,Matches,GER-BL1,22-23
eb6e14be,44,Mergim Berisha,GER,FW,Augsburg,24,1998,18.7,342,267,73,18,1,1,77,0,34,18,16,0,161,2,18,Matches,GER-BL1,22-23
7aac47fe,45,Ermin Bičakčić,BIH,DF,Hoffenheim,32,1990,2.9,96,91,5,2,0,1,1,2,0,0,0,0,68,0,1,Matches,GER-BL1,22-23
07d3bfec,46,Tom Bischof,GER,"MF,FW",Hoffenheim,17,2005,3.5,121,116,5,2,1,0,7,1,2,2,0,0,84,0,6,Matches,GER-BL1,22-23
dc62fbee,47,Leonardo Bittencourt,GER,"MF,DF",Werder Bremen,28,1993,18.1,792,756,35,3,2,6,49,31,1,1,0,0,579,1,28,Matches,GER-BL1,22-23
663e080e,48,Janis Blaswich,GER,GK,RB Leipzig,31,1991,26.0,1142,951,190,34,0,1,0,0,0,0,0,0,988,1,2,Matches,GER-BL1,22-23
691bef82,49,Daley Blind,NED,"DF,MF",Bayern Munich,32,1990,1.5,100,92,7,6,0,1,1,1,0,0,0,0,87,1,1,Matches,GER-BL1,22-23
f4ec4fd0,50,Kevin-Prince Boateng,GHA,MF,Hertha BSC,35,1987,5.2,252,224,27,9,1,0,7,10,0,0,0,0,185,1,1,Matches,GER-BL1,22-23
635f2732,51,Jean-Paul Boëtius,NED,MF,Hertha BSC,28,1994,11.7,421,390,26,19,4,7,5,0,0,0,0,0,303,5,7,Matches,GER-BL1,22-23
36578017,52,Yvandro Borges Sanches,LUX,"FW,MF",Gladbach,18,2004,0.3,9,8,1,0,0,0,2,0,0,0,0,0,8,0,0,Matches,GER-BL1,22-23
01834aa0,53,Sebastiaan Bornauw,BEL,DF,Wolfsburg,23,1999,21.4,1234,1177,57,34,0,4,3,8,0,0,0,0,1062,0,14,Matches,GER-BL1,22-23
c68da769,54,Rafael Borré,COL,"MF,FW",Eint Frankfurt,26,1995,12.0,422,402,17,2,2,1,22,4,2,0,0,0,294,3,15,Matches,GER-BL1,22-23
a167537f,55,Julian Brandt,GER,"MF,FW",Dortmund,26,1996,26.6,1368,1210,153,22,6,18,165,14,114,36,57,3,1053,5,33,Matches,GER-BL1,22-23
d28339cb,56,Fabian Bredlow,GER,GK,Stuttgart,27,1995,15.0,595,478,116,25,0,0,0,0,0,0,0,0,510,1,0,Matches,GER-BL1,22-23
d4a2533d,57,Josip Brekalo,CRO,"MF,FW",Wolfsburg,24,1998,3.0,148,132,16,4,0,3,13,5,4,4,0,0,103,0,9,Matches,GER-BL1,22-23
e27da244,58,John Brooks,USA,DF,Hoffenheim,29,1993,15.0,773,725,45,39,0,7,0,1,0,0,0,0,624,3,6,Matches,GER-BL1,22-23
bbd79358,59,Moritz Broschinski,GER,"FW,MF",Bochum,21,2000,2.4,50,49,1,0,0,0,3,0,0,0,0,0,29,0,2,Matches,GER-BL1,22-23
f0a37d36,60,Cédric Brunner,SUI,DF,Schalke 04,28,1994,25.7,1158,886,269,19,1,2,61,250,0,0,0,0,779,3,30,Matches,GER-BL1,22-23
4e204552,61,Jacob Bruun Larsen,DEN,FW,Hoffenheim,23,1998,3.6,88,81,6,1,0,0,4,0,0,0,0,0,62,1,3,Matches,GER-BL1,22-23
45e95f21,62,Lee Buchanan,ENG,"DF,FW",Werder Bremen,21,2001,5.2,267,228,39,1,1,3,18,38,0,0,0,0,179,0,4,Matches,GER-BL1,22-23
ab5b7dc1,63,Marius Bülter,GER,"FW,MF",Schalke 04,29,1993,28.9,762,736,20,0,5,6,118,20,0,0,0,0,439,6,45,Matches,GER-BL1,22-23
05e2d5ea,64,Delano Burgzorg,SUR,"FW,MF",Mainz 05,23,1998,2.7,55,50,3,1,0,0,1,1,1,0,0,0,40,2,4,Matches,GER-BL1,22-23
05f99a4a,65,Jonathan Burkardt,GER,"MF,FW",Mainz 05,22,2000,5.9,109,106,1,0,2,2,11,0,0,0,0,0,71,2,5,Matches,GER-BL1,22-23
f631c17f,66,Oliver Burke,SCO,"FW,MF",Werder Bremen,25,1997,3.0,81,78,3,0,0,0,6,1,0,0,0,0,53,0,2,Matches,GER-BL1,22-23
