id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,league,season
32c2d95f,1,Yunis Abdelhamid,MAR,DF,Reims,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,0.8,0.8,Matches,FRA-L1,21-22
82464ce3,2,Salis Abdul Samed,GHA,MF,Clermont Foot,21,2000,27.4,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,0.7,0.7,0.04,0.3,0.3,Matches,FRA-L1,21-22
31626657,3,Laurent Abergel,FRA,MF,Lorient,28,1993,32.8,0,29,7,24.1,0.88,0.21,0.0,0.0,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches,FRA-L1,21-22
469d3d84,4,Charles Abi,FRA,FW,Saint-Étienne,21,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,FRA-L1,21-22
0e46fa2f,5,Matthis Abline,FRA,FW,Rennes,18,2003,1.1,0,2,0,0.0,1.75,0.0,0.0,,9.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches,FRA-L1,21-22
1e93fc5d,6,Mohamed Achi,FRA,MF,Nantes,19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,FRA-L1,21-22
7587446d,7,Martin Adeline,FRA,"MF,FW",Reims,17,2003,3.9,0,4,1,25.0,1.02,0.26,0.0,0.0,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,FRA-L1,21-22
26777636,8,Yacine Adli,FRA,"MF,FW",Bordeaux,21,2000,25.1,1,32,15,46.9,1.27,0.6,0.03,0.07,21.2,4,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches,FRA-L1,21-22
8bc8829a,9,Lucien Agoume,FRA,MF,Brest,19,2002,20.8,0,15,1,6.7,0.72,0.05,0.0,0.0,11.9,0,0,0,1.2,1.1,0.07,-1.2,-1.1,Matches,FRA-L1,21-22
288e1e13,10,Nayef Aguerd,MAR,DF,Rennes,25,1996,30.4,2,25,7,28.0,0.82,0.23,0.08,0.29,9.4,0,0,0,2.1,2.1,0.08,-0.1,-0.1,Matches,FRA-L1,21-22
3dd738a1,11,Ruben Aguilar,FRA,DF,Monaco,28,1993,23.8,0,10,2,20.0,0.42,0.08,0.0,0.0,22.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,FRA-L1,21-22
eab957a3,12,Anel Ahmedhodžić,BIH,DF,Bordeaux,22,1999,15.0,0,8,4,50.0,0.53,0.27,0.0,0.0,16.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,FRA-L1,21-22
48b28bfd,13,Jean-Eudes Aholou,CIV,MF,Strasbourg,27,1994,11.2,1,17,2,11.8,1.52,0.18,0.06,0.5,21.2,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches,FRA-L1,21-22
462475ed,14,Ludovic Ajorque,FRA,FW,Strasbourg,27,1994,30.4,12,56,24,42.9,1.84,0.79,0.16,0.38,13.5,0,3,3,10.6,8.3,0.15,1.4,0.7,Matches,FRA-L1,21-22
b625b241,15,Maghnes Akliouche,FRA,"MF,FW",Monaco,19,2002,0.6,0,2,1,50.0,3.33,1.67,0.0,0.0,16.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,FRA-L1,21-22
