Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-06,16:00:00,Community Shield,FA Community Shield,Sun,Neutral,D,1 (1),1 (4),Arsenal,,,55,81145,Kyle Walker,4-2-3-1,4-3-3,Stuart Attwell,/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,Arsenal won on penalty kicks following normal time,23-24,Manchester City,b8fd03ef
2023-08-11,20:00:00,Premier League,Matchweek 1,Fri,Away,W,3,0,Burnley,1.9,0.3,65,21572,Kevin De Bruyne,4-2-3-1,5-4-1,Craig Pawson,/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-08-16,22:00:00,Super Cup,UEFA Super Cup,Wed,Home,D,1 (5),1 (4),Sevilla,,,74,,Kyle Walker,4-2-3-1,4-2-3-1,François Letexier,/en/matches/572ae2f0/Manchester-City-Sevilla-August-16-2023-UEFA-Super-Cup,,23-24,Manchester City,b8fd03ef
2023-08-19,20:00:00,Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,1.0,0.3,59,53419,Kyle Walker,4-2-3-1,4-3-3,Robert Jones,/en/matches/0b8f50a5/Manchester-City-Newcastle-United-August-19-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-08-27,14:00:00,Premier League,Matchweek 3,Sun,Away,W,2,1,Sheffield Utd,3.5,0.7,79,31336,Kyle Walker,4-2-3-1,3-5-2,Jarred Gillett,/en/matches/0844ff10/Sheffield-United-Manchester-City-August-27-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-09-02,15:00:00,Premier League,Matchweek 4,Sat,Home,W,5,1,Fulham,2.2,1.4,68,52899,Kyle Walker,4-2-3-1,4-3-3,Michael Oliver,/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-09-16,15:00:00,Premier League,Matchweek 5,Sat,Away,W,3,1,West Ham,3.6,0.9,68,62475,Kyle Walker,4-2-3-1,4-2-3-1,Andy Madley,/en/matches/64c0a6e2/West-Ham-United-Manchester-City-September-16-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-09-19,20:00:00,Champions Lg,Group stage,Tue,Home,W,3,1,Red Star,4.1,0.8,76,50204,Kyle Walker,4-2-3-1,5-3-2,João Pinheiro,/en/matches/3d87750d/Manchester-City-Red-Star-Belgrade-September-19-2023-Champions-League,,23-24,Manchester City,b8fd03ef
2023-09-23,15:00:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Nott'ham Forest,1.3,1.0,57,53413,Kyle Walker,4-2-3-1,5-4-1,Anthony Taylor,/en/matches/5dc7e234/Manchester-City-Nottingham-Forest-September-23-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-09-27,20:00:00,EFL Cup,Third round,Wed,Away,L,0,1,Newcastle Utd,,,67,51692,Nathan Aké,3-2-4-1,4-3-3,Chris Kavanagh,/en/matches/ea61505c/Newcastle-United-Manchester-City-September-27-2023-EFL-Cup,,23-24,Manchester City,b8fd03ef
2023-09-30,15:00:00,Premier League,Matchweek 7,Sat,Away,L,1,2,Wolves,0.9,0.4,68,31415,Kyle Walker,4-2-3-1,3-4-3,Craig Pawson,/en/matches/60ce29cd/Wolverhampton-Wanderers-Manchester-City-September-30-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-10-04,21:00:00,Champions Lg,Group stage,Wed,Away,W,3,1,RB Leipzig,2.2,0.5,68,45228,Kyle Walker,3-2-4-1,4-2-3-1,Artur Soares Dias,/en/matches/2dd697fb/RB-Leipzig-Manchester-City-October-4-2023-Champions-League,,23-24,Manchester City,b8fd03ef
2023-10-08,16:30:00,Premier League,Matchweek 8,Sun,Away,L,0,1,Arsenal,0.5,0.4,51,60233,Kyle Walker,4-3-3,4-3-3,Michael Oliver,/en/matches/59cd18ae/Arsenal-Manchester-City-October-8-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-10-21,15:00:00,Premier League,Matchweek 9,Sat,Home,W,2,1,Brighton,0.8,0.8,55,53466,Kyle Walker,3-2-4-1,4-2-3-1,Robert Jones,/en/matches/b782a834/Manchester-City-Brighton-and-Hove-Albion-October-21-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-10-25,21:00:00,Champions Lg,Group stage,Wed,Away,W,3,1,Young Boys,4.2,0.4,68,31500,Rúben Dias,3-2-4-1,4-3-3,Morten Krogh,/en/matches/d66f6ad1/Young-Boys-Manchester-City-October-25-2023-Champions-League,,23-24,Manchester City,b8fd03ef
2023-10-29,15:30:00,Premier League,Matchweek 10,Sun,Away,W,3,0,Manchester Utd,4.0,0.9,60,73502,Kyle Walker,4-2-3-1,4-2-3-1,Paul Tierney,/en/matches/f6bfec82/Manchester-Derby-Manchester-United-Manchester-City-October-29-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-11-04,15:00:00,Premier League,Matchweek 11,Sat,Home,W,6,1,Bournemouth,1.9,0.9,65,53358,Kyle Walker,3-4-3,5-4-1,Craig Pawson,/en/matches/e75a870b/Manchester-City-Bournemouth-November-4-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-11-07,20:00:00,Champions Lg,Group stage,Tue,Home,W,3,0,Young Boys,3.4,0.0,71,51049,Kyle Walker,3-2-4-1,5-4-1,Erik Lambrechts,/en/matches/620ab893/Manchester-City-Young-Boys-November-7-2023-Champions-League,,23-24,Manchester City,b8fd03ef
2023-11-12,16:30:00,Premier League,Matchweek 12,Sun,Away,D,4,4,Chelsea,2.9,2.9,55,39532,Kyle Walker,3-2-4-1,4-2-3-1,Anthony Taylor,/en/matches/53bb8f30/Chelsea-Manchester-City-November-12-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-11-25,12:30:00,Premier League,Matchweek 13,Sat,Home,D,1,1,Liverpool,1.3,0.6,59,53289,Kyle Walker,3-2-4-1,4-3-3,Chris Kavanagh,/en/matches/5d4a5006/Manchester-City-Liverpool-November-25-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-11-28,20:00:00,Champions Lg,Group stage,Tue,Home,W,3,2,RB Leipzig,1.8,0.5,70,51402,Kyle Walker,3-2-4-1,5-4-1,Glenn Nyberg,/en/matches/96f5597e/Manchester-City-RB-Leipzig-November-28-2023-Champions-League,,23-24,Manchester City,b8fd03ef
2023-12-03,16:30:00,Premier League,Matchweek 14,Sun,Home,D,3,3,Tottenham,2.6,0.5,55,53473,Kyle Walker,3-2-4-1,4-2-3-1,Simon Hooper,/en/matches/0e39f016/Manchester-City-Tottenham-Hotspur-December-3-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-12-06,20:15:00,Premier League,Matchweek 15,Wed,Away,L,0,1,Aston Villa,0.6,2.3,54,41421,Kyle Walker,3-2-4-1,4-4-1-1,John Brooks,/en/matches/0ad90506/Aston-Villa-Manchester-City-December-6-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-12-10,14:00:00,Premier League,Matchweek 16,Sun,Away,W,2,1,Luton Town,1.6,0.3,65,11047,Kyle Walker,4-2-3-1,3-4-3,Tim Robinson,/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-12-13,18:45:00,Champions Lg,Group stage,Wed,Away,W,3,2,Red Star,1.4,1.1,68,49443,John Stones,4-2-3-1,5-3-2,Əliyar Ağayev,/en/matches/c9438541/Red-Star-Belgrade-Manchester-City-December-13-2023-Champions-League,,23-24,Manchester City,b8fd03ef
2023-12-16,15:00:00,Premier League,Matchweek 17,Sat,Home,D,2,2,Crystal Palace,1.6,1.8,74,53248,Kyle Walker,4-2-3-1,5-4-1,Paul Tierney,/en/matches/30f3e1ee/Manchester-City-Crystal-Palace-December-16-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-12-27,20:15:00,Premier League,Matchweek 19,Wed,Away,W,3,1,Everton,2.4,1.0,72,39327,Kyle Walker,4-2-3-1,4-2-3-1,John Brooks,/en/matches/b9f69f01/Everton-Manchester-City-December-27-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2023-12-30,15:00:00,Premier League,Matchweek 20,Sat,Home,W,2,0,Sheffield Utd,2.2,0.3,80,53108,Kyle Walker,4-2-3-1,3-4-3,David Coote,/en/matches/aefd7405/Manchester-City-Sheffield-United-December-30-2023-Premier-League,,23-24,Manchester City,b8fd03ef
2024-01-07,14:00:00,FA Cup,Third round proper,Sun,Home,W,5,0,Huddersfield,,,84,51939,Rúben Dias,4-2-3-1,5-4-1,Michael Salisbury,/en/matches/0b96b744/Manchester-City-Huddersfield-Town-January-7-2024-FA-Cup,,23-24,Manchester City,b8fd03ef
