id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,league,season
5f09991f,1,Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,2,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,9,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,UEL,22-23
8c6239f2,2,Myenty Abena,SUR,DF,Ferencváros,27,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,UEL,22-23
0e46fa2f,3,Matthis Abline,FRA,FW,Rennes,19,2003,4,2,141,1.6,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,5,3,7,0.64,0.0,0.64,0.64,0.64,0.37,0.0,0.37,0.37,0.37,Matches,UEL,22-23
7f9c5d2d,4,Abner,BRA,DF,Betis,22,2000,2,2,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.07,0.01,0.07,Matches,UEL,22-23
8bc373ea,5,Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,4,3,293,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,9,1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,UEL,22-23
f586779e,6,Tammy Abraham,ENG,FW,Roma,24,1997,14,10,868,9.6,1,4,5,1,0,0,3,0,3.7,3.7,1.4,5.1,14,15,52,0.1,0.41,0.52,0.1,0.52,0.4,0.15,0.55,0.4,0.55,Matches,UEL,22-23
47aaf574,7,Malik Abubakari,GHA,FW,HJK,22,2000,6,5,440,4.9,0,1,1,0,0,0,1,0,0.9,0.9,0.2,1.1,2,2,20,0.0,0.2,0.2,0.0,0.2,0.17,0.04,0.22,0.17,0.22,Matches,UEL,22-23
81442ecb,8,Marcos Acuña,ARG,DF,Sevilla,30,1991,8,8,712,7.9,0,0,0,0,0,0,4,1,0.2,0.2,0.4,0.6,12,32,27,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,UEL,22-23
82e12fe7,9,Junior Adamu,AUT,FW,RB Salzburg,21,2001,2,1,104,1.2,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.8,0,0,6,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.68,0.68,0.68,Matches,UEL,22-23
65d62814,10,Antonio Adán,ESP,GK,Sporting CP,35,1987,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,UEL,22-23
4dcec659,11,Simon Adingra,CIV,"FW,DF",Union SG,20,2002,9,3,415,4.6,0,2,2,0,0,0,1,0,0.8,0.8,0.7,1.5,17,12,40,0.0,0.43,0.43,0.0,0.43,0.17,0.16,0.33,0.17,0.33,Matches,UEL,22-23
dcfb17f4,12,Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,8,2,283,3.1,2,0,2,2,0,0,1,0,1.0,1.0,0.7,1.8,10,9,36,0.64,0.0,0.64,0.64,0.64,0.33,0.23,0.56,0.33,0.56,Matches,UEL,22-23
4b00cd47,13,David Affengruber,AUT,DF,Sturm Graz,21,2001,6,5,484,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,1,15,2,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,UEL,22-23
