id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,league,season
e34fc66d,17,Joachim Andersen,DEN,DF,Crystal Palace,25,1996,32.4,30,23,21,9,0,16,27,59.3,11,29,19,10,37,67,125,3,Matches,ENG-EPL,21-22
ac05f970,18,Michail Antonio,JAM,FW,West Ham,31,1990,33.0,23,17,5,9,9,7,18,38.9,11,19,1,18,3,26,13,0,Matches,ENG-EPL,21-22
05e8ca6d,19,Cameron Archer,ENG,"FW,MF",Aston Villa,20,2001,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ENG-EPL,21-22
2f965a72,20,Alphonse Areola,FRA,GK,West Ham,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,ENG-EPL,21-22
68c720b5,21,Adam Armstrong,ENG,FW,Southampton,24,1997,15.7,10,4,2,2,6,0,6,0.0,6,13,1,12,3,13,6,0,Matches,ENG-EPL,21-22
97333cf5,22,Stuart Armstrong,SCO,MF,Southampton,29,1992,16.4,27,19,15,6,6,9,23,39.1,14,10,1,9,8,35,15,0,Matches,ENG-EPL,21-22
28d596a0,23,Kepa Arrizabalaga,ESP,GK,Chelsea,26,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches,ENG-EPL,21-22
b391383a,24,Harrison Ashby,SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,Matches,ENG-EPL,21-22
d5dd5f1f,25,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,32,1989,11.5,11,5,6,4,1,3,10,30.0,7,12,1,11,0,11,4,0,Matches,ENG-EPL,21-22
da052c14,26,Jordan Ayew,GHA,FW,Crystal Palace,29,1991,22.4,47,30,20,20,7,17,31,54.8,14,33,3,30,15,62,15,0,Matches,ENG-EPL,21-22
420d7c7d,27,Luke Ayling,ENG,DF,Leeds United,29,1991,25.2,74,42,46,23,5,51,97,52.6,46,46,25,21,28,102,52,1,Matches,ENG-EPL,21-22
53cad200,28,César Azpilicueta,ESP,DF,Chelsea,31,1989,23.0,51,28,18,27,6,16,35,45.7,19,32,9,23,23,74,65,1,Matches,ENG-EPL,21-22
1c0eea98,29,Daniel Bachmann,AUT,GK,Watford,27,1994,12.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,Matches,ENG-EPL,21-22
3a233281,30,Leon Bailey,JAM,"FW,MF",Aston Villa,23,1997,8.5,17,11,6,8,3,6,13,46.2,7,10,1,9,1,18,2,0,Matches,ENG-EPL,21-22
a1232f4e,31,Eric Bailly,CIV,DF,Manchester Utd,27,1994,2.4,5,4,4,0,1,3,4,75.0,1,4,2,2,3,8,11,0,Matches,ENG-EPL,21-22
31822f8c,32,Folarin Balogun,USA,FW,Arsenal,20,2001,0.8,1,1,0,0,1,0,0,,0,1,0,1,0,1,1,0,Matches,ENG-EPL,21-22
93feac6e,33,Patrick Bamford,ENG,FW,Leeds United,27,1993,6.2,1,0,0,1,0,0,3,0.0,3,8,2,6,2,3,8,0,Matches,ENG-EPL,21-22
2886c9b5,34,Shandon Baptiste,GRN,MF,Brentford,23,1998,10.1,14,4,9,4,1,6,15,40.0,9,10,0,10,11,25,12,0,Matches,ENG-EPL,21-22
3a24769f,35,Ross Barkley,ENG,"MF,FW",Chelsea,27,1993,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches,ENG-EPL,21-22
2691c772,36,Ashley Barnes,ENG,FW,Burnley,31,1989,9.0,11,2,2,7,2,2,9,22.2,7,8,1,7,2,13,5,0,Matches,ENG-EPL,21-22
3ea50f67,37,Harvey Barnes,ENG,"FW,MF",Leicester City,23,1997,23.3,31,16,9,11,11,7,23,30.4,16,24,1,23,5,36,7,0,Matches,ENG-EPL,21-22
cd4256d3,38,Lewis Bate,ENG,MF,Leeds United,18,2002,1.6,1,0,0,0,1,0,8,0.0,8,1,0,1,1,2,1,0,Matches,ENG-EPL,21-22
30db8574,39,Mads Bech Sørensen,DEN,DF,Brentford,22,1999,9.3,8,7,6,2,0,6,7,85.7,1,9,6,3,6,14,25,0,Matches,ENG-EPL,21-22
4115ce4e,40,Jan Bednarek,POL,DF,Southampton,25,1996,29.2,32,15,18,13,1,19,33,57.6,14,48,27,21,72,104,141,0,Matches,ENG-EPL,21-22
50dc94ce,41,Donny van de Beek,NED,MF,Manchester Utd,24,1997,0.8,6,4,4,1,1,1,2,50.0,1,5,1,4,2,8,1,0,Matches,ENG-EPL,21-22
50dc94ce,42,Donny van de Beek,NED,MF,Everton,24,1997,5.4,15,7,8,6,1,6,13,46.2,7,6,2,4,6,21,4,0,Matches,ENG-EPL,21-22
7b4de647,43,Asmir Begović,BIH,GK,Everton,34,1987,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches,ENG-EPL,21-22
5a04fd92,44,Saïd Benrahma,ALG,"FW,MF",West Ham,25,1995,24.1,28,17,16,9,3,15,38,39.5,23,17,1,16,9,37,8,0,Matches,ENG-EPL,21-22
3b8674e6,45,Rodrigo Bentancur,URU,MF,Tottenham,24,1997,15.1,36,18,14,14,8,16,32,50.0,16,24,9,15,20,56,35,0,Matches,ENG-EPL,21-22
ab070c55,46,Christian Benteke,BEL,FW,Crystal Palace,30,1990,12.7,3,2,1,2,0,2,6,33.3,4,7,3,4,2,5,33,0,Matches,ENG-EPL,21-22
f72293fc,47,Jóhann Berg Guðmundsson,ISL,MF,Burnley,30,1990,12.2,16,6,7,7,2,5,20,25.0,15,11,2,9,12,28,22,0,Matches,ENG-EPL,21-22
a29b1131,48,Steven Bergwijn,NED,"FW,MF",Tottenham,23,1997,6.3,3,2,2,1,0,1,10,10.0,9,3,0,3,1,4,8,0,Matches,ENG-EPL,21-22
01226327,49,Ryan Bertrand,ENG,DF,Leicester City,31,1989,3.7,8,5,3,4,1,2,5,40.0,3,8,3,5,1,9,7,0,Matches,ENG-EPL,21-22
407db0d5,50,Mads Bidstrup,DEN,MF,Brentford,20,2001,0.5,1,0,0,1,0,0,3,0.0,3,0,0,0,1,2,2,0,Matches,ENG-EPL,21-22
6c203af0,51,Yves Bissouma,MLI,MF,Brighton,24,1996,23.5,76,49,35,37,4,21,37,56.8,16,33,3,30,50,126,49,0,Matches,ENG-EPL,21-22
a4ac4b8f,52,Willy Boly,CIV,DF,Wolves,30,1991,10.0,25,19,18,7,0,8,15,53.3,7,14,6,8,14,39,35,0,Matches,ENG-EPL,21-22
79c84d1c,53,Jarrod Bowen,ENG,FW,West Ham,24,1996,33.1,36,20,20,11,5,17,44,38.6,27,29,2,27,21,57,14,0,Matches,ENG-EPL,21-22
c1949191,54,Jarrad Branthwaite,ENG,DF,Everton,19,2002,4.3,4,1,3,1,0,3,8,37.5,5,3,2,1,1,5,20,0,Matches,ENG-EPL,21-22
97220da2,55,Armando Broja,ALB,FW,Southampton,19,2001,21.9,12,5,2,7,3,2,9,22.2,7,17,1,16,3,15,11,0,Matches,ENG-EPL,21-22
47369df8,56,Josh Brownhill,ENG,MF,Burnley,25,1995,32.8,73,37,25,42,6,21,53,39.6,32,37,12,25,68,141,42,1,Matches,ENG-EPL,21-22
a2081c6b,57,Lewis Brunt,ENG,MF,Leicester City,20,2000,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,ENG-EPL,21-22
66b76d44,58,Emi Buendía,ARG,"MF,FW",Aston Villa,24,1996,21.1,38,18,16,13,9,21,51,41.2,30,21,3,18,9,47,11,0,Matches,ENG-EPL,21-22
b2d31e83,59,Dan Burn,ENG,DF,Newcastle Utd,29,1992,16.0,16,11,11,4,1,7,11,63.6,4,22,14,8,20,36,101,0,Matches,ENG-EPL,21-22
b2d31e83,60,Dan Burn,ENG,DF,Brighton,29,1992,11.4,22,12,13,8,1,6,15,40.0,9,14,10,4,24,46,51,0,Matches,ENG-EPL,21-22
cc70a1d5,61,Jack Butland,ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,ENG-EPL,21-22
1bf811d4,62,Sam Byram,ENG,DF,Norwich City,27,1993,11.4,24,15,17,6,1,19,27,70.4,8,21,11,10,22,46,48,0,Matches,ENG-EPL,21-22
a179d516,63,Willy Caballero,ARG,GK,Southampton,39,1981,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,Matches,ENG-EPL,21-22
16264a81,64,Moisés Caicedo,ECU,MF,Brighton,19,2001,7.3,16,10,7,7,2,5,12,41.7,7,18,4,14,10,26,7,0,Matches,ENG-EPL,21-22
59e6e5bf,65,Dominic Calvert-Lewin,ENG,FW,Everton,24,1997,14.3,11,8,1,6,4,3,8,37.5,5,5,2,3,3,14,12,0,Matches,ENG-EPL,21-22
6f711f67,66,Chem Campbell,WAL,MF,Wolves,18,2002,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,ENG-EPL,21-22
bd6351cd,67,João Cancelo,POR,DF,Manchester City,27,1994,35.9,83,54,33,35,15,46,91,50.5,45,25,3,22,59,142,45,1,Matches,ENG-EPL,21-22
1137759d,68,Sergi Canós,ESP,"DF,FW",Brentford,24,1997,23.1,56,25,32,15,9,33,60,55.0,27,32,3,29,22,78,38,0,Matches,ENG-EPL,21-22
f63d8a4b,69,Todd Cantwell,ENG,"FW,MF",Norwich City,23,1998,4.9,15,13,8,6,1,6,17,35.3,11,2,0,2,3,18,2,0,Matches,ENG-EPL,21-22
2389cdc2,70,Matty Cash,POL,DF,Aston Villa,23,1997,37.5,89,50,52,34,3,47,78,60.3,31,54,16,38,49,138,100,2,Matches,ENG-EPL,21-22
197640fd,71,Timothy Castagne,BEL,DF,Leicester City,25,1995,23.6,67,31,38,22,7,27,43,62.8,16,28,9,19,29,96,54,1,Matches,ENG-EPL,21-22
e28868f3,72,Jonny Castro,ESP,DF,Wolves,27,1994,11.4,25,15,13,11,1,11,20,55.0,9,14,3,11,13,38,11,0,Matches,ENG-EPL,21-22
89e4b358,73,Craig Cathcart,NIR,DF,Watford,32,1989,26.6,32,15,25,6,1,16,30,53.3,14,39,29,10,28,60,132,3,Matches,ENG-EPL,21-22
527f063d,74,Edinson Cavani,URU,FW,Manchester Utd,34,1987,8.5,4,1,0,3,1,2,8,25.0,6,6,0,6,2,6,8,0,Matches,ENG-EPL,21-22
17734ea0,75,Kayky Chagas,BRA,FW,Manchester City,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ENG-EPL,21-22
5515376c,76,Trevoh Chalobah,ENG,DF,Chelsea,22,1999,16.1,40,27,22,18,0,24,31,77.4,7,16,6,10,19,59,43,2,Matches,ENG-EPL,21-22
dc6f5bdd,77,Calum Chambers,ENG,DF,Arsenal,26,1995,1.9,5,3,3,1,1,3,4,75.0,1,6,3,3,0,5,10,0,Matches,ENG-EPL,21-22
dc6f5bdd,78,Calum Chambers,ENG,DF,Aston Villa,26,1995,9.2,16,8,10,6,0,4,6,66.7,2,14,8,6,5,21,42,0,Matches,ENG-EPL,21-22
240c8ab6,79,Daniel Chesters,ENG,MF,West Ham,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,ENG-EPL,21-22
d2424d1b,80,Ben Chilwell,ENG,DF,Chelsea,24,1996,6.0,8,3,2,6,0,2,5,40.0,3,7,0,7,4,12,14,1,Matches,ENG-EPL,21-22
dc6c2f02,81,Chiquinho,POR,"DF,FW",Wolves,21,2000,2.3,9,6,4,5,0,4,5,80.0,1,5,0,5,2,11,1,0,Matches,ENG-EPL,21-22
7d2d3329,82,Hamza Choudhury,ENG,"DF,MF",Leicester City,23,1997,3.2,9,3,4,4,1,3,5,60.0,2,0,0,0,12,21,10,0,Matches,ENG-EPL,21-22
1cb49278,83,Andreas Christensen,DEN,DF,Chelsea,25,1996,16.6,14,8,9,4,1,4,7,57.1,3,14,6,8,29,43,57,1,Matches,ENG-EPL,21-22
b2f9c73e,84,Carney Chukwuemeka,ENG,"MF,FW",Aston Villa,17,2003,3.3,7,1,2,5,0,3,5,60.0,2,3,0,3,1,8,2,1,Matches,ENG-EPL,21-22
2b91cf8e,85,Ciaran Clark,IRL,DF,Newcastle Utd,31,1989,11.3,13,10,4,7,2,9,14,64.3,5,14,11,3,13,26,43,1,Matches,ENG-EPL,21-22
6cdd8245,86,Tom Cleverley,ENG,MF,Watford,31,1989,18.0,37,20,19,17,1,18,33,54.5,15,23,6,17,18,55,19,3,Matches,ENG-EPL,21-22
0442183b,87,Nathaniel Clyne,ENG,DF,Crystal Palace,30,1991,15.0,21,10,11,9,1,10,20,50.0,10,7,2,5,15,36,32,0,Matches,ENG-EPL,21-22
2928dca2,88,Conor Coady,ENG,DF,Wolves,28,1993,37.3,31,14,23,7,1,16,28,57.1,12,46,40,6,28,59,140,0,Matches,ENG-EPL,21-22
0420d84f,89,Séamus Coleman,IRL,DF,Everton,32,1988,29.5,61,36,35,16,10,33,51,64.7,18,30,11,19,32,93,80,2,Matches,ENG-EPL,21-22
a8c19eb8,90,Nathan Collins,IRL,DF,Burnley,20,2001,18.6,37,15,27,8,2,17,27,63.0,10,38,25,13,24,61,83,2,Matches,ENG-EPL,21-22
27c01749,91,Aaron Connolly,IRL,"FW,MF",Brighton,21,2000,1.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches,ENG-EPL,21-22
dc64b8b3,92,Liam Cooper,SCO,DF,Leeds United,29,1991,20.2,41,23,27,13,1,23,33,69.7,10,29,18,11,43,84,72,2,Matches,ENG-EPL,21-22
74e12f1e,93,Jack Cork,ENG,MF,Burnley,32,1989,18.6,20,6,6,11,3,7,20,35.0,13,17,4,13,17,37,29,1,Matches,ENG-EPL,21-22
