Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-14,20:00:00,Premier League,Matchweek 1,Mon,Home,W,1,0,Wolves,2.2,2.2,51,73358,Bruno Fernandes,4-1-4-1,4-4-2,Simon Hooper,/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-08-19,17:30:00,Premier League,Matchweek 2,Sat,Away,L,0,2,Tottenham,2.1,1.7,45,61910,Bruno Fernandes,4-2-3-1,4-2-3-1,Michael Oliver,/en/matches/4bb62251/Tottenham-Hotspur-Manchester-United-August-19-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-08-26,15:00:00,Premier League,Matchweek 3,Sat,Home,W,3,2,Nott'ham Forest,2.8,1.2,66,73595,Bruno Fernandes,4-2-3-1,3-4-3,Stuart Attwell,/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-09-03,16:30:00,Premier League,Matchweek 4,Sun,Away,L,1,3,Arsenal,0.9,2.3,45,60192,Bruno Fernandes,4-2-3-1,4-3-3,Anthony Taylor,/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-09-16,15:00:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Brighton,1.0,1.7,44,73592,Bruno Fernandes,4-1-2-1-2◆,4-2-3-1,Jarred Gillett,/en/matches/ddcf2857/Manchester-United-Brighton-and-Hove-Albion-September-16-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-09-20,21:00:00,Champions Lg,Group stage,Wed,Away,L,3,4,Bayern Munich,1.7,2.2,41,75000,Bruno Fernandes,4-2-3-1,4-2-3-1,Glenn Nyberg,/en/matches/8c29e4f7/Bayern-Munich-Manchester-United-September-20-2023-Champions-League,,23-24,Manchester Utd,19538871
2023-09-23,20:00:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Burnley,1.0,1.1,39,21593,Bruno Fernandes,4-2-3-1,4-3-3,Tony Harrington,/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-09-26,20:00:00,EFL Cup,Third round,Tue,Home,W,3,0,Crystal Palace,,,69,72842,Raphaël Varane,4-2-3-1,4-2-3-1,Michael Salisbury,/en/matches/d89d2a1a/Manchester-United-Crystal-Palace-September-26-2023-EFL-Cup,,23-24,Manchester Utd,19538871
2023-09-30,15:00:00,Premier League,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,1.3,0.9,77,73428,Bruno Fernandes,4-2-3-1,4-3-3,Chris Kavanagh,/en/matches/ef2b7ab9/Manchester-United-Crystal-Palace-September-30-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-10-03,20:00:00,Champions Lg,Group stage,Tue,Home,L,2,3,Galatasaray,2.3,2.6,55,73204,Bruno Fernandes,4-3-3,4-2-3-1,Ivan Kružliak,/en/matches/1ad7d8f7/Manchester-United-Galatasaray-October-3-2023-Champions-League,,23-24,Manchester Utd,19538871
2023-10-07,15:00:00,Premier League,Matchweek 8,Sat,Home,W,2,1,Brentford,1.4,0.9,64,73453,Bruno Fernandes,4-2-3-1,3-5-2,Andy Madley,/en/matches/5006142a/Manchester-United-Brentford-October-7-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-10-21,20:00:00,Premier League,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,1.1,1.4,62,31543,Bruno Fernandes,4-2-3-1,4-4-2,Michael Oliver,/en/matches/d95b42eb/Sheffield-United-Manchester-United-October-21-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-10-24,20:00:00,Champions Lg,Group stage,Tue,Home,W,1,0,FC Copenhagen,1.7,1.9,50,73249,Bruno Fernandes,4-2-3-1,4-3-3,Marco Guida,/en/matches/23151aa4/Manchester-United-FC-Copenhagen-October-24-2023-Champions-League,,23-24,Manchester Utd,19538871
2023-10-29,15:30:00,Premier League,Matchweek 10,Sun,Home,L,0,3,Manchester City,0.9,4.0,40,73502,Bruno Fernandes,4-2-3-1,4-2-3-1,Paul Tierney,/en/matches/f6bfec82/Manchester-Derby-Manchester-United-Manchester-City-October-29-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-11-01,20:15:00,EFL Cup,Fourth round,Wed,Home,L,0,3,Newcastle Utd,,,62,72484,Casemiro,4-2-3-1,4-3-3,Robert Jones,/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,,23-24,Manchester Utd,19538871
2023-11-04,12:30:00,Premier League,Matchweek 11,Sat,Away,W,1,0,Fulham,0.7,1.0,55,24415,Bruno Fernandes,4-2-3-1,4-2-3-1,John Brooks,/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-11-08,21:00:00,Champions Lg,Group stage,Wed,Away,L,3,4,FC Copenhagen,3.0,2.2,48,36099,Bruno Fernandes,4-2-3-1,4-3-3,Donatas Rumšas,/en/matches/4a4b95b7/FC-Copenhagen-Manchester-United-November-8-2023-Champions-League,,23-24,Manchester Utd,19538871
2023-11-11,15:00:00,Premier League,Matchweek 12,Sat,Home,W,1,0,Luton Town,2.2,0.4,64,73599,Bruno Fernandes,4-2-3-1,3-4-3,Graham Scott,/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-11-26,16:30:00,Premier League,Matchweek 13,Sun,Away,W,3,0,Everton,2.2,2.4,49,39257,Bruno Fernandes,4-2-3-1,4-4-1-1,John Brooks,/en/matches/f82a83dd/Everton-Manchester-United-November-26-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-11-29,20:45:00,Champions Lg,Group stage,Wed,Away,D,3,3,Galatasaray,1.6,1.5,43,51733,Bruno Fernandes,4-2-3-1,4-2-3-1,José Sánchez,/en/matches/fd04df87/Galatasaray-Manchester-United-November-29-2023-Champions-League,,23-24,Manchester Utd,19538871
2023-12-02,20:00:00,Premier League,Matchweek 14,Sat,Away,L,0,1,Newcastle Utd,0.5,2.4,42,52214,Bruno Fernandes,4-2-3-1,4-3-3,Robert Jones,/en/matches/66a1f3ac/Newcastle-United-Manchester-United-December-2-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-12-06,20:15:00,Premier League,Matchweek 15,Wed,Home,W,2,1,Chelsea,4.1,1.5,45,73607,Bruno Fernandes,4-2-3-1,4-2-3-1,Chris Kavanagh,/en/matches/49f486f6/Manchester-United-Chelsea-December-6-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-12-09,15:00:00,Premier League,Matchweek 16,Sat,Home,L,0,3,Bournemouth,1.1,1.5,68,73427,Bruno Fernandes,4-2-3-1,4-2-3-1,Peter Bankes,/en/matches/0760a568/Manchester-United-Bournemouth-December-9-2023-Premier-League,,23-24,Manchester Utd,19538871
2023-12-12,20:00:00,Champions Lg,Group stage,Tue,Home,L,0,1,Bayern Munich,0.3,1.2,41,73073,Bruno Fernandes,4-2-3-1,4-2-3-1,Espen Eskås,/en/matches/86343bd4/Manchester-United-Bayern-Munich-December-12-2023-Champions-League,,23-24,Manchester Utd,19538871
2023-12-17,16:30:00,Premier League,Matchweek 17,Sun,Away,D,0,0,Liverpool,0.8,2.3,32,57158,Scott McTominay,4-2-3-1,4-3-3,Michael Oliver,/en/matches/18e98d77/North-West-Derby-Liverpool-Manchester-United-December-17-2023-Premier-League,,23-24,Manchester Utd,19538871
