id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,league,season
a7e4760c,1,Ismael Aaneba,FRA,DF,Strasbourg,21,1999,0.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,Matches,FRA-L1,20-21
32c2d95f,2,Yunis Abdelhamid,MAR,DF,Reims,32,1987,32.1,4,1,0,37,22,0,0,61,37,0,1,0,200,92,53,63.4,Matches,FRA-L1,20-21
a4c3f7af,3,Mehdi Abeid,ALG,MF,Nantes,27,1992,14.7,5,0,0,31,22,1,40,20,19,0,0,0,108,13,18,41.9,Matches,FRA-L1,20-21
31626657,4,Laurent Abergel,FRA,MF,Lorient,27,1993,32.9,5,0,0,44,37,0,26,46,84,1,0,0,231,9,17,34.6,Matches,FRA-L1,20-21
469d3d84,5,Charles Abi,FRA,"FW,MF",Saint-Étienne,20,2000,10.1,1,0,0,18,7,7,3,4,2,0,0,0,26,37,59,38.5,Matches,FRA-L1,20-21
0e46fa2f,6,Matthis Abline,FRA,FW,Rennes,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,FRA-L1,20-21
8bc373ea,7,Pape Abou Cissé,SEN,DF,Saint-Étienne,24,1995,14.0,1,0,0,10,9,1,1,27,13,0,0,0,97,55,15,78.6,Matches,FRA-L1,20-21
26777636,8,Yacine Adli,FRA,MF,Bordeaux,20,2000,26.9,6,0,0,39,37,0,53,39,37,0,0,0,172,27,27,50.0,Matches,FRA-L1,20-21
288e1e13,9,Nayef Aguerd,MAR,DF,Rennes,24,1996,35.0,6,0,0,22,29,2,1,47,30,0,1,0,197,121,71,63.0,Matches,FRA-L1,20-21
