id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
f8405304,26,Mohamed Ali Cho,FRA,FW,Nice,19,2004,17,861,51,28.1,9.6,11,67,0,6,20,0,1.18,11,8,3,0.31,-0.01,13.8,9.0,4.7,0.5,0.1,Matches,FRA-L1,23-24
b386310a,27,Nabil Alioui,FRA,"MF,FW",Le Havre,24,1999,18,1009,56,33.0,11.2,12,71,0,6,26,1,1.11,10,14,-4,-0.36,-0.05,11.9,15.2,-3.3,-0.3,0.14,Matches,FRA-L1,23-24
1956b948,28,Jim Allevinah,GAB,"MF,DF",Clermont Foot,28,1995,29,1861,64,60.8,20.7,22,76,5,7,27,1,0.72,17,32,-15,-0.73,0.7,19.1,35.7,-16.6,-0.8,0.03,Matches,FRA-L1,23-24
d609ec7d,29,Téo Allix,FRA,DF,Montpellier,19,2004,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,FRA-L1,23-24
add37c13,30,Skelly Alvero,FRA,MF,Lyon,21,2002,8,426,53,13.9,4.7,6,65,2,2,18,1,0.75,5,9,-4,-0.85,-0.78,6.5,6.8,-0.3,-0.06,0.02,Matches,FRA-L1,23-24
d638ab17,31,Papa Amadou Diallo,SEN,FW,Metz,19,2004,16,889,56,29.1,9.9,9,78,2,7,26,8,0.81,13,16,-3,-0.3,0.53,11.6,13.4,-1.7,-0.17,0.6,Matches,FRA-L1,23-24
22721b88,32,Jordan Amavi,FRA,DF,Brest,29,1994,2,91,46,3.0,1.0,1,90,1,1,1,12,2.0,3,0,3,2.97,2.48,1.7,0.9,0.8,0.8,0.55,Matches,FRA-L1,23-24
bcc81786,33,Kelvin Amian,FRA,DF,Nantes,25,1998,12,798,67,26.1,8.9,11,72,6,1,11,0,0.75,6,17,-11,-1.24,-0.68,9.2,14.6,-5.3,-0.6,-0.2,Matches,FRA-L1,23-24
349cae8f,34,Michael Amir Murillo,PAN,DF,Marseille,27,1996,16,997,62,32.6,11.1,10,86,8,6,24,3,1.75,20,12,8,0.72,0.59,19.8,10.0,9.8,0.89,0.47,Matches,FRA-L1,23-24
ae11ba3d,35,Ayoub Amraoui,MAR,DF,Nice,19,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,FRA-L1,23-24
ef9c1c95,36,Benjamin André,FRA,MF,Lille,32,1990,30,2570,86,84.0,28.6,29,87,23,1,35,0,1.77,39,24,15,0.53,-0.03,39.4,25.3,14.1,0.49,0.85,Matches,FRA-L1,23-24
af3ddb2e,37,Komnen Andrić,SRB,FW,Clermont Foot,28,1995,7,169,24,5.5,1.9,1,67,0,6,17,6,0.29,1,5,-4,-2.13,-1.2,2.2,5.3,-3.1,-1.63,-0.87,Matches,FRA-L1,23-24
42f0113f,38,Stredair Appuah,FRA,"FW,MF",Nantes,19,2004,4,84,21,2.7,0.9,0,,0,4,21,8,0.75,0,5,-5,-5.36,-4.75,1.1,3.5,-2.4,-2.52,-2.12,Matches,FRA-L1,23-24
209528d3,39,Ylies Aradj,FRA,DF,Toulouse,18,2005,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,FRA-L1,23-24
cad4009e,40,Paul Argney,FRA,GK,Le Havre,17,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,FRA-L1,23-24
9dd5da03,41,Yoël Armougom,FRA,"DF,MF",Clermont Foot,25,1998,5,234,47,7.6,2.6,2,90,2,3,18,19,0.8,2,6,-4,-1.54,-0.58,2.2,6.3,-4.1,-1.58,-0.83,Matches,FRA-L1,23-24
e2ae54db,42,Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,20,2003,26,1284,49,42.0,14.3,15,73,1,11,17,7,1.73,16,21,-5,-0.35,-1.52,16.5,15.9,0.6,0.04,-0.54,Matches,FRA-L1,23-24
508a9011,43,Mohamed El Arouch,FRA,FW,Lyon,19,2004,1,2,2,0.1,0.0,0,,0,1,2,4,1.0,0,0,0,0.0,0.18,0.0,0.0,0.0,0.0,0.07,Matches,FRA-L1,23-24
45af8a54,44,Marco Asensio,ESP,"MF,FW",Paris S-G,27,1996,19,1113,59,36.4,12.4,13,75,6,6,23,5,2.11,28,13,15,1.21,-0.31,29.3,14.3,15.0,1.22,0.58,Matches,FRA-L1,23-24
13e827f8,45,Joel Asoro,SWE,"FW,MF",Metz,24,1999,20,848,42,27.7,9.4,10,64,0,10,20,4,0.6,6,13,-7,-0.74,-0.09,8.7,12.4,-3.7,-0.39,0.28,Matches,FRA-L1,23-24
b026bbf6,46,Lorenz Assignon,TOG,DF,Rennes,23,2000,14,1011,72,33.0,11.2,12,82,8,2,16,2,1.14,15,14,1,0.09,-0.17,15.6,13.6,1.9,0.17,-0.26,Matches,FRA-L1,23-24
fb32896c,47,Dehmaine Assoumani,FRA,FW,Nantes,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,FRA-L1,23-24
6a827d8e,48,Youcef Atal,ALG,DF,Nice,27,1996,6,359,60,11.7,4.0,5,72,1,1,1,2,1.67,3,1,2,0.5,0.2,7.0,1.9,5.1,1.27,0.96,Matches,FRA-L1,23-24
6b5edd5d,49,Valentin Atangana Edoa,FRA,MF,Reims,17,2005,15,555,37,18.1,6.2,7,61,0,8,16,3,1.47,9,6,3,0.49,0.77,9.0,8.1,0.9,0.14,0.24,Matches,FRA-L1,23-24
