id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
b052b8bf,1,Saturnin Allagbé,BEN,GK,Dijon,26,1993,12.0,30,1,1,2,1,20.3,0.28,-8.7,-0.72,66,187,35.3,297,70,40.7,35.2,105,62.9,45.2,166,5,3.0,17,1.42,16.2,Matches,FRA-L1,20-21
be13e5a8,2,Stefan Bajic,FRA,GK,Saint-Étienne,18,2001,1.0,4,0,0,0,0,1.6,0.39,-2.4,-2.42,4,16,25.0,30,9,33.3,35.0,7,85.7,47.1,17,0,0.0,0,0.0,7.7,Matches,FRA-L1,20-21
8a2248b4,3,Walter Benítez,ARG,GK,Nice,27,1993,38.0,53,7,1,11,0,50.8,0.25,-2.2,-0.06,91,286,31.8,919,180,21.1,27.2,300,30.7,32.4,572,24,4.2,20,0.53,13.1,Matches,FRA-L1,20-21
28dabd43,4,Paul Bernardoni,FRA,GK,Angers,23,1997,38.0,58,7,0,5,1,53.5,0.33,-3.5,-0.09,143,456,31.4,712,214,37.5,35.2,269,70.3,50.9,516,19,3.7,17,0.45,11.3,Matches,FRA-L1,20-21
380a15e2,5,Dimitry Bertaud,COD,GK,Montpellier,22,1998,8.3,11,1,0,1,0,14.0,0.32,3.0,0.36,94,180,52.2,230,46,47.8,39.3,82,85.4,55.4,145,7,4.8,2,0.24,10.5,Matches,FRA-L1,20-21
db87a2c4,6,Marcin Bułka,POL,GK,Paris S-G,20,1999,1.0,1,0,0,0,0,1.5,0.5,0.5,0.49,2,4,50.0,28,9,10.7,21.3,2,50.0,36.0,12,0,0.0,2,2.0,18.6,Matches,FRA-L1,20-21
5ee6e943,7,Marc-Aurèle Caillard,FRA,GK,Metz,26,1994,4.0,10,3,1,0,0,8.5,0.24,-1.5,-0.38,13,40,32.5,71,26,25.4,30.0,30,73.3,55.5,55,2,3.6,2,0.5,13.4,Matches,FRA-L1,20-21
2b9b37b2,8,Sébastien Cibois,FRA,GK,Brest,22,1998,3.0,4,1,0,0,0,3.9,0.26,-0.1,-0.04,14,36,38.9,69,12,39.1,35.8,22,40.9,37.5,51,1,2.0,3,1.0,17.4,Matches,FRA-L1,20-21
2434f24a,9,Benoît Costil,FRA,GK,Bordeaux,33,1987,38.0,56,7,2,6,1,48.2,0.26,-6.8,-0.18,264,610,43.3,1034,144,40.0,35.3,292,67.1,47.6,560,16,2.9,30,0.79,13.2,Matches,FRA-L1,20-21
eedea60b,10,Yehvann Diouf,FRA,GK,Reims,20,1999,1.5,1,1,0,0,0,1.5,0.08,0.5,0.32,5,15,33.3,40,13,25.0,29.1,12,41.7,36.3,24,0,0.0,3,2.0,17.8,Matches,FRA-L1,20-21
