id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
2bc7f211,1,Abdel Abqar,MAR,DF,Alavés,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
1f462f95,2,Luis Abram,PER,DF,Granada,25,1996,8,560,70,16.4,6.2,6,80,4,2,39,12,1.38,8,5,3,0.48,1.11,5.2,7.2,-1.9,-0.31,0.33,Matches,ESP-LALIGA,21-22
81442ecb,3,Marcos Acuña,ARG,DF,Sevilla,29,1991,31,2260,73,66.1,25.1,26,83,17,5,22,1,1.87,32,13,19,0.76,0.45,29.6,19.2,10.4,0.41,0.8,Matches,ESP-LALIGA,21-22
355c883a,4,Martin Agirregabiria,ESP,DF,Alavés,25,1996,24,1616,67,47.3,18.0,17,83,11,7,28,13,0.96,13,31,-18,-1.0,-0.2,16.7,26.7,-10.1,-0.56,-0.08,Matches,ESP-LALIGA,21-22
a2c1a8d3,5,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,4,360,90,10.5,4.0,4,90,4,0,,10,1.25,5,5,0,0.0,-0.21,4.2,5.3,-1.1,-0.27,-0.63,Matches,ESP-LALIGA,21-22
4d034881,6,Sergio Agüero,ARG,FW,Barcelona,33,1988,4,151,38,4.4,1.7,2,65,1,2,11,0,1.0,1,2,-1,-0.6,-1.45,3.4,1.7,1.7,1.01,0.26,Matches,ESP-LALIGA,21-22
93b054dc,7,Álvaro Aguirre,ESP,FW,Rayo Vallecano,21,2000,1,9,9,0.3,0.1,0,,0,1,9,0,0.0,0,0,0,0.0,0.29,0.0,0.1,0.0,-0.43,-0.29,Matches,ESP-LALIGA,21-22
18abe173,8,Joseph Aidoo,GHA,DF,Celta Vigo,25,1995,32,2637,82,77.1,29.3,30,87,24,2,7,3,1.22,35,31,4,0.14,0.6,34.1,33.1,1.0,0.03,0.44,Matches,ESP-LALIGA,21-22
f2a68b97,9,Carlos Akapo,EQG,DF,Cádiz,28,1993,25,1844,74,53.9,20.5,21,84,14,4,21,5,1.08,15,27,-12,-0.59,-0.36,21.0,25.1,-4.1,-0.2,0.07,Matches,ESP-LALIGA,21-22
b8bd60fe,10,Ilias Akhomach,MAR,FW,Barcelona,17,2004,2,124,62,3.6,1.4,2,62,0,0,,3,3.0,1,0,1,0.73,-0.07,1.8,0.3,1.4,1.04,0.29,Matches,ESP-LALIGA,21-22
31f5b89b,11,Paul Akouokou,CIV,MF,Betis,23,1997,8,516,65,15.1,5.7,6,82,2,2,11,19,1.38,7,3,4,0.7,0.14,5.8,4.6,1.3,0.22,-0.06,Matches,ESP-LALIGA,21-22
05439de2,12,David Alaba,AUT,DF,Real Madrid,29,1992,30,2642,88,77.3,29.4,30,88,27,0,,0,2.3,60,26,34,1.16,-0.58,53.3,31.4,21.9,0.75,0.06,Matches,ESP-LALIGA,21-22
788be7f9,13,Jony Álamo,ESP,MF,Elche,19,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
99ea2ddd,14,Tomás Alarcón,CHI,MF,Cádiz,22,1999,23,1425,62,41.7,15.8,16,81,9,7,19,5,0.96,12,23,-11,-0.69,-0.47,12.8,21.4,-8.6,-0.54,-0.54,Matches,ESP-LALIGA,21-22
4601e194,15,Jordi Alba,ESP,DF,Barcelona,32,1989,30,2644,88,77.3,29.4,30,88,26,0,,1,2.0,54,32,22,0.75,-0.18,50.4,28.2,22.2,0.76,-0.03,Matches,ESP-LALIGA,21-22
4bd414c1,16,Raúl Albiol,ESP,DF,Villarreal,35,1985,28,2465,88,72.1,27.4,28,88,26,0,,6,1.5,42,25,17,0.62,-0.23,42.3,29.6,12.8,0.47,-0.16,Matches,ESP-LALIGA,21-22
a7a9d95a,17,Paco Alcácer,ESP,FW,Villarreal,27,1993,18,787,44,23.0,8.7,10,65,0,8,17,8,1.44,16,11,5,0.57,-0.15,13.9,10.9,3.1,0.35,-0.21,Matches,ESP-LALIGA,21-22
036bba5f,18,Rubén Alcaraz,ESP,MF,Cádiz,30,1991,14,1105,79,32.3,12.3,12,87,10,2,31,0,1.21,10,12,-2,-0.16,0.38,14.6,12.7,1.9,0.15,0.56,Matches,ESP-LALIGA,21-22
bb08bce9,19,Omar Alderete,PAR,DF,Valencia,24,1996,29,2403,83,70.3,26.7,28,84,20,1,45,3,1.21,32,34,-2,-0.07,0.19,26.7,32.1,-5.4,-0.2,0.1,Matches,ESP-LALIGA,21-22
3d7e48ce,20,Iván Alejo,ESP,"MF,FW",Cádiz,26,1995,20,1065,53,31.1,11.8,11,73,2,9,29,7,1.2,14,9,5,0.42,1.23,11.8,12.4,-0.6,-0.05,0.26,Matches,ESP-LALIGA,21-22
f0ac14b1,21,Pedro Alemañ,ESP,MF,Valencia,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
6c811eb7,22,Carles Aleñá,ESP,MF,Getafe,23,1998,33,2320,70,67.8,25.8,30,76,6,3,15,1,1.12,23,20,3,0.12,1.02,18.0,23.5,-5.6,-0.22,0.09,Matches,ESP-LALIGA,21-22
1c772b46,23,Alfon,ESP,FW,Celta Vigo,22,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
acc1aefa,24,Ángel Algobia,ESP,MF,Getafe,22,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
852ddfb8,25,Gastón Álvarez,URU,DF,Getafe,21,2000,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
6f392eb8,26,Hugo Álvarez,ESP,FW,Celta Vigo,18,2003,1,11,11,0.3,0.1,0,,0,1,11,5,3.0,0,0,0,0.0,0.0,0.3,0.0,0.3,2.18,2.26,Matches,ESP-LALIGA,21-22
13619663,27,Iker Álvarez,AND,GK,Villarreal,20,2001,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
3ecc11d8,28,Yeray Álvarez,ESP,DF,Athletic Club,26,1995,22,1860,85,54.4,20.7,21,88,20,1,15,6,1.23,20,20,0,0.0,-0.4,27.4,19.5,7.9,0.38,0.19,Matches,ESP-LALIGA,21-22
c9e99e49,29,Dani Alves,BRA,DF,Barcelona,38,1983,14,1098,78,32.1,12.2,13,84,6,1,5,3,2.5,26,10,16,1.31,0.77,20.1,10.7,9.3,0.76,0.0,Matches,ESP-LALIGA,21-22
69c5633e,30,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,19,2001,3,79,26,2.3,0.9,1,63,0,2,8,8,1.0,2,1,1,1.14,1.38,0.6,1.0,-0.4,-0.42,-0.18,Matches,ESP-LALIGA,21-22
f3b1d9a2,31,Amath,SEN,"FW,MF",Mallorca,25,1996,19,884,47,25.8,9.8,9,68,1,10,27,4,0.89,10,13,-3,-0.31,0.55,11.3,11.9,-0.7,-0.07,0.28,Matches,ESP-LALIGA,21-22
dc008610,32,Florin Andone,ROU,FW,Cádiz,28,1993,5,176,35,5.1,2.0,1,66,0,4,28,14,0.2,1,7,-6,-3.07,-2.79,1.2,4.4,-3.2,-1.63,-1.48,Matches,ESP-LALIGA,21-22
ae86d473,33,Marcos André,BRA,"FW,MF",Valencia,24,1996,29,973,34,28.5,10.8,8,76,2,21,18,3,1.31,19,16,3,0.28,0.57,13.6,12.9,0.8,0.07,0.42,Matches,ESP-LALIGA,21-22
a9ee9b0f,34,Lluis Andreu,ESP,GK,Elche,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
b1e5bbec,35,Ángel,ESP,GK,Granada,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
3024e383,36,José Ángel,ESP,DF,Osasuna,31,1989,23,1083,47,31.7,12.0,12,78,4,11,13,12,1.04,14,20,-6,-0.5,-0.19,13.6,22.0,-8.4,-0.7,-0.65,Matches,ESP-LALIGA,21-22
4a5f2032,37,Josep Antoni Gayá,ESP,DF,Mallorca,21,2000,1,58,58,1.7,0.6,1,58,0,0,,17,0.0,1,4,-3,-4.66,-4.01,0.8,1.9,-1.1,-1.73,-1.48,Matches,ESP-LALIGA,21-22
58afe001,38,Mauro Arambarri,URU,MF,Getafe,25,1995,31,2663,86,77.9,29.6,31,86,27,0,,0,1.23,31,27,4,0.14,1.56,25.0,28.2,-3.2,-0.11,0.62,Matches,ESP-LALIGA,21-22
94021206,39,Arana,ESP,FW,Villarreal,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
27a013f7,40,Néstor Araujo,MEX,DF,Celta Vigo,29,1991,34,2617,77,76.5,29.1,29,87,24,5,19,3,1.26,32,30,2,0.07,0.29,30.3,32.0,-1.7,-0.06,0.04,Matches,ESP-LALIGA,21-22
2bef2bca,41,Ronald Araújo,URU,DF,Barcelona,22,1999,30,2272,76,66.4,25.2,25,86,22,5,25,1,2.13,48,29,19,0.75,-0.11,42.2,23.8,18.4,0.73,-0.11,Matches,ESP-LALIGA,21-22
f8cfae1f,42,Iván Arboleda,COL,GK,Rayo Vallecano,25,1996,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
94e01ec6,43,Jesús Areso,ESP,DF,Osasuna,22,1999,3,188,63,5.5,2.1,2,86,1,1,16,15,1.0,2,5,-3,-1.44,-1.13,1.2,5.2,-4.0,-1.9,-1.74,Matches,ESP-LALIGA,21-22
484ebdb0,44,Matias Arezo,URU,"FW,MF",Granada,18,2002,8,162,20,4.7,1.8,1,71,0,7,13,8,0.25,4,5,-1,-0.56,-0.11,3.1,5.9,-2.8,-1.54,-1.0,Matches,ESP-LALIGA,21-22
fdd60087,45,Santiago Arias,COL,DF,Granada,29,1992,12,440,37,12.9,4.9,4,78,2,8,16,8,1.5,12,9,3,0.61,1.22,7.7,9.2,-1.5,-0.32,0.31,Matches,ESP-LALIGA,21-22
2e3f3462,46,Juan Artola,ESP,FW,Athletic Club,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
759d8dd7,47,Santiago Arzamendia,PAR,MF,Cádiz,23,1998,14,469,34,13.7,5.2,5,61,1,9,18,20,1.5,5,7,-2,-0.38,0.04,3.2,6.8,-3.7,-0.71,-0.55,Matches,ESP-LALIGA,21-22
9f0ea33f,48,Sergio Asenjo,ESP,GK,Villarreal,32,1989,6,540,90,15.8,6.0,6,90,6,0,,30,1.33,13,9,4,0.67,-0.02,12.6,10.8,1.8,0.29,-0.26,Matches,ESP-LALIGA,21-22
b4c23f36,49,Alejandro Asensio,ESP,FW,Rayo Vallecano,20,2000,2,12,6,0.4,0.1,0,,0,2,6,2,0.0,0,0,0,0.0,0.29,1.0,0.0,1.0,6.69,6.87,Matches,ESP-LALIGA,21-22
45af8a54,50,Marco Asensio,ESP,"FW,MF",Real Madrid,25,1996,31,1731,56,50.6,19.2,19,79,7,12,20,2,2.39,42,13,29,1.51,0.44,40.1,22.6,17.6,0.91,0.37,Matches,ESP-LALIGA,21-22
7dcf86f6,51,Iago Aspas,ESP,FW,Celta Vigo,33,1987,37,3087,83,90.3,34.3,36,85,26,1,11,0,1.22,41,39,2,0.06,0.6,38.8,42.4,-3.6,-0.11,-0.38,Matches,ESP-LALIGA,21-22
d5dd5f1f,52,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,32,1989,17,1082,64,31.6,12.0,13,74,0,4,29,0,2.24,26,10,16,1.33,0.79,21.5,11.2,10.3,0.86,0.14,Matches,ESP-LALIGA,21-22
9fec8860,53,Ludwig Augustinsson,SWE,"DF,FW",Sevilla,27,1994,19,793,42,23.2,8.8,9,72,3,10,14,16,1.95,16,13,3,0.34,-0.34,9.9,11.6,-1.7,-0.19,-0.44,Matches,ESP-LALIGA,21-22
5c2b4f07,54,Serge Aurier,CIV,DF,Villarreal,28,1992,19,1010,53,29.5,11.2,10,86,8,9,17,2,1.68,22,12,10,0.89,0.29,23.1,16.1,6.9,0.62,0.15,Matches,ESP-LALIGA,21-22
253a06b9,55,Ezequiel Ávila,ARG,"FW,MF",Osasuna,27,1994,36,1870,52,54.7,20.8,22,73,2,14,19,0,1.22,20,22,-2,-0.1,0.6,18.4,27.0,-8.6,-0.41,-0.35,Matches,ESP-LALIGA,21-22
e495b4d5,56,Gaizka Ayesa,ESP,GK,Real Sociedad,20,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,ESP-LALIGA,21-22
bfd381b3,57,Iddrisu Baba,GHA,MF,Mallorca,25,1996,26,1934,74,56.5,21.5,23,81,11,3,23,5,0.96,18,36,-18,-0.84,-0.29,18.8,27.5,-8.7,-0.41,-0.3,Matches,ESP-LALIGA,21-22
09a9e921,58,Carlos Bacca,COL,FW,Granada,34,1986,17,513,30,15.0,5.7,4,73,1,13,17,16,0.83,7,10,-3,-0.53,-0.09,6.6,8.0,-1.4,-0.24,0.4,Matches,ESP-LALIGA,21-22
e4346678,59,Édgar Badía,ESP,GK,Elche,29,1992,24,2160,90,63.2,24.0,24,90,24,0,,14,1.21,28,35,-7,-0.29,0.07,21.9,40.2,-18.3,-0.76,-0.25,Matches,ESP-LALIGA,21-22
