id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,league,season
28d596a0,1,Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,4,4,360,4.0,5,1.25,15,10,73.3,4,0,0,1,25.0,1,1,0,0,0.0,Matches,UCL,23-24
649b01d8,2,Emil Audero,ITA,GK,Inter,26,1997,1,1,90,1.0,3,3.0,5,2,40.0,0,1,0,0,0.0,0,0,0,0,,Matches,UCL,23-24
f7b10c66,3,David von Ballmoos,SUI,GK,Young Boys,28,1994,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,,Matches,UCL,23-24
8a2248b4,4,Walter Benítez,ARG,GK,PSV Eindhoven,30,1993,8,8,720,8.0,13,1.62,34,21,61.8,2,4,2,1,12.5,0,0,0,0,,Matches,UCL,23-24
53d93280,5,Justin Bijlow,NED,GK,Feyenoord,25,1998,4,4,360,4.0,7,1.75,15,10,66.7,1,0,3,0,0.0,2,2,0,0,0.0,Matches,UCL,23-24
663e080e,6,Janis Blaswich,GER,GK,RB Leipzig,32,1991,5,5,450,5.0,9,1.8,21,13,57.1,3,0,2,0,0.0,0,0,0,0,,Matches,UCL,23-24
7f40333d,7,Jean Butez,FRA,GK,Antwerp,28,1995,5,5,450,5.0,15,3.0,30,16,50.0,1,0,4,0,0.0,0,0,0,0,,Matches,UCL,23-24
93fffbcf,8,Diogo Costa,POR,GK,Porto,23,1999,8,8,750,8.3,9,1.08,28,20,67.9,5,0,3,2,25.0,0,0,0,0,,Matches,UCL,23-24
1840e36d,9,Thibaut Courtois,BEL,GK,Real Madrid,31,1992,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches,UCL,23-24
ac295d9e,10,Marko Dmitrović,SRB,GK,Sevilla,31,1992,4,4,360,4.0,8,2.0,15,8,53.3,0,1,3,0,0.0,1,1,0,0,0.0,Matches,UCL,23-24
08f5afaa,11,Gianluigi Donnarumma,ITA,GK,Paris S-G,24,1999,12,12,1080,12.0,15,1.25,52,37,71.2,5,2,5,3,25.0,0,0,0,0,,Matches,UCL,23-24
