Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-12,15:00:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Fulham,2.7,1.5,42,39940,James Tarkowski,4-4-1-1,4-3-3,Stuart Attwell,/en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-08-20,14:00:00,Premier League,Matchweek 2,Sun,Away,L,0,4,Aston Villa,0.6,2.9,40,41694,James Tarkowski,4-1-4-1,4-2-3-1,Anthony Taylor,/en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-08-26,15:00:00,Premier League,Matchweek 3,Sat,Home,L,0,1,Wolves,1.3,1.1,47,38851,James Tarkowski,4-1-4-1,4-4-1-1,Craig Pawson,/en/matches/18dfee28/Everton-Wolverhampton-Wanderers-August-26-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-08-30,20:00:00,EFL Cup,Second round,Wed,Away,W,2,1,Doncaster,,,59,11430,Jordan Pickford,4-1-3-2,3-4-1-2,Tom Reeves,/en/matches/17275060/Doncaster-Rovers-Everton-August-30-2023-EFL-Cup,,23-24,Everton,d3fd31cc
2023-09-02,12:30:00,Premier League,Matchweek 4,Sat,Away,D,2,2,Sheffield Utd,2.5,1.2,54,31124,James Tarkowski,4-4-1-1,3-5-2,Andy Madley,/en/matches/87b46bb9/Sheffield-United-Everton-September-2-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-09-17,16:30:00,Premier League,Matchweek 5,Sun,Home,L,0,1,Arsenal,0.3,1.0,26,39217,James Tarkowski,4-5-1,4-3-3,Simon Hooper,/en/matches/b1278924/Everton-Arsenal-September-17-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-09-23,17:30:00,Premier League,Matchweek 6,Sat,Away,W,3,1,Brentford,1.9,1.0,43,16981,James Tarkowski,4-4-1-1,4-3-3,Michael Oliver,/en/matches/96681b93/Brentford-Everton-September-23-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-09-27,19:45:00,EFL Cup,Third round,Wed,Away,W,2,1,Aston Villa,,,32,23851,James Tarkowski,3-4-3,4-2-3-1,Tony Harrington,/en/matches/91394c43/Aston-Villa-Everton-September-27-2023-EFL-Cup,,23-24,Everton,d3fd31cc
2023-09-30,15:00:00,Premier League,Matchweek 7,Sat,Home,L,1,2,Luton Town,2.9,0.9,67,39289,James Tarkowski,4-4-1-1,3-4-3,Anthony Taylor,/en/matches/921d5f17/Everton-Luton-Town-September-30-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-10-07,15:00:00,Premier League,Matchweek 8,Sat,Home,W,3,0,Bournemouth,2.4,0.7,48,38815,James Tarkowski,4-4-1-1,4-2-3-1,David Coote,/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-10-21,12:30:00,Premier League,Matchweek 9,Sat,Away,L,0,2,Liverpool,0.1,2.2,23,50201,James Tarkowski,4-4-1-1,4-3-3,Craig Pawson,/en/matches/e747ddb3/Merseyside-Derby-Liverpool-Everton-October-21-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-10-29,13:00:00,Premier League,Matchweek 10,Sun,Away,W,1,0,West Ham,0.8,0.7,36,62469,James Tarkowski,4-4-1-1,4-2-3-1,Stuart Attwell,/en/matches/868a89be/West-Ham-United-Everton-October-29-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-11-01,19:45:00,EFL Cup,Fourth round,Wed,Home,W,3,0,Burnley,,,38,38841,James Tarkowski,4-4-1-1,4-4-2,Michael Salisbury,/en/matches/e8781636/Everton-Burnley-November-1-2023-EFL-Cup,,23-24,Everton,d3fd31cc
2023-11-04,15:00:00,Premier League,Matchweek 11,Sat,Home,D,1,1,Brighton,0.7,0.5,21,38683,James Tarkowski,4-4-1-1,4-3-3,Tim Robinson,/en/matches/6ecb53ac/Everton-Brighton-and-Hove-Albion-November-4-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-11-11,15:00:00,Premier League,Matchweek 12,Sat,Away,W,3,2,Crystal Palace,1.5,2.2,33,25103,James Tarkowski,4-4-1-1,4-2-3-1,Samuel Barrott,/en/matches/a4795b68/Crystal-Palace-Everton-November-11-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-11-26,16:30:00,Premier League,Matchweek 13,Sun,Home,L,0,3,Manchester Utd,2.4,2.2,51,39257,James Tarkowski,4-4-1-1,4-2-3-1,John Brooks,/en/matches/f82a83dd/Everton-Manchester-United-November-26-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-12-02,17:30:00,Premier League,Matchweek 14,Sat,Away,W,1,0,Nott'ham Forest,0.7,0.7,39,29404,James Tarkowski,4-4-1-1,4-3-3,Paul Tierney,/en/matches/0486198b/Nottingham-Forest-Everton-December-2-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-12-07,19:30:00,Premier League,Matchweek 15,Thu,Home,W,3,0,Newcastle Utd,3.3,1.5,38,38198,Séamus Coleman,4-4-1-1,4-3-3,Tim Robinson,/en/matches/2fe9d766/Everton-Newcastle-United-December-7-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-12-10,14:00:00,Premier League,Matchweek 16,Sun,Home,W,2,0,Chelsea,1.2,0.9,29,39280,James Tarkowski,4-4-1-1,4-2-3-1,Michael Oliver,/en/matches/953b5f9b/Everton-Chelsea-December-10-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-12-16,17:30:00,Premier League,Matchweek 17,Sat,Away,W,2,0,Burnley,1.4,0.7,39,21413,James Tarkowski,5-4-1,4-4-2,Anthony Taylor,/en/matches/01904d1d/Burnley-Everton-December-16-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-12-19,19:45:00,EFL Cup,Quarter-finals,Tue,Home,D,1 (6),1 (7),Fulham,,,50,38715,James Tarkowski,4-2-3-1,4-2-3-1,Graham Scott,/en/matches/e46dd7ae/Everton-Fulham-December-19-2023-EFL-Cup,Fulham won on penalty kicks following extra time,23-24,Everton,d3fd31cc
2023-12-23,15:00:00,Premier League,Matchweek 18,Sat,Away,L,1,2,Tottenham,1.8,1.5,39,61808,James Tarkowski,4-2-3-1,4-2-3-1,Stuart Attwell,/en/matches/849071fe/Tottenham-Hotspur-Everton-December-23-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-12-27,20:15:00,Premier League,Matchweek 19,Wed,Home,L,1,3,Manchester City,1.0,2.4,28,39327,James Tarkowski,4-2-3-1,4-2-3-1,John Brooks,/en/matches/b9f69f01/Everton-Manchester-City-December-27-2023-Premier-League,,23-24,Everton,d3fd31cc
2023-12-30,15:00:00,Premier League,Matchweek 20,Sat,Away,L,0,3,Wolves,0.4,1.9,47,31639,James Tarkowski,5-4-1,3-4-3,Thomas Bramall,/en/matches/7dfc59ca/Wolverhampton-Wanderers-Everton-December-30-2023-Premier-League,,23-24,Everton,d3fd31cc
2024-01-04,20:00:00,FA Cup,Third round proper,Thu,Away,D,0,0,Crystal Palace,,,47,24489,Séamus Coleman,4-2-3-1,4-2-3-1,Chris Kavanagh,/en/matches/ac2dd32b/Crystal-Palace-Everton-January-4-2024-FA-Cup,,23-24,Everton,d3fd31cc
2024-01-14,14:00:00,Premier League,Matchweek 21,Sun,Home,D,0,0,Aston Villa,1.1,1.2,32,39284,Séamus Coleman,4-2-3-1,4-4-2,David Coote,/en/matches/1628c63e/Everton-Aston-Villa-January-14-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-01-17,19:45:00,FA Cup,Third round proper,Wed,Home,W,1,0,Crystal Palace,,,51,37796,James Tarkowski,4-2-3-1,4-2-3-1,Tony Harrington,/en/matches/d75c0138/Everton-Crystal-Palace-January-17-2024-FA-Cup,,23-24,Everton,d3fd31cc
2024-01-27,15:00:00,FA Cup,Fourth round proper,Sat,Home,L,1,2,Luton Town,,,46,37713,James Tarkowski,4-4-2,3-4-1-2,Simon Hooper,/en/matches/91fa9d29/Everton-Luton-Town-January-27-2024-FA-Cup,,23-24,Everton,d3fd31cc
2024-01-30,19:45:00,Premier League,Matchweek 22,Tue,Away,D,0,0,Fulham,1.9,1.6,30,24376,James Tarkowski,4-4-1-1,4-2-3-1,Thomas Bramall,/en/matches/17d24e01/Fulham-Everton-January-30-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-02-03,12:30:00,Premier League,Matchweek 23,Sat,Home,D,2,2,Tottenham,2.6,1.0,43,39321,James Tarkowski,4-4-1-1,4-2-3-1,Michael Oliver,/en/matches/fd68d50e/Everton-Tottenham-Hotspur-February-3-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-02-10,12:30:00,Premier League,Matchweek 24,Sat,Away,L,0,2,Manchester City,0.3,1.6,28,52187,James Tarkowski,4-2-3-1,4-1-4-1,John Brooks,/en/matches/00ea7906/Manchester-City-Everton-February-10-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-02-19,20:00:00,Premier League,Matchweek 25,Mon,Home,D,1,1,Crystal Palace,1.7,0.7,61,38164,James Tarkowski,4-4-1-1,3-4-3,Paul Tierney,/en/matches/573f2f77/Everton-Crystal-Palace-February-19-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-02-24,15:00:00,Premier League,Matchweek 26,Sat,Away,D,1,1,Brighton,0.3,1.4,36,41646,James Tarkowski,4-4-1-1,4-2-3-1,Tony Harrington,/en/matches/eb7c6993/Brighton-and-Hove-Albion-Everton-February-24-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-03-02,15:00:00,Premier League,Matchweek 27,Sat,Home,L,1,3,West Ham,2.7,1.9,55,39262,James Tarkowski,4-4-1-1,4-2-3-1,Craig Pawson,/en/matches/e9183936/Everton-West-Ham-United-March-2-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-03-09,12:30:00,Premier League,Matchweek 28,Sat,Away,L,0,2,Manchester Utd,1.6,2.7,49,73601,James Tarkowski,4-4-1-1,4-2-4-0,Simon Hooper,/en/matches/fede7f6e/Manchester-United-Everton-March-9-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-03-30,15:00:00,Premier League,Matchweek 30,Sat,Away,L,1,2,Bournemouth,1.0,1.3,52,11207,Séamus Coleman,4-4-1-1,4-2-3-1,Samuel Barrott,/en/matches/0eaaf0ab/Bournemouth-Everton-March-30-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-04-02,19:30:00,Premier League,Matchweek 31,Tue,Away,D,1,1,Newcastle Utd,1.4,2.4,43,52135,James Tarkowski,4-4-1-1,4-3-3,Tony Harrington,/en/matches/52846bc3/Newcastle-United-Everton-April-2-2024-Premier-League,,23-24,Everton,d3fd31cc
2024-04-06,15:00:00,Premier League,Matchweek 32,Sat,Home,W,1,0,Burnley,0.9,0.5,38,39125,Séamus Coleman,4-4-1-1,4-4-2,Michael Oliver,/en/matches/cc7efb48/Everton-Burnley-April-6-2024-Premier-League,,23-24,Everton,d3fd31cc
