id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,league,season
c2304da8,1,Hatem Abd Elhamed,ISR,DF,Celtic,28,1991,3.8,4,1.05,2,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
db265666,2,Araz Abdullayev,AZE,"MF,FW",Qarabağ,27,1992,1.6,3,1.85,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
4c07f0e8,3,Anicet Abel,MAD,MF,Ludogorets,29,1990,6.3,7,1.11,6,0,0,0,0,1,1,0.16,0,0,0,0,0,1,Matches,UEL,19-20
8c6239f2,4,Myenty Abena,SUR,DF,Slovan Bratislava,24,1994,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
469d3d84,5,Charles Abi,FRA,"FW,MF",Saint-Étienne,19,2000,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
8bc373ea,6,Pape Abou Cissé,SEN,DF,Olympiacos,23,1995,3.0,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
8637e09a,7,Vincent Aboubakar,CMR,FW,Porto,27,1992,1.0,5,5.0,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
c2a6033c,8,Zakaria Aboukhlal,MAR,FW,AZ Alkmaar,19,2000,0.2,1,6.43,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
565bf0da,9,David Abraham,ARG,DF,Eint Frankfurt,33,1986,9.0,6,0.67,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
b96b595c,10,Francesco Acerbi,ITA,DF,Lazio,31,1988,6.0,7,1.17,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
81442ecb,11,Marcos Acuña,ARG,DF,Sporting CP,27,1991,6.1,27,4.66,16,6,2,1,2,0,8,1.38,2,3,1,0,2,0,Matches,UEL,19-20
884a8908,12,Samuel Adegbenro,NGA,FW,Rosenborg,23,1995,5.4,7,1.31,5,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches,UEL,19-20
