Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Bundesliga,1,Fri,2020-09-18,20:30,Bayern Munich,3.9,8–0,0.2,Schalke 04,,Allianz Arena,Felix Zwayer,/en/matches/11678092/Bayern-Munich-Schalke-04-September-18-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,1,Sat,2020-09-19,15:30,Köln,2.7,2–3,2.6,Hoffenheim,,RheinEnergieSTADION,Daniel Siebert,/en/matches/4504b4a4/Koln-Hoffenheim-September-19-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,1,Sat,2020-09-19,15:30,Union Berlin,1.2,1–3,1.5,Augsburg,4600,Stadion An der Alten Försterei,Marco Fritz,/en/matches/74ee6b62/Union-Berlin-Augsburg-September-19-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,1,Sat,2020-09-19,15:30,Stuttgart,2.6,2–3,1.9,Freiburg,7123,Mercedes-Benz Arena,Benjamin Cortus,/en/matches/8dd8f0c2/Stuttgart-Freiburg-September-19-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,1,Sat,2020-09-19,15:30,Werder Bremen,0.7,1–4,1.8,Hertha BSC,8400,Weserstadion,Sascha Stegemann,/en/matches/dd3427f7/Werder-Bremen-Hertha-BSC-September-19-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,1,Sat,2020-09-19,15:30,Eint Frankfurt,2.3,1–1,0.8,Arminia,6500,Deutsche Bank Park,Benjamin Brand,/en/matches/e10b719d/Eintracht-Frankfurt-Arminia-September-19-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,1,Sat,2020-09-19,18:30,Dortmund,1.8,3–0,0.6,Gladbach,9300,Signal Iduna Park,Felix Brych,/en/matches/991d308f/Dortmund-Monchengladbach-September-19-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,1,Sun,2020-09-20,15:30,RB Leipzig,2.8,3–1,1.2,Mainz 05,8500,Red Bull Arena,Manuel Gräfe,/en/matches/101ecf68/RB-Leipzig-Mainz-05-September-20-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,1,Sun,2020-09-20,18:00,Wolfsburg,0.9,0–0,0.5,Leverkusen,,Volkswagen Arena,Sven Jablonski,/en/matches/53a856bf/Wolfsburg-Bayer-Leverkusen-September-20-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,2,Fri,2020-09-25,20:30,Hertha BSC,1.2,1–3,1.5,Eint Frankfurt,4000,Olympiastadion Berlin,Bastian Dankert,/en/matches/8c8f082f/Hertha-BSC-Eintracht-Frankfurt-September-25-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,2,Sat,2020-09-26,15:30,Augsburg,1.2,2–0,1.8,Dortmund,6000,WWK Arena,Martin Petersen,/en/matches/88a5c544/Augsburg-Dortmund-September-26-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,2,Sat,2020-09-26,15:30,Leverkusen,0.9,1–1,0.9,RB Leipzig,6042,BayArena,Harm Osmers,/en/matches/8e94dce6/Bayer-Leverkusen-RB-Leipzig-September-26-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,2,Sat,2020-09-26,15:30,Gladbach,1.8,1–1,0.8,Union Berlin,10383,Stadion im Borussia-Park,Tobias Stieler,/en/matches/9a25fd98/Monchengladbach-Union-Berlin-September-26-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,2,Sat,2020-09-26,15:30,Mainz 05,1.3,1–4,2.6,Stuttgart,3403,Opel Arena,Daniel Schlager,/en/matches/e2a3b864/Mainz-05-Stuttgart-September-26-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,2,Sat,2020-09-26,15:30,Arminia,0.2,1–0,1.4,Köln,5460,SchücoArena,Patrick Ittrich,/en/matches/ef9b03d6/Arminia-Koln-September-26-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,2,Sat,2020-09-26,18:30,Schalke 04,1.6,1–3,2.4,Werder Bremen,,Veltins-Arena,Markus Schmidt,/en/matches/075c3255/Schalke-04-Werder-Bremen-September-26-2020-Bundesliga,,GER-BL1,20-21
Bundesliga,2,Sun,2020-09-27,15:30,Hoffenheim,2.6,4–1,1.4,Bayern Munich,,PreZero Arena,Benjamin Brand,/en/matches/8971a37b/Hoffenheim-Bayern-Munich-September-27-2020-Bundesliga,,GER-BL1,20-21
