id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,league,season
65d62814,1,Antonio Adán,ESP,GK,Betis,30,1987,30,30,2700,30.0,53,1.77,132,82,62.1,14,4,12,9,30.0,4,3,1,0,25.0,Matches,ESP-LALIGA,17-18
8875b8c9,2,Sergio Álvarez,ESP,GK,Celta Vigo,30,1986,17,16,1475,16.4,29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,0.0,Matches,ESP-LALIGA,17-18
983ccabe,3,Jon Ander Serantes,ESP,GK,Leganés,27,1989,1,1,90,1.0,2,2.0,8,6,75.0,1,0,0,0,0.0,0,0,0,0,,Matches,ESP-LALIGA,17-18
011d8c56,4,Miguel Ángel Moyá,ESP,GK,Real Sociedad,33,1984,9,9,765,8.5,8,0.94,33,24,81.8,3,2,4,2,22.2,3,2,1,0,33.3,Matches,ESP-LALIGA,17-18
28d596a0,5,Kepa Arrizabalaga,ESP,GK,Athletic Club,22,1994,30,30,2700,30.0,43,1.43,136,94,69.1,7,9,14,7,23.3,3,1,2,0,66.7,Matches,ESP-LALIGA,17-18
9f0ea33f,6,Sergio Asenjo,ESP,GK,Villarreal,28,1989,23,23,2070,23.0,30,1.3,93,60,71.0,12,3,8,6,26.1,6,3,3,0,50.0,Matches,ESP-LALIGA,17-18
aad4f74f,7,Mariano Barbosa,ARG,GK,Villarreal,33,1984,13,12,1125,12.5,14,1.12,48,34,72.9,6,3,3,5,41.7,1,1,0,0,0.0,Matches,ESP-LALIGA,17-18
967f34d3,8,Rubén Blanco,ESP,GK,Celta Vigo,22,1995,22,22,1941,21.6,31,1.44,86,55,67.4,10,4,8,4,18.2,4,3,0,1,0.0,Matches,ESP-LALIGA,17-18
f6798fc3,9,Yassine Bounou,MAR,GK,Girona,26,1991,30,30,2655,29.5,46,1.56,139,94,69.8,13,6,11,9,30.0,5,4,0,1,0.0,Matches,ESP-LALIGA,17-18
58bc7d18,10,Kiko Casilla,ESP,GK,Real Madrid,30,1986,10,10,900,10.0,11,1.1,29,19,62.1,6,2,2,3,30.0,0,0,0,0,,Matches,ESP-LALIGA,17-18
7a9fae62,11,Nereo Champagne,ARG,GK,Leganés,32,1985,2,2,180,2.0,6,3.0,9,3,44.4,0,0,2,0,0.0,1,1,0,0,0.0,Matches,ESP-LALIGA,17-18
8d957256,12,Leandro Chichizola,ARG,GK,Las Palmas,27,1990,27,27,2430,27.0,47,1.74,149,103,70.5,4,5,18,4,14.8,3,3,0,0,0.0,Matches,ESP-LALIGA,17-18
04ac8285,13,Jasper Cillessen,NED,GK,Barcelona,28,1989,1,1,90,1.0,1,1.0,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches,ESP-LALIGA,17-18
75751c99,14,Iván Cuéllar,ESP,GK,Leganés,33,1984,35,35,3150,35.0,43,1.23,139,95,72.7,11,7,17,14,40.0,6,5,1,0,16.7,Matches,ESP-LALIGA,17-18
ac295d9e,15,Marko Dmitrović,SRB,GK,Eibar,25,1992,36,36,3240,36.0,49,1.36,124,78,63.7,13,8,15,10,27.8,4,4,0,0,0.0,Matches,ESP-LALIGA,17-18
c9cb972b,16,Jaume Doménech,ESP,GK,Valencia,26,1990,5,5,450,5.0,5,1.0,21,16,76.2,4,0,1,2,40.0,0,0,0,0,,Matches,ESP-LALIGA,17-18
307fcd26,17,Andrés Fernández,ESP,GK,Villarreal,30,1986,3,3,225,2.5,6,2.4,16,10,68.8,0,1,2,0,0.0,1,1,0,0,0.0,Matches,ESP-LALIGA,17-18
6fb59070,18,Raúl Fernández,ESP,GK,Levante,29,1988,11,11,990,11.0,15,1.36,53,38,71.7,2,6,3,3,27.3,0,0,0,0,,Matches,ESP-LALIGA,17-18
7c218bf9,19,Dani Giménez,ESP,GK,Betis,34,1983,4,4,309,3.4,0,0.0,8,8,100.0,3,1,0,3,75.0,0,0,0,0,,Matches,ESP-LALIGA,17-18
ab13a5aa,20,Vicente Guaita,ESP,GK,Getafe,30,1987,33,33,2970,33.0,26,0.79,111,84,77.5,13,9,11,12,36.4,3,1,1,1,50.0,Matches,ESP-LALIGA,17-18
9109185e,21,Iago Herrerín,ESP,GK,Athletic Club,29,1988,8,8,720,8.0,6,0.75,30,23,86.7,3,4,1,4,50.0,3,2,1,0,33.3,Matches,ESP-LALIGA,17-18
26f2473f,22,Gorka Iraizoz,ESP,GK,Girona,36,1981,9,8,765,8.5,13,1.53,36,25,63.9,1,3,4,2,25.0,0,0,0,0,,Matches,ESP-LALIGA,17-18
60713cb3,23,Maksym Koval,UKR,GK,La Coruña,24,1992,2,2,121,1.3,3,2.23,5,2,40.0,,1,1,,,,,,,,Matches,ESP-LALIGA,17-18
f69e9eee,24,Raúl Lizoain,ESP,GK,Las Palmas,26,1991,11,11,990,11.0,27,2.45,66,39,62.1,1,2,8,1,9.1,2,2,0,0,0.0,Matches,ESP-LALIGA,17-18
73683fa9,25,Diego López,ESP,GK,Espanyol,35,1981,10,10,854,9.5,11,1.16,40,30,75.0,3,5,2,3,30.0,2,1,1,0,50.0,Matches,ESP-LALIGA,17-18
20b9f052,26,Pau López,ESP,GK,Espanyol,22,1994,29,28,2566,28.5,31,1.09,124,92,77.4,9,8,11,9,32.1,4,3,1,0,25.0,Matches,ESP-LALIGA,17-18
bfa29677,27,Pedro López,ESP,GK,Betis,22,1995,5,4,411,4.6,8,1.75,16,8,50.0,1,1,2,1,25.0,0,0,0,0,,Matches,ESP-LALIGA,17-18
7956236f,28,Emiliano Martínez,ARG,GK,Getafe,24,1992,5,5,450,5.0,7,1.4,19,12,68.4,2,1,2,2,40.0,1,1,0,0,0.0,Matches,ESP-LALIGA,17-18
c9e39d91,29,Brais Méndez,ESP,"MF,FW",Celta Vigo,20,1997,1,0,,10.5,,,,,,,,,,,,,,,,Matches,ESP-LALIGA,17-18
ecada4fc,30,Keylor Navas,CRC,GK,Real Madrid,30,1986,27,27,2430,27.0,31,1.15,111,79,73.9,16,7,4,7,25.9,4,2,2,0,50.0,Matches,ESP-LALIGA,17-18
