Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
1,Sat,2018-08-18,18:00,Chievo,1.1,2–3,3.1,Juventus,29500,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,/en/matches/2758c0c0/Chievo-Juventus-August-18-2018-Serie-A,,ITA-SERIA_A,18-19
1,Sat,2018-08-18,20:30,Lazio,1.0,1–2,1.4,Napoli,32000,Stadio Olimpico,Luca Banti,/en/matches/34947288/Lazio-Napoli-August-18-2018-Serie-A,,ITA-SERIA_A,18-19
1,Sun,2018-08-19,18:00,Torino,0.6,0–1,1.2,Roma,18000,Stadio Olimpico di Torino,Marco Di Bello,/en/matches/bf8bed12/Torino-Roma-August-19-2018-Serie-A,,ITA-SERIA_A,18-19
1,Sun,2018-08-19,20:30,Sassuolo,1.5,1–0,1.1,Inter,19104,Stadio Città del Tricolore,Maurizio Mariani,/en/matches/359379e6/Sassuolo-Internazionale-August-19-2018-Serie-A,,ITA-SERIA_A,18-19
1,Sun,2018-08-19,20:30,Empoli,1.3,2–0,0.9,Cagliari,7335,Stadio Carlo Castellani,Daniele Chiffi,/en/matches/4df38742/Empoli-Cagliari-August-19-2018-Serie-A,,ITA-SERIA_A,18-19
1,Sun,2018-08-19,20:30,Parma,1.5,2–2,1.9,Udinese,13141,Stadio Ennio Tardini,Giampaolo Calvarese,/en/matches/52018b4a/Parma-Udinese-August-19-2018-Serie-A,,ITA-SERIA_A,18-19
1,Sun,2018-08-19,20:30,Bologna,1.0,0–1,0.6,SPAL,21158,Stadio Renato Dall'Ara,Piero Giacomelli,/en/matches/76ad12fa/Bologna-SPAL-August-19-2018-Serie-A,,ITA-SERIA_A,18-19
1,Mon,2018-08-20,20:30,Atalanta,2.2,4–0,0.3,Frosinone,18217,Stadio Atleti Azzurri d'Italia,Marco Piccinini,/en/matches/3c6aced5/Atalanta-Frosinone-August-20-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sat,2018-08-25,18:00,Juventus,1.6,2–0,0.3,Lazio,40171,Allianz Stadium,Massimiliano Irrati,/en/matches/2ea4b5a9/Juventus-Lazio-August-25-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sat,2018-08-25,20:30,Napoli,1.4,3–2,0.7,Milan,34474,Stadio San Paolo,Paolo Valeri,/en/matches/05260246/Napoli-Milan-August-25-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sun,2018-08-26,18:00,SPAL,1.4,1–0,0.3,Parma,6000,Stadio Paolo Mazza,Daniele Orsato,/en/matches/43700994/SPAL-Parma-August-26-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sun,2018-08-26,20:30,Cagliari,1.3,2–2,1.8,Sassuolo,14432,Sardegna Arena,Luca Pairetto,/en/matches/05f91647/Cagliari-Sassuolo-August-26-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sun,2018-08-26,20:30,Genoa,1.1,2–1,1.5,Empoli,19523,Stadio Comunale Luigi Ferraris,Livio Marinelli,/en/matches/13e8157a/Genoa-Empoli-August-26-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sun,2018-08-26,20:30,Inter,0.8,2–2,1.1,Torino,59135,Stadio Giuseppe Meazza,Paolo Mazzoleni,/en/matches/41f84052/Internazionale-Torino-August-26-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sun,2018-08-26,20:30,Frosinone,1.7,0–0,0.9,Bologna,,Stadio Benito Stirpe,Gianluca Manganiello,/en/matches/7dff3aeb/Frosinone-Bologna-August-26-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sun,2018-08-26,20:30,Udinese,1.8,1–0,0.7,Sampdoria,15770,Dacia Arena,Federico La Penna,/en/matches/f42fa5a8/Udinese-Sampdoria-August-26-2018-Serie-A,,ITA-SERIA_A,18-19
2,Sun,2018-08-26,20:30,Fiorentina,3.5,6–1,0.7,Chievo,27790,Stadio Artemio Franchi,Rosario Abisso,/en/matches/faabbf40/Fiorentina-Chievo-August-26-2018-Serie-A,,ITA-SERIA_A,18-19
2,Mon,2018-08-27,20:30,Roma,2.5,3–3,3.0,Atalanta,41725,Stadio Olimpico,Michael Fabbri,/en/matches/9be750ef/Roma-Atalanta-August-27-2018-Serie-A,,ITA-SERIA_A,18-19
3,Fri,2018-08-31,20:30,Milan,1.9,2–1,0.3,Roma,57789,Stadio Giuseppe Meazza,Marco Guida,/en/matches/ef299e2b/Milan-Roma-August-31-2018-Serie-A,,ITA-SERIA_A,18-19
3,Sat,2018-09-01,18:00,Bologna,0.5,0–3,1.9,Inter,26082,Stadio Renato Dall'Ara,Marco Di Bello,/en/matches/9ff54a39/Bologna-Internazionale-September-1-2018-Serie-A,,ITA-SERIA_A,18-19
3,Sat,2018-09-01,20:30,Parma,1.9,1–2,2.3,Juventus,20814,Stadio Ennio Tardini,Daniele Doveri,/en/matches/c43bd14a/Parma-Juventus-September-1-2018-Serie-A,,ITA-SERIA_A,18-19
