id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,league,season
5dbefa9d,38,André Ayew,GHA,"FW,MF",Nott'ham Forest,32,1989,3.5,3,0.86,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
da052c14,39,Jordan Ayew,GHA,"FW,MF",Crystal Palace,30,1991,30.2,78,2.59,53,0,9,6,7,3,8,0.27,5,0,1,1,1,0,Matches,ENG-EPL,22-23
420d7c7d,40,Luke Ayling,ENG,DF,Leeds United,30,1991,22.8,40,1.75,33,0,0,3,2,2,1,0.04,1,0,0,0,0,0,Matches,ENG-EPL,22-23
53cad200,41,César Azpilicueta,ESP,DF,Chelsea,32,1989,17.0,25,1.47,25,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,ENG-EPL,22-23
06df8256,42,Benoît Badiashile,FRA,DF,Chelsea,21,2001,10.1,12,1.19,11,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
3a233281,43,Leon Bailey,JAM,"FW,MF",Aston Villa,24,1997,21.9,62,2.84,40,2,10,7,3,0,8,0.37,5,0,0,3,0,0,Matches,ENG-EPL,22-23
32e8417f,44,Stefan Bajcetic,ESP,MF,Liverpool,17,2004,5.8,13,2.22,8,1,2,0,2,0,1,0.17,0,0,1,0,0,0,Matches,ENG-EPL,22-23
ed8d597c,45,Dominic Ballard,ENG,"FW,MF",Southampton,17,2005,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,ENG-EPL,22-23
93feac6e,46,Patrick Bamford,ENG,FW,Leeds United,28,1993,16.8,27,1.6,17,0,1,5,3,1,6,0.36,4,0,1,1,0,0,Matches,ENG-EPL,22-23
2886c9b5,47,Shandon Baptiste,GRN,MF,Brentford,24,1998,6.9,18,2.63,11,1,2,2,2,0,4,0.58,3,0,0,0,1,0,Matches,ENG-EPL,22-23
