Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2024-03-30,17:30:00,Premier League,Matchweek 30,Sat,Away,L,0,2,Aston Villa,1.5,1.0,52,42640,Max Kilman,3-4-3,4-4-2,Paul Tierney,/en/matches/5f218b76/Aston-Villa-Wolverhampton-Wanderers-March-30-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-04-02,19:45:00,Premier League,Matchweek 31,Tue,Away,D,1,1,Burnley,0.9,1.3,49,21528,Max Kilman,4-4-1-1,4-4-2,Thomas Bramall,/en/matches/feadec6f/Burnley-Wolverhampton-Wanderers-April-2-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-04-06,15:00:00,Premier League,Matchweek 32,Sat,Home,L,1,2,West Ham,1.5,1.2,58,31504,Max Kilman,3-4-3,4-2-3-1,Tony Harrington,/en/matches/4f0b227b/Wolverhampton-Wanderers-West-Ham-United-April-6-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-04-13,15:00:00,Premier League,Matchweek 33,Sat,Away,D,2,2,Nott'ham Forest,1.0,1.9,54,29604,Max Kilman,3-4-1-2,4-2-3-1,Craig Pawson,/en/matches/4460b6c5/Nottingham-Forest-Wolverhampton-Wanderers-April-13-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-04-20,19:30:00,Premier League,Matchweek 34,Sat,Home,L,0,2,Arsenal,0.2,1.2,46,31621,Max Kilman,4-4-2,4-3-3,Paul Tierney,/en/matches/22881ea2/Wolverhampton-Wanderers-Arsenal-April-20-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-04-24,19:45:00,Premier League,Matchweek 29,Wed,Home,L,0,1,Bournemouth,0.5,1.9,63,25541,Max Kilman,4-1-4-1,4-2-3-1,Stuart Attwell,/en/matches/2e209def/Wolverhampton-Wanderers-Bournemouth-April-24-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-04-27,15:00:00,Premier League,Matchweek 35,Sat,Home,W,2,1,Luton Town,1.2,0.6,58,31531,Max Kilman,3-5-1-1,3-4-3,David Coote,/en/matches/55d68500/Wolverhampton-Wanderers-Luton-Town-April-27-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-05-04,17:30:00,Premier League,Matchweek 36,Sat,Away,L,1,5,Manchester City,0.3,3.7,42,52439,Max Kilman,3-5-2,4-2-3-1,Craig Pawson,/en/matches/5a9032bf/Manchester-City-Wolverhampton-Wanderers-May-4-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-05-11,15:00:00,Premier League,Matchweek 37,Sat,Home,L,1,3,Crystal Palace,1.6,2.6,62,31424,Max Kilman,3-5-1-1,3-4-3,Thomas Bramall,/en/matches/16d5b6aa/Wolverhampton-Wanderers-Crystal-Palace-May-11-2024-Premier-League,,23-24,Wolves,8cec06e1
2024-05-19,16:00:00,Premier League,Matchweek 38,Sun,Away,L,0,2,Liverpool,0.5,4.5,33,60059,Max Kilman,3-5-1-1,4-3-3,Chris Kavanagh,/en/matches/d4823ed5/Liverpool-Wolverhampton-Wanderers-May-19-2024-Premier-League,,23-24,Wolves,8cec06e1
