Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Ligue 1,1,Fri,2018-08-10,20:45,Marseille,3.2,4–0,0.3,Toulouse,60756,Orange Vélodrome,Ruddy Buquet,/en/matches/8818bccb/Marseille-Toulouse-August-10-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sat,2018-08-11,17:00,Nantes,1.4,1–3,2.6,Monaco,32760,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,/en/matches/cfa44f15/Nantes-Monaco-August-11-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sat,2018-08-11,20:00,Montpellier,1.3,1–2,2.0,Dijon,12765,Stade de la Mosson,Florent Batta,/en/matches/002eb19a/Montpellier-Dijon-August-11-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sat,2018-08-11,20:00,Nice,1.2,0–1,0.3,Reims,21421,Stade de Nice,Johan Hamel,/en/matches/0446fd28/Nice-Reims-August-11-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sat,2018-08-11,20:00,Saint-Étienne,0.8,2–1,1.6,Guingamp,26006,Stade Geoffroy-Guichard,Amaury Delerue,/en/matches/74211c45/Saint-Etienne-Guingamp-August-11-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sat,2018-08-11,20:00,Lille,1.7,3–1,0.5,Rennes,25708,Stade Pierre-Mauroy,Willy Delajod,/en/matches/c19cba06/Lille-Rennes-August-11-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sat,2018-08-11,20:00,Angers,2.8,3–4,1.5,Nîmes,9534,Stade Raymond Kopa,Antony Gautier,/en/matches/f18b4a9b/Angers-Nimes-August-11-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sun,2018-08-12,15:00,Lyon,1.4,2–0,0.4,Amiens,48263,Groupama Stadium,Franck Schneider,/en/matches/c17d091d/Lyon-Amiens-August-12-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sun,2018-08-12,17:00,Bordeaux,0.2,0–2,1.5,Strasbourg,23079,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,/en/matches/f134cf1e/Bordeaux-Strasbourg-August-12-2018-Ligue-1,,FRA-L1,18-19
Ligue 1,1,Sun,2018-08-12,21:00,Paris S-G,3.0,3–0,0.2,Caen,47289,Parc des Princes,Benoît Bastien,/en/matches/ed566f34/Paris-Saint-Germain-Caen-August-12-2018-Ligue-1,,FRA-L1,18-19
