id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,league,season
47064058,1,Oliver Baumann,GER,GK,Hoffenheim,31,1990,33,33,2970,33.0,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3,Matches,GER-BL1,21-22
d28339cb,2,Fabian Bredlow,GER,GK,Stuttgart,26,1995,4,4,360,4.0,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,,Matches,GER-BL1,21-22
25bdea4b,3,Sascha Burchert,GER,GK,Greuther Fürth,31,1989,14,14,1260,14.0,28,2.0,72,46,65.3,2,4,8,3,21.4,3,3,0,0,0.0,Matches,GER-BL1,21-22
9d12e142,4,Roman Bürki,SUI,GK,Dortmund,30,1990,1,1,90,1.0,1,1.0,1,0,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Matches,GER-BL1,21-22
db401046,5,Koen Casteels,BEL,GK,Wolfsburg,29,1992,28,28,2520,28.0,40,1.43,118,76,68.6,11,6,11,10,35.7,6,3,2,1,40.0,Matches,GER-BL1,21-22
dee3013b,6,Finn Dahmen,GER,GK,Mainz 05,23,1998,2,2,180,2.0,3,1.5,5,2,60.0,1,1,0,0,0.0,1,1,0,0,0.0,Matches,GER-BL1,21-22
83e0eeb4,7,Michael Esser,GER,GK,Bochum,33,1987,3,3,270,3.0,7,2.33,21,14,76.2,2,0,1,0,0.0,2,2,0,0,0.0,Matches,GER-BL1,21-22
a92ab7be,8,Mark Flekken,NED,GK,Freiburg,28,1993,32,32,2880,32.0,39,1.22,141,103,73.8,15,9,8,10,31.3,2,2,0,0,0.0,Matches,GER-BL1,21-22
1940be91,9,Christian Früchtl,GER,GK,Bayern Munich,21,2000,1,0,10,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Matches,GER-BL1,21-22
86314793,10,Marius Funk,GER,GK,Greuther Fürth,25,1996,8,8,720,8.0,30,3.75,54,26,48.1,0,0,8,0,0.0,2,2,0,0,0.0,Matches,GER-BL1,21-22
