Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Ligue 1,1,Fri,2020-08-21,19:00,Bordeaux,0.5,0–0,0.2,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,/en/matches/c0996cac/Bordeaux-Nantes-August-21-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,1,Sat,2020-08-22,17:00,Dijon,0.9,0–1,1.5,Angers,,Stade Gaston Gérard,Eric Wattellier,/en/matches/9cbccb37/Dijon-Angers-August-22-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,1,Sat,2020-08-22,21:00,Lille,0.4,1–1,1.6,Rennes,3975,Stade Pierre-Mauroy,Clément Turpin,/en/matches/50ec2fcc/Lille-Rennes-August-22-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,1,Sun,2020-08-23,13:00,Monaco,1.8,2–2,1.7,Reims,,Stade Louis II,François Letexier,/en/matches/b3bddcc0/Monaco-Reims-August-23-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,1,Sun,2020-08-23,15:00,Nîmes,1.7,4–0,0.8,Brest,,Stade des Costières,Jérémie Pignard,/en/matches/da8136ae/Nimes-Brest-August-23-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,1,Sun,2020-08-23,15:00,Lorient,2.9,3–1,0.3,Strasbourg,,Stade du Moustoir,Johan Hamel,/en/matches/f96cd5a0/Lorient-Strasbourg-August-23-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,1,Sun,2020-08-23,17:00,Nice,0.2,2–1,3.1,Lens,,Stade de Nice,Jérôme Miguelgorry,/en/matches/b08ae3b2/Nice-Lens-August-23-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,2,Fri,2020-08-28,21:00,Lyon,4.6,4–1,0.2,Dijon,,Groupama Stadium,Benoît Millot,/en/matches/7512406f/Lyon-Dijon-August-28-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,2,Sat,2020-08-29,17:00,Rennes,1.4,2–1,0.6,Montpellier,,Roazhon Park,Willy Delajod,/en/matches/1ec60fe6/Rennes-Montpellier-August-29-2020-Ligue-1,,FRA-L1,20-21
Ligue 1,2,Sat,2020-08-29,21:00,Strasbourg,0.3,0–2,1.3,Nice,,Stade de la Meinau,Jérôme Brisard,/en/matches/a271affc/Strasbourg-Nice-August-29-2020-Ligue-1,,FRA-L1,20-21
