id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,,,,,
3745e8bd,Sebastian Polter,40,GER,FW,30-351,90,0,0,0,0,2,2,0,0,3,1,0,0,0,0,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
2979c05a,Gerrit Holtmann,17,PHI,FW,26-358,90,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
0a3f6cde,Christopher Antwi-Adjei,22,GHA,FW,28-039,90,0,0,0,0,3,3,0,0,1,2,1,1,2,0,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
70678132,Eduard Löwen,38,GER,CM,25-049,67,0,0,0,0,2,1,0,0,0,0,0,9,3,1,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
9662c9ec,Patrick Osterhage,6,GER,MF,22-045,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
07c7eb0c,Anthony Losilla,8,FRA,CM,36-008,90,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
1ae836b1,Elvis Rexhbeçaj,20,GER,CM,24-137,90,0,0,0,0,2,0,0,0,1,3,0,2,0,0,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
861e0116,Kostas Stafylidis,16,GRE,LB,28-106,90,0,0,0,0,1,0,0,0,1,2,0,9,1,3,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
a39d11bc,Armel Bella Kotchap,37,GER,CB,20-097,90,0,0,0,0,1,1,1,0,2,1,1,0,0,2,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
a396fb61,Erhan Mašović,4,SRB,CB,23-116,90,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
5ad8c360,Herbert Bockhorn,11,GER,RB,27-046,90,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
9f941969,Manuel Riemann,1,GER,GK,33-190,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Bochum,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
6f8cd6d0,Marcus Thuram,10,FRA,FW,24-224,90,0,0,0,0,1,1,0,0,1,1,1,2,0,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
0b4f388a,Breel Embolo,36,SUI,AM,25-032,90,1,0,0,0,2,2,0,0,2,3,0,0,0,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
bc6bd723,Alassane Pléa,14,FRA,AM,29-008,90,1,0,0,0,2,1,0,0,1,1,0,2,0,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
86574238,Manu Koné,17,FRA,DM,20-305,90,0,0,0,0,1,0,1,0,3,2,0,0,6,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
36a59ba4,Florian Neuhaus,32,GER,DM,25-002,90,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
e79269bd,Luca Netz,20,GER,DM,18-307,90,0,1,0,0,0,0,0,0,1,0,1,4,1,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
4aea5077,Stefan Lainer,18,AUT,DM,29-203,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
378825c7,Ramy Bensebaini,25,ALG,CB,26-336,90,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
f521b80a,Matthias Ginter,28,GER,CB,28-058,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
9af1f9ff,Jordan Beyer,15,GER,CB,21-303,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
420c18a1,Yann Sommer,1,SUI,GK,33-091,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Mönchengladbach,2022-03-18 Bochum-Gladbach,GER-BL1,21-22,c34bbc21
