Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-12,15:00:00,Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.1,1.3,38,11245,Kurt Zouma,4-2-3-1,4-2-3-1,Peter Bankes,/en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League,,23-24,West Ham,7c21e445
2023-08-20,16:30:00,Premier League,Matchweek 2,Sun,Home,W,3,1,Chelsea,1.8,2.5,25,62451,Kurt Zouma,4-2-3-1,3-4-3,John Brooks,/en/matches/44b9a07c/West-Ham-United-Chelsea-August-20-2023-Premier-League,,23-24,West Ham,7c21e445
2023-08-26,17:30:00,Premier League,Matchweek 3,Sat,Away,W,3,1,Brighton,3.0,1.5,22,31508,Kurt Zouma,4-1-4-1,4-2-3-1,Anthony Taylor,/en/matches/ba68d60c/Brighton-and-Hove-Albion-West-Ham-United-August-26-2023-Premier-League,,23-24,West Ham,7c21e445
2023-09-01,20:00:00,Premier League,Matchweek 4,Fri,Away,W,2,1,Luton Town,1.0,1.4,61,10802,Kurt Zouma,4-2-3-1,5-3-2,Paul Tierney,/en/matches/e929e225/Luton-Town-West-Ham-United-September-1-2023-Premier-League,,23-24,West Ham,7c21e445
2023-09-16,15:00:00,Premier League,Matchweek 5,Sat,Home,L,1,3,Manchester City,0.9,3.6,32,62475,Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley,/en/matches/64c0a6e2/West-Ham-United-Manchester-City-September-16-2023-Premier-League,,23-24,West Ham,7c21e445
2023-09-21,20:00:00,Europa Lg,Group stage,Thu,Home,W,3,1,TSC Bačka Top,2.2,0.5,71,41374,Angelo Ogbonna,4-2-3-1,5-3-2,Filip Glova,/en/matches/c376e97b/West-Ham-United-TSC-Backa-Top-September-21-2023-Europa-League,,23-24,West Ham,7c21e445
2023-09-24,14:00:00,Premier League,Matchweek 6,Sun,Away,L,1,3,Liverpool,1.1,3.0,37,50136,Kurt Zouma,4-2-3-1,4-3-3,Chris Kavanagh,/en/matches/90adf8b3/Liverpool-West-Ham-United-September-24-2023-Premier-League,,23-24,West Ham,7c21e445
2023-09-27,19:45:00,EFL Cup,Third round,Wed,Away,W,1,0,Lincoln City,,,74,10168,Angelo Ogbonna,4-2-3-1,3-4-3,Joshua Smith,/en/matches/733dee90/Lincoln-City-West-Ham-United-September-27-2023-EFL-Cup,,23-24,West Ham,7c21e445
2023-09-30,15:00:00,Premier League,Matchweek 7,Sat,Home,W,2,0,Sheffield Utd,2.1,1.1,52,62459,Kurt Zouma,4-2-3-1,3-5-2,Graham Scott,/en/matches/b82be6d7/West-Ham-United-Sheffield-United-September-30-2023-Premier-League,,23-24,West Ham,7c21e445
2023-10-05,18:45:00,Europa Lg,Group stage,Thu,Away,W,2,1,Freiburg,1.0,1.5,45,34100,Łukasz Fabiański,4-2-3-1,4-4-2,Mohammed Al Hakim,/en/matches/734e1b51/Freiburg-West-Ham-United-October-5-2023-Europa-League,,23-24,West Ham,7c21e445
2023-10-08,14:00:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Newcastle Utd,1.2,2.0,36,62473,Kurt Zouma,4-2-3-1,4-3-3,Peter Bankes,/en/matches/017c9ca5/West-Ham-United-Newcastle-United-October-8-2023-Premier-League,,23-24,West Ham,7c21e445
2023-10-22,16:30:00,Premier League,Matchweek 9,Sun,Away,L,1,4,Aston Villa,1.1,1.9,42,41734,Kurt Zouma,4-2-3-1,4-4-2,David Coote,/en/matches/7efcc598/Aston-Villa-West-Ham-United-October-22-2023-Premier-League,,23-24,West Ham,7c21e445
2023-10-26,19:45:00,Europa Lg,Group stage,Thu,Away,L,1,2,Olympiacos,1.0,0.9,56,30623,Angelo Ogbonna,4-2-3-1,4-2-3-1,Andris Treimanis,/en/matches/a945ca05/Olympiacos-West-Ham-United-October-26-2023-Europa-League,,23-24,West Ham,7c21e445
2023-10-29,13:00:00,Premier League,Matchweek 10,Sun,Home,L,0,1,Everton,0.7,0.8,64,62469,Kurt Zouma,4-2-3-1,4-4-1-1,Stuart Attwell,/en/matches/868a89be/West-Ham-United-Everton-October-29-2023-Premier-League,,23-24,West Ham,7c21e445
2023-11-01,19:30:00,EFL Cup,Fourth round,Wed,Home,W,3,1,Arsenal,,,28,62154,Łukasz Fabiański,4-2-3-1,4-3-3,Simon Hooper,/en/matches/7fbf0cfb/West-Ham-United-Arsenal-November-1-2023-EFL-Cup,,23-24,West Ham,7c21e445
2023-11-04,15:00:00,Premier League,Matchweek 11,Sat,Away,L,2,3,Brentford,1.8,1.5,42,17103,James Ward-Prowse,4-4-2,4-3-3,Thomas Bramall,/en/matches/3235dd6e/Brentford-West-Ham-United-November-4-2023-Premier-League,,23-24,West Ham,7c21e445
2023-11-09,20:00:00,Europa Lg,Group stage,Thu,Home,W,1,0,Olympiacos,1.5,0.6,56,55811,Łukasz Fabiański,4-2-3-1,4-3-3,Matej Jug,/en/matches/9778001e/West-Ham-United-Olympiacos-November-9-2023-Europa-League,,23-24,West Ham,7c21e445
2023-11-12,14:00:00,Premier League,Matchweek 12,Sun,Home,W,3,2,Nott'ham Forest,1.8,1.7,54,62470,Kurt Zouma,4-2-3-1,4-3-3,Michael Salisbury,/en/matches/76b8e568/West-Ham-United-Nottingham-Forest-November-12-2023-Premier-League,,23-24,West Ham,7c21e445
2023-11-25,15:00:00,Premier League,Matchweek 13,Sat,Away,W,2,1,Burnley,0.9,1.3,50,21319,Kurt Zouma,4-2-3-1,4-4-2,Samuel Barrott,/en/matches/36a64522/Burnley-West-Ham-United-November-25-2023-Premier-League,,23-24,West Ham,7c21e445
2023-11-30,18:45:00,Europa Lg,Group stage,Thu,Away,W,1,0,TSC Bačka Top,0.6,0.7,58,4256,Łukasz Fabiański,4-3-3,5-3-2,Allard Lindhout,/en/matches/bd8994c2/TSC-Backa-Top-West-Ham-United-November-30-2023-Europa-League,,23-24,West Ham,7c21e445
2023-12-03,14:00:00,Premier League,Matchweek 14,Sun,Home,D,1,1,Crystal Palace,1.1,0.9,55,62414,Tomáš Souček,4-2-3-1,4-3-3,Michael Oliver,/en/matches/f7fb8049/West-Ham-United-Crystal-Palace-December-3-2023-Premier-League,,23-24,West Ham,7c21e445
2023-12-07,20:15:00,Premier League,Matchweek 15,Thu,Away,W,2,1,Tottenham,2.2,1.8,26,61171,Kurt Zouma,4-3-3,4-2-3-1,Michael Salisbury,/en/matches/200af033/Tottenham-Hotspur-West-Ham-United-December-7-2023-Premier-League,,23-24,West Ham,7c21e445
2023-12-10,14:00:00,Premier League,Matchweek 16,Sun,Away,L,0,5,Fulham,1.3,2.3,37,23988,Kurt Zouma,4-4-1-1,4-2-3-1,Paul Tierney,/en/matches/d3dd23fb/Fulham-West-Ham-United-December-10-2023-Premier-League,,23-24,West Ham,7c21e445
2023-12-14,20:00:00,Europa Lg,Group stage,Thu,Home,W,2,0,Freiburg,1.6,0.4,57,48876,Łukasz Fabiański,4-3-3,4-4-2,João Pinheiro,/en/matches/1862a88e/West-Ham-United-Freiburg-December-14-2023-Europa-League,,23-24,West Ham,7c21e445
2023-12-17,14:00:00,Premier League,Matchweek 17,Sun,Home,W,3,0,Wolves,1.1,0.7,45,62455,Kurt Zouma,4-2-3-1,3-4-3,Chris Kavanagh,/en/matches/5f5bc7b3/West-Ham-United-Wolverhampton-Wanderers-December-17-2023-Premier-League,,23-24,West Ham,7c21e445
2023-12-20,20:00:00,EFL Cup,Quarter-finals,Wed,Away,L,1,5,Liverpool,,,33,57332,Angelo Ogbonna,4-2-3-1,4-3-3,Tim Robinson,/en/matches/629d12ed/Liverpool-West-Ham-United-December-20-2023-EFL-Cup,,23-24,West Ham,7c21e445
2023-12-23,12:30:00,Premier League,Matchweek 18,Sat,Home,W,2,0,Manchester Utd,1.2,1.0,35,64472,Kurt Zouma,4-2-3-1,4-2-3-1,Simon Hooper,/en/matches/328777ed/West-Ham-United-Manchester-United-December-23-2023-Premier-League,,23-24,West Ham,7c21e445
2023-12-28,20:15:00,Premier League,Matchweek 19,Thu,Away,W,2,0,Arsenal,1.4,2.7,27,60261,Angelo Ogbonna,4-2-3-1,4-3-3,Michael Oliver,/en/matches/ba570015/Arsenal-West-Ham-United-December-28-2023-Premier-League,,23-24,West Ham,7c21e445
2024-01-02,19:30:00,Premier League,Matchweek 20,Tue,Home,D,0,0,Brighton,0.7,2.3,32,62462,Angelo Ogbonna,4-2-3-1,4-3-1-2,Samuel Barrott,/en/matches/d557afd0/West-Ham-United-Brighton-and-Hove-Albion-January-2-2024-Premier-League,,23-24,West Ham,7c21e445
2024-01-07,14:00:00,FA Cup,Third round proper,Sun,Home,D,1,1,Bristol City,,,57,62447,Kurt Zouma,4-2-3-1,4-2-3-1,Graham Scott,/en/matches/15f9007d/West-Ham-United-Bristol-City-January-7-2024-FA-Cup,,23-24,West Ham,7c21e445
2024-01-16,19:45:00,FA Cup,Third round proper,Tue,Away,L,0,1,Bristol City,,,57,25616,Kurt Zouma,3-4-3,3-4-3,Darren England,/en/matches/771e928c/Bristol-City-West-Ham-United-January-16-2024-FA-Cup,,23-24,West Ham,7c21e445
2024-01-21,14:00:00,Premier League,Matchweek 21,Sun,Away,D,2,2,Sheffield Utd,2.3,2.5,43,29164,Kurt Zouma,4-4-1-1,4-1-4-1,Michael Salisbury,/en/matches/abd525b4/Sheffield-United-West-Ham-United-January-21-2024-Premier-League,,23-24,West Ham,7c21e445
2024-02-01,19:30:00,Premier League,Matchweek 22,Thu,Home,D,1,1,Bournemouth,1.4,1.2,48,62478,Kurt Zouma,4-3-2-1,4-2-3-1,Tim Robinson,/en/matches/16dc9951/West-Ham-United-Bournemouth-February-1-2024-Premier-League,,23-24,West Ham,7c21e445
2024-02-04,14:00:00,Premier League,Matchweek 23,Sun,Away,L,0,3,Manchester Utd,1.4,0.7,49,73612,Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley,/en/matches/dc1428be/Manchester-United-West-Ham-United-February-4-2024-Premier-League,,23-24,West Ham,7c21e445
2024-02-11,14:00:00,Premier League,Matchweek 24,Sun,Home,L,0,6,Arsenal,0.2,3.6,30,62475,Kurt Zouma,4-2-3-1,4-3-3,Craig Pawson,/en/matches/a1da23dc/West-Ham-United-Arsenal-February-11-2024-Premier-League,,23-24,West Ham,7c21e445
2024-02-17,15:00:00,Premier League,Matchweek 25,Sat,Away,L,0,2,Nott'ham Forest,0.5,2.8,51,29490,Kurt Zouma,4-2-3-1,4-2-3-1,Thomas Bramall,/en/matches/d657db47/Nottingham-Forest-West-Ham-United-February-17-2024-Premier-League,,23-24,West Ham,7c21e445
2024-02-26,20:00:00,Premier League,Matchweek 26,Mon,Home,W,4,2,Brentford,1.7,0.9,41,62450,Kurt Zouma,4-2-3-1,3-5-2,Simon Hooper,/en/matches/15a04102/West-Ham-United-Brentford-February-26-2024-Premier-League,,23-24,West Ham,7c21e445
2024-03-02,15:00:00,Premier League,Matchweek 27,Sat,Away,W,3,1,Everton,1.9,2.7,45,39262,Kurt Zouma,4-2-3-1,4-4-1-1,Craig Pawson,/en/matches/e9183936/Everton-West-Ham-United-March-2-2024-Premier-League,,23-24,West Ham,7c21e445
2024-03-07,21:00:00,Europa Lg,Round of 16,Thu,Away,L,0,1,Freiburg,1.4,1.5,42,34700,Kurt Zouma,4-2-3-1,4-1-4-1,Alejandro Hernández,/en/matches/2f7e2d02/Freiburg-West-Ham-United-March-7-2024-Europa-League,Leg 1 of 2,23-24,West Ham,7c21e445
2024-03-10,14:00:00,Premier League,Matchweek 28,Sun,Home,D,2,2,Burnley,2.1,0.7,52,62441,Tomáš Souček,4-2-3-1,4-4-2,Darren England,/en/matches/9ef133d6/West-Ham-United-Burnley-March-10-2024-Premier-League,,23-24,West Ham,7c21e445
2024-03-14,17:45:00,Europa Lg,Round of 16,Thu,Home,W,5,0,Freiburg,2.1,0.3,40,51014,Kurt Zouma,4-2-3-1,4-2-2-2,Marco Guida,/en/matches/ccd60080/West-Ham-United-Freiburg-March-14-2024-Europa-League,Leg 2 of 2; West Ham won,23-24,West Ham,7c21e445
2024-03-17,14:00:00,Premier League,Matchweek 29,Sun,Home,D,1,1,Aston Villa,2.0,0.7,31,62461,Kurt Zouma,4-2-3-1,4-4-2,Jarred Gillett,/en/matches/fc356c59/West-Ham-United-Aston-Villa-March-17-2024-Premier-League,,23-24,West Ham,7c21e445
2024-03-30,12:30:00,Premier League,Matchweek 30,Sat,Away,L,3,4,Newcastle Utd,1.4,4.1,40,52199,Kurt Zouma,4-2-3-1,4-3-3,Robert Jones,/en/matches/10600f89/Newcastle-United-West-Ham-United-March-30-2024-Premier-League,,23-24,West Ham,7c21e445
2024-04-02,20:15:00,Premier League,Matchweek 31,Tue,Home,D,1,1,Tottenham,1.5,1.0,33,62469,Kurt Zouma,4-5-1,4-2-3-1,John Brooks,/en/matches/2600ff86/West-Ham-United-Tottenham-Hotspur-April-2-2024-Premier-League,,23-24,West Ham,7c21e445
2024-04-06,15:00:00,Premier League,Matchweek 32,Sat,Away,W,2,1,Wolves,1.2,1.5,42,31504,Kurt Zouma,4-2-3-1,3-4-3,Tony Harrington,/en/matches/4f0b227b/Wolverhampton-Wanderers-West-Ham-United-April-6-2024-Premier-League,,23-24,West Ham,7c21e445
2024-04-11,21:00:00,Europa Lg,Quarter-finals,Thu,Away,L,0,2,Leverkusen,0.2,2.3,28,30210,Kurt Zouma,3-4-3,3-4-3,Artur Soares Dias,/en/matches/140514f8/Bayer-Leverkusen-West-Ham-United-April-11-2024-Europa-League,Leg 1 of 2,23-24,West Ham,7c21e445
2024-04-14,14:00:00,Premier League,Matchweek 33,Sun,Home,L,0,2,Fulham,0.9,3.2,58,62459,Łukasz Fabiański,4-2-3-1,4-2-3-1,Stuart Attwell,/en/matches/bd62891f/West-Ham-United-Fulham-April-14-2024-Premier-League,,23-24,West Ham,7c21e445
2024-04-18,20:00:00,Europa Lg,Quarter-finals,Thu,Home,D,1,1,Leverkusen,1.5,1.1,43,62473,Kurt Zouma,4-2-3-1,3-4-3,José Sánchez,/en/matches/5bade2fe/West-Ham-United-Bayer-Leverkusen-April-18-2024-Europa-League,Leg 2 of 2; Leverkusen won,23-24,West Ham,7c21e445
2024-04-21,15:00:00,Premier League,Matchweek 34,Sun,Away,L,2,5,Crystal Palace,1.3,2.4,40,25145,Kurt Zouma,4-2-3-1,3-4-3,Graham Scott,/en/matches/6ef6966a/Crystal-Palace-West-Ham-United-April-21-2024-Premier-League,,23-24,West Ham,7c21e445
2024-04-27,12:30:00,Premier League,Matchweek 35,Sat,Home,D,2,2,Liverpool,0.7,1.7,29,62474,Kurt Zouma,4-2-3-1,4-3-3,Anthony Taylor,/en/matches/ba04d7d8/West-Ham-United-Liverpool-April-27-2024-Premier-League,,23-24,West Ham,7c21e445
2024-05-05,14:00:00,Premier League,Matchweek 36,Sun,Away,L,0,5,Chelsea,0.9,4.1,31,39295,Kurt Zouma,4-2-3-1,4-2-3-1,Andy Madley,/en/matches/f8a0189a/Chelsea-West-Ham-United-May-5-2024-Premier-League,,23-24,West Ham,7c21e445
2024-05-11,15:00:00,Premier League,Matchweek 37,Sat,Home,W,3,1,Luton Town,3.2,0.3,58,62475,Kurt Zouma,4-2-3-1,3-4-3,Michael Oliver,/en/matches/17e9dbbf/West-Ham-United-Luton-Town-May-11-2024-Premier-League,,23-24,West Ham,7c21e445
2024-05-19,16:00:00,Premier League,Matchweek 38,Sun,Away,L,1,3,Manchester City,0.4,1.9,29,55097,Kurt Zouma,3-4-3,4-1-4-1,John Brooks,/en/matches/29335211/Manchester-City-West-Ham-United-May-19-2024-Premier-League,,23-24,West Ham,7c21e445
