id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
a2c1a8d3,1,Julen Agirrezabala,ESP,GK,Athletic Club,22,2000,2.6,4,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3,Matches,ESP-LALIGA,23-24
28d596a0,2,Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,13.3,9,0,0,0,1,10.0,0.28,2.0,0.15,34,92,37.0,386,57,19.2,27.0,70,25.7,30.6,157,6,3.8,10,0.75,14.7,Matches,ESP-LALIGA,23-24
fc627681,3,Augusto Batalla,ARG,GK,Granada,27,1996,17.0,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,275,23,8.4,18,1.06,14.2,Matches,ESP-LALIGA,23-24
f6798fc3,4,Yassine Bounou,MAR,GK,Sevilla,32,1991,1.0,2,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,9,0,0.0,0,0.0,,Matches,ESP-LALIGA,23-24
10072610,5,Claudio Bravo,CHI,GK,Betis,40,1983,7.0,5,0,0,0,1,5.5,0.27,1.5,0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4.0,6,0.86,12.6,Matches,ESP-LALIGA,23-24
e1846dde,6,Cárdenas,ESP,GK,Rayo Vallecano,26,1997,1.0,1,0,0,0,0,0.9,0.93,-0.1,-0.07,2,15,13.3,36,5,36.1,36.3,4,50.0,53.5,5,0,0.0,2,2.0,17.0,Matches,ESP-LALIGA,23-24
1840e36d,7,Thibaut Courtois,BEL,GK,Real Madrid,31,1992,3.7,0,0,0,0,0,3.1,0.22,3.1,0.85,10,19,52.6,105,25,16.2,26.7,18,11.1,27.8,47,2,4.3,5,1.36,15.3,Matches,ESP-LALIGA,23-24
9ad74b4d,8,Cristian,ESP,GK,Valencia,25,1998,0.6,1,0,0,1,0,0.5,0.17,-0.5,-0.75,2,5,40.0,15,4,26.7,29.1,3,33.3,32.7,12,0,0.0,0,0.0,8.3,Matches,ESP-LALIGA,23-24
75751c99,9,Iván Cuéllar,ESP,GK,Mallorca,39,1984,1.0,1,0,0,0,0,1.2,0.19,0.2,0.17,1,11,9.1,32,8,31.3,33.0,3,33.3,35.7,6,1,16.7,0,0.0,7.0,Matches,ESP-LALIGA,23-24
fc70e345,10,Stole Dimitrievski,MKD,GK,Rayo Vallecano,29,1993,37.0,47,1,1,5,2,46.9,0.31,1.9,0.05,168,598,28.1,928,171,47.1,39.4,267,60.3,48.4,529,23,4.3,38,1.03,14.6,Matches,ESP-LALIGA,23-24
ac295d9e,11,Marko Dmitrović,SRB,GK,Sevilla,31,1992,13.0,25,2,0,3,1,22.6,0.3,-1.4,-0.11,52,148,35.1,314,70,32.5,32.7,79,58.2,45.9,152,11,7.2,15,1.15,15.4,Matches,ESP-LALIGA,23-24
c9cb972b,12,Jaume Doménech,ESP,GK,Valencia,32,1990,0.9,3,0,1,2,0,1.7,0.14,-1.3,-1.52,4,20,20.0,24,2,62.5,40.5,7,71.4,51.4,19,1,5.3,1,1.14,11.4,Matches,ESP-LALIGA,23-24
67669ce7,13,Aarón Escandell,ESP,GK,Las Palmas,27,1995,1.7,3,0,0,0,0,2.5,0.62,-0.5,-0.3,9,26,34.6,73,10,27.4,30.4,12,50.0,41.3,24,1,4.2,4,2.35,18.0,Matches,ESP-LALIGA,23-24
a01c3d54,14,Aitor Fernández,ESP,GK,Osasuna,32,1991,6.1,9,1,0,2,0,6.1,0.26,-2.9,-0.47,47,113,41.6,174,19,56.3,42.5,22,68.2,49.7,69,1,1.4,15,2.45,24.8,Matches,ESP-LALIGA,23-24
6fb59070,15,Raúl Fernández,ESP,GK,Granada,35,1988,3.1,11,0,0,1,1,7.8,0.46,-2.2,-0.71,14,47,29.8,88,10,37.5,35.7,17,82.4,62.1,36,4,11.1,11,3.54,17.3,Matches,ESP-LALIGA,23-24
dabb2827,16,Fernando,ESP,GK,Almería,33,1990,4.0,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44.0,72,4,5.6,7,1.75,14.5,Matches,ESP-LALIGA,23-24
12c6cbef,17,André Ferreira,POR,GK,Granada,27,1996,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6,Matches,ESP-LALIGA,23-24
82328faf,18,Daniel Fuzato,BRA,GK,Getafe,26,1997,0.1,2,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50.0,39.2,4,100.0,71.8,5,1,20.0,0,0.0,10.7,Matches,ESP-LALIGA,23-24
63d17038,19,Paulo Gazzaniga,ARG,GK,Girona,31,1992,38.0,46,5,0,8,0,51.1,0.28,5.1,0.13,155,420,36.9,1140,178,25.6,30.0,246,52.0,44.8,534,41,7.7,33,0.87,13.2,Matches,ESP-LALIGA,23-24
fea23125,20,David Gil,ESP,GK,Cádiz,29,1994,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.4,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,91,7,7.7,0,0.0,7.0,Matches,ESP-LALIGA,23-24
30061f53,21,Dominik Greif,SVK,GK,Mallorca,26,1997,1.0,0,0,0,0,0,0.7,0.16,0.7,0.66,10,18,55.6,23,3,52.2,42.0,9,66.7,54.2,12,0,0.0,1,1.0,23.0,Matches,ESP-LALIGA,23-24
ab13a5aa,22,Vicente Guaita,ESP,GK,Celta Vigo,36,1987,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3,Matches,ESP-LALIGA,23-24
a4995f48,23,Sergio Herrera,ESP,GK,Osasuna,30,1993,31.9,47,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52.0,40.4,222,71.2,51.2,468,29,6.2,43,1.35,16.4,Matches,ESP-LALIGA,23-24
0107757e,24,Filip Jørgensen,DEN,GK,Villarreal,21,2002,36.0,63,6,1,9,1,59.8,0.27,-2.2,-0.06,144,360,40.0,1055,178,24.5,29.7,245,41.6,37.8,650,34,5.2,36,1.0,13.4,Matches,ESP-LALIGA,23-24
6c4776b1,25,Jeremías Ledesma,ARG,GK,Cádiz,30,1993,33.9,47,2,0,6,0,46.4,0.3,-0.6,-0.02,313,785,39.9,897,115,60.4,44.0,284,85.6,62.1,526,53,10.1,45,1.33,12.9,Matches,ESP-LALIGA,23-24
3061e1ec,26,Andriy Lunin,UKR,GK,Real Madrid,24,1999,21.0,17,1,0,2,0,21.2,0.31,4.2,0.2,35,99,35.4,548,95,13.7,25.2,116,20.7,28.7,283,27,9.5,23,1.1,12.2,Matches,ESP-LALIGA,23-24
d4b73232,27,Giorgi Mamardashvili,GEO,GK,Valencia,22,2000,36.5,41,3,0,4,2,49.2,0.31,10.2,0.28,185,671,27.6,864,142,57.3,41.4,245,71.8,53.4,530,45,8.5,31,0.85,12.3,Matches,ESP-LALIGA,23-24
d9235a45,28,Diego Mariño,ESP,GK,Almería,33,1990,1.0,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20.0,25,6,20.0,24.1,2,0.0,16.5,6,0,0.0,2,2.0,22.7,Matches,ESP-LALIGA,23-24
f0fe87dc,29,Unai Marrero,ESP,GK,Real Sociedad,21,2001,1.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40.0,37,5,45.9,37.0,8,100.0,63.4,27,1,3.7,4,2.54,20.1,Matches,ESP-LALIGA,23-24
3496ff67,30,Marc Martínez,ESP,GK,Granada,33,1990,3.0,11,2,0,3,0,12.1,0.46,1.1,0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,30,0,0.0,10,3.33,23.0,Matches,ESP-LALIGA,23-24
3318286e,31,Luís Maximiano,POR,GK,Almería,24,1999,33.0,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61.0,46.3,551,25,4.5,38,1.15,14.5,Matches,ESP-LALIGA,23-24
bdedffac,32,Ørjan Nyland,NOR,GK,Sevilla,32,1990,24.0,27,3,1,1,1,29.8,0.26,3.8,0.16,166,449,37.0,583,108,49.9,39.4,201,78.6,56.4,359,20,5.6,17,0.71,13.5,Matches,ESP-LALIGA,23-24
ee8508c0,33,Jan Oblak,SVN,GK,Atlético Madrid,30,1993,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,740,180,27.6,31.5,283,46.6,38.7,579,36,6.2,22,0.58,11.8,Matches,ESP-LALIGA,23-24
