id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,league,season
4dcec659,1,Simon Adingra,CIV,FW,Brighton,22-242,2002,0.5,39,0,2,15,23,6,39,2,0,0.0,2,100.0,23,213,91,2,2,2,3,2,29,10,Matches,ENG-EPL,24-25
246d153b,2,Ola Aina,NGA,DF,Nott'ham Forest,27-327,1996,1.6,110,6,32,56,25,1,110,4,1,25.0,2,50.0,49,317,191,5,6,2,0,0,59,3,Matches,ENG-EPL,24-25
9b398aea,3,Rayan Aït-Nouri,ALG,DF,Wolves,23-085,2001,1.7,83,3,19,43,22,2,83,2,0,0.0,2,100.0,46,207,67,1,4,0,3,1,50,3,Matches,ENG-EPL,24-25
a8c0acb7,4,Kristoffer Ajer,NOR,DF,Brentford,26-135,1998,2.0,95,7,37,46,15,2,95,2,1,50.0,1,50.0,54,403,260,3,4,0,5,1,57,3,Matches,ENG-EPL,24-25
89ac64a6,5,Manuel Akanji,SUI,DF,Manchester City,29-042,1995,2.0,214,14,63,101,50,1,214,0,0,,0,,105,469,240,2,3,0,2,0,172,1,Matches,ENG-EPL,24-25
4abac767,6,Carlos Alcaraz,ARG,MF,Southampton,21-274,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches,ENG-EPL,24-25
cd1acf9d,7,Trent Alexander-Arnold,ENG,DF,Liverpool,25-328,1998,1.6,129,3,36,49,44,5,129,3,2,66.7,0,0.0,73,407,253,5,3,1,2,0,86,7,Matches,ENG-EPL,24-25
7a2e46a8,8,Alisson,BRA,GK,Liverpool,31-333,1992,2.0,90,67,88,2,0,0,90,0,0,,0,,66,198,111,0,0,0,0,0,72,0,Matches,ENG-EPL,24-25
862a1c15,9,Miguel Almirón,PAR,FW,Newcastle Utd,30-202,1994,0.0,4,0,0,2,2,0,4,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,ENG-EPL,24-25
8b3ab7ad,10,Edson Álvarez,MEX,MF,West Ham,26-311,1997,0.1,12,1,8,4,1,0,12,1,0,0.0,1,100.0,3,6,0,0,0,0,0,0,5,1,Matches,ENG-EPL,24-25
9eedf0e0,11,Samuel Amo-Ameyaw,ENG,DF,Southampton,18-043,2006,0.1,6,0,0,0,6,1,6,0,0,,0,,6,50,25,0,0,1,0,2,6,2,Matches,ENG-EPL,24-25
e34fc66d,12,Joachim Andersen,DEN,DF,Crystal Palace,28-091,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches,ENG-EPL,24-25
de31038e,13,Elliot Anderson,SCO,"MF,FW",Nott'ham Forest,21-298,2002,1.0,71,5,14,30,29,7,71,1,0,0.0,1,100.0,36,177,73,4,1,2,3,2,40,5,Matches,ENG-EPL,24-25
ac05f970,14,Michail Antonio,JAM,FW,West Ham,34-155,1990,1.5,38,0,2,18,18,5,38,0,0,,0,,22,136,62,3,1,0,8,3,28,7,Matches,ENG-EPL,24-25
99127249,15,Antony,BRA,FW,Manchester Utd,24-188,2000,0.0,3,0,1,1,1,1,3,0,0,,0,,1,2,0,0,0,0,0,0,2,0,Matches,ENG-EPL,24-25
8f4541c2,16,Julian Araujo,MEX,DF,Bournemouth,23-017,2001,1.3,66,5,16,42,9,0,66,0,0,,0,,23,62,35,0,0,0,0,0,26,4,Matches,ENG-EPL,24-25
05e8ca6d,17,Cameron Archer,ENG,FW,Southampton,23-040,2001,0.4,14,0,1,5,8,3,14,0,0,,0,,8,24,8,1,0,1,2,0,10,4,Matches,ENG-EPL,24-25
2f965a72,18,Alphonse Areola,FRA,GK,West Ham,31-185,1993,2.0,81,68,80,1,0,0,81,0,0,,0,,44,178,73,0,0,0,0,0,35,0,Matches,ENG-EPL,24-25
328f7d51,19,Joe Aribo,NGA,MF,Southampton,28-040,1996,1.6,83,7,17,33,34,6,83,2,1,50.0,1,50.0,49,314,191,6,4,3,0,3,59,8,Matches,ENG-EPL,24-25
68c720b5,20,Adam Armstrong,ENG,FW,Southampton,27-202,1997,1.8,70,2,3,26,41,9,70,4,0,0.0,4,100.0,47,239,100,5,1,2,2,2,53,11,Matches,ENG-EPL,24-25
de59e609,21,Harrison Armstrong,ENG,MF,Everton,17-224,2007,0.0,4,0,0,2,2,1,4,0,0,,0,,3,9,0,0,0,0,0,0,4,0,Matches,ENG-EPL,24-25
e5478b87,22,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27-018,1997,0.4,15,1,2,5,9,3,15,1,1,100.0,0,0.0,9,63,52,1,1,0,2,0,11,1,Matches,ENG-EPL,24-25
f173303a,23,Yasin Ayari,SWE,"FW,MF",Brighton,20-329,2003,0.0,10,1,1,7,2,1,10,1,0,0.0,1,100.0,6,17,6,0,0,0,1,1,7,2,Matches,ENG-EPL,24-25
da052c14,24,Jordan Ayew,GHA,"FW,MF",Crystal Palace,32-354,1991,0.2,12,0,0,7,5,1,12,0,0,,0,,6,25,12,0,0,0,0,1,9,1,Matches,ENG-EPL,24-25
da052c14,25,Jordan Ayew,GHA,FW,Leicester City,32-354,1991,0.3,11,0,2,4,5,0,11,1,1,100.0,0,0.0,9,34,2,0,0,0,0,0,9,1,Matches,ENG-EPL,24-25
3a233281,26,Leon Bailey,JAM,"MF,FW",Aston Villa,27-021,1997,1.8,66,3,10,17,40,4,66,4,3,75.0,1,25.0,40,312,183,6,1,2,3,3,46,8,Matches,ENG-EPL,24-25
a1390d2f,27,Carlos Baleba,CMR,MF,Brighton,20-240,2004,0.2,9,0,1,6,2,0,9,1,1,100.0,0,0.0,5,20,18,1,0,0,0,0,6,0,Matches,ENG-EPL,24-25
3a24769f,28,Ross Barkley,ENG,MF,Aston Villa,30-269,1993,0.2,14,0,1,7,6,0,14,0,0,,0,,6,23,14,0,0,0,0,0,11,0,Matches,ENG-EPL,24-25
3ea50f67,29,Harvey Barnes,ENG,FW,Newcastle Utd,26-265,1997,0.6,22,0,2,6,14,4,22,2,0,0.0,1,50.0,15,111,48,3,3,2,3,0,16,9,Matches,ENG-EPL,24-25
