Competition Name,Gender,Governing Body,First Season,Last Season,Tier,url,Country
Uruguayan Primera División,M,,2014-2015,2024,,/en/comps/45/history/Uruguayan-Primera-Division-Seasons,URU
Major League Soccer,M,,1996,2024,,/en/comps/22/history/Major-League-Soccer-Seasons,USA
National Women's Soccer League,F,,2013,2024,,/en/comps/182/history/NWSL-Seasons,USA
Venezuelan Primera División,M,,2014-2015,2024,,/en/comps/105/history/Venezuelan-Primera-Division-Seasons,VEN
Challenger Pro League,M,,2014-2015,2024-2025,,/en/comps/69/history/Challenger-Pro-League-Seasons,BEL
Campeonato Brasileiro Série B,M,,2014,2024,,/en/comps/38/history/Serie-B-Seasons,BRA
EFL Championship,M,,2001-2002,2024-2025,,/en/comps/10/history/Championship-Seasons,ENG
Spanish Segunda División,M,,2001-2002,2024-2025,,/en/comps/17/history/Segunda-Division-Seasons,ESP
Ligue 2,M,,2009-2010,2024-2025,,/en/comps/60/history/Ligue-2-Seasons,FRA
2. Fußball-Bundesliga,M,,2003-2004,2024-2025,,/en/comps/33/history/2-Bundesliga-Seasons,GER
I-League,M,,2013-2014,2023-2024,,/en/comps/378/history/I-League-Seasons,IND
Serie B,M,,2001-2002,2024-2025,,/en/comps/18/history/Serie-B-Seasons,ITA
J2 League,M,,2014,2024,,/en/comps/49/history/J2-League-Seasons,JPN
Eerste Divisie,M,,2007-2008,2024-2025,,/en/comps/51/history/Eerste-Divisie-Seasons,NED
Scottish Championship,M,,2007-2008,2024-2025,,/en/comps/72/history/Scottish-Championship-Seasons,SCO
Superettan,M,,2006,2024,,/en/comps/48/history/Superettan-Seasons,SWE
North American Soccer League,M,,2011,2017,,/en/comps/76/history/NASL-Seasons,USA
USL Championship,M,,2011,2024,,/en/comps/73/history/USL-Championship-Seasons,USA
USL First Division,M,,2004,2009,,/en/comps/68/history/USL-D-1-Seasons,USA
USSF Division 2 Professional League,M,,2010,2010,,/en/comps/79/history/D2-Pro-League-Seasons,USA
EFL League One,M,,2002-2003,2024-2025,3rd,/en/comps/15/history/League-One-Seasons,ENG
EFL League Two,M,,2002-2003,2024-2025,4th,/en/comps/16/history/League-Two-Seasons,ENG
National League,M,,2006-2007,2024-2025,5th,/en/comps/34/history/National-League-Seasons,ENG
3. Fußball-Liga,M,,2009-2010,2024-2025,3rd,/en/comps/59/history/3-Liga-Seasons,GER
USL League One,M,,2020,2024,3rd,/en/comps/137/history/USL-League-One-Seasons,USA
FIFA World Cup Qualification — Inter-confederation play-offs,M,FIFA,2022,2022,1st,/en/comps/255/history/FIFA-World-Cup-Qualification----Inter-confederation-play-offs-Seasons,
Africa Cup of Nations qualification,M,CAF,2015,2025,,/en/comps/657/history/Africa-Cup-of-Nations-qualification-Seasons,
FIFA World Cup Qualification — CAF,M,CAF,2002,2026,,/en/comps/2/history/WCQ----CAF-M-Seasons,
FIFA World Cup Qualification — CONCACAF,M,CONCACAF,1998,2026,,/en/comps/3/history/WCQ----CONCACAF-M-Seasons,
FIFA World Cup Qualification — CONMEBOL,M,CONMEBOL,2002,2026,,/en/comps/4/history/WCQ----CONMEBOL-M-Seasons,
FIFA World Cup Qualification — OFC,M,OFC,2014,2026,,/en/comps/5/history/WCQ----OFC-M-Seasons,
FIFA World Cup Qualification — UEFA,M,UEFA,1998,2022,,/en/comps/6/history/WCQ----UEFA-M-Seasons,
UEFA European Football Championship Qualifying,M,UEFA,2008,2024,,/en/comps/678/history/UEFA-Euro-Qualifying-Seasons,
FIFA Women's World Cup Qualification (UEFA),F,UEFA,2019,2023,,/en/comps/160/history/WCQ----UEFA-W-Seasons,
UEFA Women's Euro Qualification,F,UEFA,2017,2025,,/en/comps/675/history/UEFA-Womens-Euro-Qualification-Seasons,
AFC Asian Cup qualification,M,AFC,2000,2023,,/en/comps/665/history/Asian-Cup-qualification-Seasons,
FIFA World Cup Qualification — AFC,M,AFC,2002,2026,,/en/comps/7/history/WCQ----AFC-M-Seasons,
AFC Women's Asian Cup Qualification,F,AFC,2018,2022,,/en/comps/662/history/AFC-Womens-Asian-Cup-Qualification-Seasons,
Copa de la Liga Profesional,M,,2020,2024,,/en/comps/905/history/Copa-de-la-Liga-Profesional-Seasons,ARG
EFL Cup,M,,2014-2015,2024-2025,,/en/comps/690/history/EFL-Cup-Seasons,ENG
FA Community Shield,M,,2015,2024,,/en/comps/602/history/FA-Community-Shield-Seasons,ENG
FA Cup,M,,2014-2015,2024-2025,,/en/comps/514/history/FA-Cup-Seasons,ENG
Copa del Rey,M,,2014-2015,2023-2024,,/en/comps/569/history/Copa-del-Rey-Seasons,ESP
Supercopa de España,M,,2015,2024,,/en/comps/646/history/Supercopa-de-Espana-Seasons,ESP
Coupe de France,M,,2014-2015,2023-2024,,/en/comps/518/history/Coupe-de-France-Seasons,FRA
Trophée des Champions,M,,2014,2024,,/en/comps/604/history/Trophee-des-Champions-Seasons,FRA
Coupe de la Ligue,M,,2014-2015,2019-2020,1st,/en/comps/693/history/Coupe-de-la-Ligue-Seasons,FRA
DFB-Pokal,M,,2014-2015,2024-2025,,/en/comps/521/history/DFB-Pokal-Seasons,GER
DFL-Supercup,M,,2014,2024,,/en/comps/606/history/DFL-Supercup-Seasons,GER
DFB-Pokal Frauen,F,,2019-2020,2024-2025,,/en/comps/520/history/DFB-Pokal-Frauen-Seasons,GER
Coppa Italia,M,,2014-2015,2024-2025,,/en/comps/529/history/Coppa-Italia-Seasons,ITA
Supercoppa Italiana,M,,2014,2024,,/en/comps/612/history/Supercoppa-Italiana-Seasons,ITA
NWSL Challenge Cup,F,,2020,2024,,/en/comps/881/history/NWSL-Challenge-Cup-Seasons,USA
NWSL Fall Series,F,,2020,2020,,/en/comps/884/history/NWSL-Fall-Series-Seasons,USA
Premier League 2,M,,2016-2017,2024-2025,1st,/en/comps/852/history/Premier-League-2-Seasons,ENG
Premier League 2 — Division 2,M,,2016-2017,2022-2023,2nd,/en/comps/853/history/Premier-League-2----Division-2-Seasons,ENG
U17 DFB Youth League,M,,2016-2017,2024-2025,1st,/en/comps/851/history/U17-DFB-Youth-League-Seasons,GER
U19 DFB Youth League,M,,2015-2016,2024-2025,1st,/en/comps/850/history/U19-DFB-Youth-League-Seasons,GER
