id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,league,season
2f798b41,1,Aymen Abdennour,TUN,DF,Marseille,27,1989,5.5,3,0,0,9,6,0,0,4,3,0,0,0,32,7,7,50.0,Matches,FRA-L1,17-18
a4c3f7af,2,Mehdi Abeid,ALG,MF,Dijon,24,1992,13.1,2,0,0,29,16,2,6,18,15,0,0,0,93,13,16,44.8,Matches,FRA-L1,17-18
16714a62,3,Khaled Adénon,BEN,DF,Amiens,32,1985,32.5,9,0,0,50,39,1,0,65,24,0,1,0,195,64,46,58.2,Matches,FRA-L1,17-18
26777636,4,Yacine Adli,FRA,FW,Paris S-G,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,FRA-L1,17-18
3dd738a1,5,Ruben Aguilar,FRA,DF,Montpellier,24,1993,27.3,2,0,0,29,49,3,95,37,50,0,0,0,174,28,35,44.4,Matches,FRA-L1,17-18
48b28bfd,6,Jean-Eudes Aholou,CIV,MF,Strasbourg,23,1994,33.4,4,0,0,46,49,1,5,75,34,0,0,0,261,48,47,50.5,Matches,FRA-L1,17-18
c46fa34c,7,Youssef Aït Bennasser,MAR,MF,Caen,21,1996,22.7,4,0,0,20,26,0,11,32,28,0,0,0,207,23,32,41.8,Matches,FRA-L1,17-18
9b8970ce,8,David Alcibiade,FRA,DF,Nantes,25,1991,2.3,0,0,0,2,2,1,5,7,5,0,0,0,10,5,1,83.3,Matches,FRA-L1,17-18
b18a3023,9,Júnior Alonso,PAR,DF,Lille,24,1993,30.9,3,0,0,34,9,0,7,56,31,0,0,1,219,91,43,67.9,Matches,FRA-L1,17-18
c9e99e49,10,Dani Alves,BRA,DF,Paris S-G,34,1983,22.9,7,1,0,38,34,4,99,28,57,0,0,0,160,16,19,45.7,Matches,FRA-L1,17-18
9260926b,11,Ibrahim Amadou,FRA,"MF,DF",Lille,24,1993,26.7,3,1,0,23,17,0,4,41,29,0,1,0,177,33,27,55.0,Matches,FRA-L1,17-18
