Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Bundesliga,1,Fri,2017-08-18,20:30,Bayern Munich,2.6,3–1,1.6,Leverkusen,75000,Allianz Arena,Tobias Stieler,/en/matches/b13970b2/Bayern-Munich-Bayer-Leverkusen-August-18-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,1,Sat,2017-08-19,15:30,Hertha BSC,0.5,2–0,1.0,Stuttgart,44751,Olympiastadion Berlin,Sascha Stegemann,/en/matches/0339770e/Hertha-BSC-Stuttgart-August-19-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,1,Sat,2017-08-19,15:30,Mainz 05,0.7,0–1,0.7,Hannover 96,28279,Opel Arena,Felix Brych,/en/matches/09cec3e9/Mainz-05-Hannover-96-August-19-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,1,Sat,2017-08-19,15:30,Wolfsburg,0.4,0–3,1.0,Dortmund,30000,Volkswagen Arena,Robert Hartmann,/en/matches/10673af1/Wolfsburg-Dortmund-August-19-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,1,Sat,2017-08-19,15:30,Hoffenheim,1.0,1–0,0.9,Werder Bremen,30150,Dietmar-Hopp-Stadion,Guido Winkmann,/en/matches/7fa19f7c/Hoffenheim-Werder-Bremen-August-19-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,1,Sat,2017-08-19,15:30,Hamburger SV,0.5,1–0,0.8,Augsburg,49449,Volksparkstadion,Daniel Siebert,/en/matches/f65cd7dc/Hamburger-SV-Augsburg-August-19-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,1,Sat,2017-08-19,18:30,Schalke 04,1.8,2–0,1.0,RB Leipzig,61435,Veltins-Arena,Felix Zwayer,/en/matches/c516f9b3/Schalke-04-RB-Leipzig-August-19-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,1,Sun,2017-08-20,15:30,Freiburg,0.4,0–0,1.3,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe,/en/matches/a3858878/Freiburg-Eintracht-Frankfurt-August-20-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,1,Sun,2017-08-20,18:00,Gladbach,1.5,1–0,1.1,Köln,54018,Stadion im Borussia-Park,Deniz Aytekin,/en/matches/4fbf64fe/Monchengladbach-Koln-August-20-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,2,Fri,2017-08-25,20:30,Köln,2.1,1–3,1.5,Hamburger SV,50000,RheinEnergieSTADION,Felix Brych,/en/matches/4fc1a614/Koln-Hamburger-SV-August-25-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,2,Sat,2017-08-26,15:30,Eint Frankfurt,1.0,0–1,1.0,Wolfsburg,46000,Commerzbank-Arena,Benjamin Cortus,/en/matches/3bf149af/Eintracht-Frankfurt-Wolfsburg-August-26-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,2,Sat,2017-08-26,15:30,Augsburg,2.7,2–2,1.3,Gladbach,29243,WWK Arena,Sascha Stegemann,/en/matches/3d33cbcd/Augsburg-Monchengladbach-August-26-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,2,Sat,2017-08-26,15:30,Stuttgart,1.9,1–0,0.9,Mainz 05,53100,Mercedes-Benz Arena,Benjamin Brand,/en/matches/400d3616/Stuttgart-Mainz-05-August-26-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,2,Sat,2017-08-26,15:30,Leverkusen,2.2,2–2,0.9,Hoffenheim,27106,BayArena,Harm Osmers,/en/matches/9992229f/Bayer-Leverkusen-Hoffenheim-August-26-2017-Bundesliga,,GER-BL1,17-18
Bundesliga,2,Sat,2017-08-26,15:30,Werder Bremen,0.3,0–2,1.5,Bayern Munich,42100,Weserstadion,Bastian Dankert,/en/matches/9b3e6ab4/Werder-Bremen-Bayern-Munich-August-26-2017-Bundesliga,,GER-BL1,17-18
