id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,league,season
8637e09a,1,Vincent Aboubakar,CMR,FW,Porto,26,1992,0.7,5,11,45.5,39,10,4,8,50.0,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1,Matches,UCL,18-19
f9c927de,2,Michel Aebischer,SUI,MF,Young Boys,21,1997,2.5,110,129,85.3,1861,616,53,56,94.6,42,46,91.3,12,18,66.7,0,0.0,0.0,0.0,1,14,0,0,18,Matches,UCL,18-19
4d034881,3,Sergio Agüero,ARG,FW,Manchester City,30,1988,5.6,144,168,85.7,1615,258,101,111,91.0,27,33,81.8,3,3,100.0,1,0.3,1.0,0.7,5,5,10,0,12,Matches,UCL,18-19
48b28bfd,4,Jean-Eudes Aholou,CIV,"MF,FW",Monaco,24,1994,2.0,60,70,85.7,1008,306,26,34,76.5,21,22,95.5,8,9,88.9,0,0.1,0.1,-0.1,2,5,2,0,11,Matches,UCL,18-19
c46fa34c,5,Youssef Aït Bennasser,MAR,MF,Monaco,22,1996,2.7,170,201,84.6,3249,867,62,76,81.6,85,89,95.5,21,29,72.4,0,0.0,0.1,0.0,1,14,0,0,17,Matches,UCL,18-19
89ac64a6,6,Manuel Akanji,SUI,DF,Dortmund,23,1995,5.0,538,567,94.9,10760,3179,172,180,95.6,288,293,98.3,73,87,83.9,0,0.0,0.4,0.0,1,45,2,1,35,Matches,UCL,18-19
7230b807,7,Emre Akbaba,TUR,FW,Galatasaray,25,1992,1.0,19,33,57.6,294,61,6,8,75.0,9,14,64.3,1,5,20.0,1,0.1,0.1,0.9,2,0,0,0,1,Matches,UCL,18-19
1453e3cf,8,Yunus Akgün,TUR,MF,Galatasaray,18,2000,0.1,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,UCL,18-19
e0d3e18d,9,Ilzat Akhmetov,RUS,MF,CSKA Moscow,20,1997,3.3,151,187,80.7,2338,670,77,88,87.5,47,52,90.4,14,19,73.7,1,0.2,0.1,0.8,4,10,3,0,18,Matches,UCL,18-19
42ec696a,10,Igor Akinfeev,RUS,GK,CSKA Moscow,32,1986,5.0,86,178,48.3,3674,3191,1,1,100.0,23,23,100.0,62,154,40.3,0,0.0,0.0,0.0,0,8,0,0,0,Matches,UCL,18-19
