Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-12,15:00:00,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,2.7,58,39940,Tom Cairney,4-3-3,4-4-1-1,Stuart Attwell,/en/matches/15addfc7/Everton-Fulham-August-12-2023-Premier-League,,23-24,Fulham,fd962109
2023-08-19,15:00:00,Premier League,Matchweek 2,Sat,Home,L,0,3,Brentford,0.5,3.7,55,24236,Tim Ream,4-3-3,4-3-3,Darren Bond,/en/matches/46be83af/Fulham-Brentford-August-19-2023-Premier-League,,23-24,Fulham,fd962109
2023-08-26,15:00:00,Premier League,Matchweek 3,Sat,Away,D,2,2,Arsenal,0.6,3.2,29,59961,Bobby Reid,4-3-3,4-3-3,Paul Tierney,/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,,23-24,Fulham,fd962109
2023-08-29,19:45:00,EFL Cup,Second round,Tue,Home,D,1 (5),1 (3),Tottenham,,,40,21043,Tom Cairney,4-2-3-1,4-4-1-1,Joshua Smith,/en/matches/2ec5a2ca/Fulham-Tottenham-Hotspur-August-29-2023-EFL-Cup,Fulham won on penalty kicks following extra time,23-24,Fulham,fd962109
2023-09-02,15:00:00,Premier League,Matchweek 4,Sat,Away,L,1,5,Manchester City,1.4,2.2,32,52899,Tom Cairney,4-3-3,4-2-3-1,Michael Oliver,/en/matches/88066bdf/Manchester-City-Fulham-September-2-2023-Premier-League,,23-24,Fulham,fd962109
2023-09-16,15:00:00,Premier League,Matchweek 5,Sat,Home,W,1,0,Luton Town,1.0,1.1,77,24467,Tim Ream,4-3-3,5-3-2,Michael Salisbury,/en/matches/48b1bdc7/Fulham-Luton-Town-September-16-2023-Premier-League,,23-24,Fulham,fd962109
2023-09-23,15:00:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Crystal Palace,0.6,0.3,49,25072,Tim Ream,4-3-3,4-2-3-1,Paul Tierney,/en/matches/cf0b2b19/Crystal-Palace-Fulham-September-23-2023-Premier-League,,23-24,Fulham,fd962109
2023-09-27,19:45:00,EFL Cup,Third round,Wed,Home,W,2,1,Norwich City,,,69,12831,Tom Cairney,4-3-3,4-2-3-1,Craig Pawson,/en/matches/a83ae0f3/Fulham-Norwich-City-September-27-2023-EFL-Cup,,23-24,Fulham,fd962109
2023-10-02,20:00:00,Premier League,Matchweek 7,Mon,Home,L,0,2,Chelsea,1.1,1.7,56,24445,Tim Ream,4-3-3,4-3-3,Tim Robinson,/en/matches/c9787e60/Fulham-Chelsea-October-2-2023-Premier-League,,23-24,Fulham,fd962109
2023-10-07,15:00:00,Premier League,Matchweek 8,Sat,Home,W,3,1,Sheffield Utd,2.2,0.6,60,24361,Tim Ream,4-3-3,3-5-2,Samuel Barrott,/en/matches/ffc59ea8/Fulham-Sheffield-United-October-7-2023-Premier-League,,23-24,Fulham,fd962109
2023-10-23,20:00:00,Premier League,Matchweek 9,Mon,Away,L,0,2,Tottenham,1.0,1.5,45,61286,Tim Ream,4-2-3-1,4-2-3-1,Anthony Taylor,/en/matches/8c6293a3/Tottenham-Hotspur-Fulham-October-23-2023-Premier-League,,23-24,Fulham,fd962109
2023-10-29,14:00:00,Premier League,Matchweek 10,Sun,Away,D,1,1,Brighton,0.7,1.4,29,31550,Tim Ream,4-2-3-1,3-4-3,Michael Salisbury,/en/matches/a0c422e9/Brighton-and-Hove-Albion-Fulham-October-29-2023-Premier-League,,23-24,Fulham,fd962109
2023-11-01,19:45:00,EFL Cup,Fourth round,Wed,Away,W,3,1,Ipswich Town,,,58,28221,Tom Cairney,4-2-3-1,4-2-3-1,Lewis Smith,/en/matches/f5d39bb6/Ipswich-Town-Fulham-November-1-2023-EFL-Cup,,23-24,Fulham,fd962109
2023-11-04,12:30:00,Premier League,Matchweek 11,Sat,Home,L,0,1,Manchester Utd,1.0,0.7,45,24415,Tim Ream,4-2-3-1,4-2-3-1,John Brooks,/en/matches/31273be0/Fulham-Manchester-United-November-4-2023-Premier-League,,23-24,Fulham,fd962109
2023-11-12,14:00:00,Premier League,Matchweek 12,Sun,Away,L,1,3,Aston Villa,0.9,3.0,49,41608,Tim Ream,4-2-3-1,4-2-2-2,Simon Hooper,/en/matches/d6a70a44/Aston-Villa-Fulham-November-12-2023-Premier-League,,23-24,Fulham,fd962109
2023-11-27,20:00:00,Premier League,Matchweek 13,Mon,Home,W,3,2,Wolves,2.9,1.4,60,24366,Tom Cairney,4-2-3-1,3-5-2,Michael Salisbury,/en/matches/b19cc422/Fulham-Wolverhampton-Wanderers-November-27-2023-Premier-League,,23-24,Fulham,fd962109
2023-12-03,14:00:00,Premier League,Matchweek 14,Sun,Away,L,3,4,Liverpool,1.2,2.1,39,50124,Tim Ream,4-2-3-1,4-3-3,Stuart Attwell,/en/matches/4b7e6f44/Liverpool-Fulham-December-3-2023-Premier-League,,23-24,Fulham,fd962109
2023-12-06,19:30:00,Premier League,Matchweek 15,Wed,Home,W,5,0,Nott'ham Forest,2.5,0.3,63,24105,Tom Cairney,4-2-3-1,4-2-3-1,Joshua Smith,/en/matches/fd5606da/Fulham-Nottingham-Forest-December-6-2023-Premier-League,,23-24,Fulham,fd962109
2023-12-10,14:00:00,Premier League,Matchweek 16,Sun,Home,W,5,0,West Ham,2.3,1.3,63,23988,Tom Cairney,4-2-3-1,4-4-1-1,Paul Tierney,/en/matches/d3dd23fb/Fulham-West-Ham-United-December-10-2023-Premier-League,,23-24,Fulham,fd962109
2023-12-16,15:00:00,Premier League,Matchweek 17,Sat,Away,L,0,3,Newcastle Utd,0.3,3.5,30,52055,Tom Cairney,4-2-3-1,4-3-3,Samuel Barrott,/en/matches/5db0f25b/Newcastle-United-Fulham-December-16-2023-Premier-League,,23-24,Fulham,fd962109
2023-12-19,19:45:00,EFL Cup,Quarter-finals,Tue,Away,D,1 (7),1 (6),Everton,,,50,38715,Harrison Reed,4-2-3-1,4-2-3-1,Graham Scott,/en/matches/e46dd7ae/Everton-Fulham-December-19-2023-EFL-Cup,Fulham won on penalty kicks following extra time,23-24,Fulham,fd962109
2023-12-23,15:00:00,Premier League,Matchweek 18,Sat,Home,L,0,2,Burnley,1.3,0.4,66,23598,Tom Cairney,4-2-3-1,4-4-2,Rebecca Welch,/en/matches/7dd3c51a/Fulham-Burnley-December-23-2023-Premier-League,,23-24,Fulham,fd962109
2023-12-26,15:00:00,Premier League,Matchweek 19,Tue,Away,L,0,3,Bournemouth,0.3,1.8,57,11099,Tom Cairney,4-2-3-1,4-2-3-1,Tim Robinson,/en/matches/331c942d/Bournemouth-Fulham-December-26-2023-Premier-League,,23-24,Fulham,fd962109
2023-12-31,14:00:00,Premier League,Matchweek 20,Sun,Home,W,2,1,Arsenal,1.2,1.6,40,24444,Tom Cairney,4-2-3-1,4-3-3,Joshua Smith,/en/matches/6c1b6ffc/Fulham-Arsenal-December-31-2023-Premier-League,,23-24,Fulham,fd962109
2024-01-05,19:30:00,FA Cup,Third round proper,Fri,Home,W,1,0,Rotherham Utd,,,66,15083,Harrison Reed,4-2-3-1,5-3-2,Simon Hooper,/en/matches/30055eaa/Fulham-Rotherham-United-January-5-2024-FA-Cup,,23-24,Fulham,fd962109
2024-01-10,20:00:00,EFL Cup,Semi-finals,Wed,Away,L,1,2,Liverpool,,,33,56724,Harrison Reed,4-2-3-1,4-3-3,David Coote,/en/matches/56dec96a/Liverpool-Fulham-January-10-2024-EFL-Cup,Leg 1 of 2,23-24,Fulham,fd962109
2024-01-13,12:30:00,Premier League,Matchweek 21,Sat,Away,L,0,1,Chelsea,0.8,2.2,45,39643,Tom Cairney,4-2-3-1,4-2-3-1,Anthony Taylor,/en/matches/dd052c34/Chelsea-Fulham-January-13-2024-Premier-League,,23-24,Fulham,fd962109
2024-01-24,20:00:00,EFL Cup,Semi-finals,Wed,Home,D,1,1,Liverpool,,,49,24320,Tom Cairney,4-2-3-1,4-3-3,Simon Hooper,/en/matches/377aac92/Fulham-Liverpool-January-24-2024-EFL-Cup,Leg 2 of 2; Liverpool won,23-24,Fulham,fd962109
2024-01-27,19:00:00,FA Cup,Fourth round proper,Sat,Home,L,0,2,Newcastle Utd,,,56,18960,Tim Ream,4-2-3-1,4-3-3,Jarred Gillett,/en/matches/e3b7e24e/Fulham-Newcastle-United-January-27-2024-FA-Cup,,23-24,Fulham,fd962109
2024-01-30,19:45:00,Premier League,Matchweek 22,Tue,Home,D,0,0,Everton,1.6,1.9,70,24376,Tom Cairney,4-2-3-1,4-4-1-1,Thomas Bramall,/en/matches/17d24e01/Fulham-Everton-January-30-2024-Premier-League,,23-24,Fulham,fd962109
2024-02-03,15:00:00,Premier League,Matchweek 23,Sat,Away,D,2,2,Burnley,1.5,1.8,56,20203,Tim Ream,4-2-3-1,4-4-2,Darren Bond,/en/matches/a2436e30/Burnley-Fulham-February-3-2024-Premier-League,,23-24,Fulham,fd962109
2024-02-10,15:00:00,Premier League,Matchweek 24,Sat,Home,W,3,1,Bournemouth,1.6,1.8,49,24271,Tom Cairney,4-2-3-1,4-2-3-1,Darren England,/en/matches/bf9e0d20/Fulham-Bournemouth-February-10-2024-Premier-League,,23-24,Fulham,fd962109
2024-02-17,15:00:00,Premier League,Matchweek 25,Sat,Home,L,1,2,Aston Villa,1.5,1.5,52,24401,Tom Cairney,4-2-3-1,4-2-3-1,Lewis Smith,/en/matches/796ff9f0/Fulham-Aston-Villa-February-17-2024-Premier-League,,23-24,Fulham,fd962109
2024-02-24,15:00:00,Premier League,Matchweek 26,Sat,Away,W,2,1,Manchester Utd,1.2,1.7,43,73487,Harrison Reed,4-2-3-1,4-2-3-1,Michael Oliver,/en/matches/45f67948/Manchester-United-Fulham-February-24-2024-Premier-League,,23-24,Fulham,fd962109
2024-03-02,15:00:00,Premier League,Matchweek 27,Sat,Home,W,3,0,Brighton,1.3,1.3,30,24460,Harrison Reed,4-2-3-1,3-4-3,Simon Hooper,/en/matches/20278247/Fulham-Brighton-and-Hove-Albion-March-2-2024-Premier-League,,23-24,Fulham,fd962109
2024-03-09,15:00:00,Premier League,Matchweek 28,Sat,Away,L,1,2,Wolves,2.6,0.8,52,30860,Harrison Reed,4-2-3-1,4-2-3-1,Tony Harrington,/en/matches/b606cbde/Wolverhampton-Wanderers-Fulham-March-9-2024-Premier-League,,23-24,Fulham,fd962109
2024-03-16,17:30:00,Premier League,Matchweek 29,Sat,Home,W,3,0,Tottenham,2.6,2.4,43,24410,Bernd Leno,4-2-3-1,4-2-3-1,Robert Jones,/en/matches/8a009cc4/Fulham-Tottenham-Hotspur-March-16-2024-Premier-League,,23-24,Fulham,fd962109
2024-03-30,15:00:00,Premier League,Matchweek 30,Sat,Away,D,3,3,Sheffield Utd,1.3,1.9,73,30010,Bernd Leno,4-2-3-1,3-5-2,Tim Robinson,/en/matches/ad4a1302/Sheffield-United-Fulham-March-30-2024-Premier-League,,23-24,Fulham,fd962109
2024-04-02,19:30:00,Premier League,Matchweek 31,Tue,Away,L,1,3,Nott'ham Forest,1.5,1.5,66,28997,Bernd Leno,4-2-3-1,4-2-3-1,Michael Oliver,/en/matches/55996670/Nottingham-Forest-Fulham-April-2-2024-Premier-League,,23-24,Fulham,fd962109
2024-04-06,15:00:00,Premier League,Matchweek 32,Sat,Home,L,0,1,Newcastle Utd,1.2,1.0,66,24418,Tom Cairney,4-2-3-1,4-3-3,Samuel Allison,/en/matches/a9d2819f/Fulham-Newcastle-United-April-6-2024-Premier-League,,23-24,Fulham,fd962109
2024-04-14,14:00:00,Premier League,Matchweek 33,Sun,Away,W,2,0,West Ham,3.2,0.9,42,62459,Bernd Leno,4-2-3-1,4-2-3-1,Stuart Attwell,/en/matches/bd62891f/West-Ham-United-Fulham-April-14-2024-Premier-League,,23-24,Fulham,fd962109
2024-04-21,16:30:00,Premier League,Matchweek 34,Sun,Home,L,1,3,Liverpool,0.8,1.0,40,24414,Bobby Reid,4-2-3-1,4-3-3,Craig Pawson,/en/matches/9dcb5084/Fulham-Liverpool-April-21-2024-Premier-League,,23-24,Fulham,fd962109
2024-04-27,15:00:00,Premier League,Matchweek 35,Sat,Home,D,1,1,Crystal Palace,1.1,1.0,53,24142,Harrison Reed,4-2-3-1,3-4-3,Stuart Attwell,/en/matches/9fe4ec6e/Fulham-Crystal-Palace-April-27-2024-Premier-League,,23-24,Fulham,fd962109
