id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,league,season
40b6bd38,1,Abel,ESP,DF,Osasuna,24-007,2000,2,2,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,ESP-LALIGA,24-25
cadfa7d1,2,Nabil Aberdin,FRA,MF,Getafe,22-005,2002,2,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,ESP-LALIGA,24-25
2bc7f211,3,Abdel Abqar,MAR,DF,Alavés,25-171,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ESP-LALIGA,24-25
8bc8829a,4,Lucien Agoume,FRA,MF,Sevilla,22-201,2002,3,2,181,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,11,4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,ESP-LALIGA,24-25
014aa7bd,5,Álvaro Aguado,ESP,MF,Espanyol,28-119,1996,2,0,21,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,5,0,0.0,0.0,0.0,0.0,0.0,0.23,0.06,0.29,0.23,0.29,Matches,ESP-LALIGA,24-25
b8bd60fe,6,Ilias Akhomach,MAR,MF,Villarreal,20-134,2004,2,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,14,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,ESP-LALIGA,24-25
4bd414c1,7,Raúl Albiol,ESP,DF,Villarreal,38-359,1985,3,2,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,ESP-LALIGA,24-25
bb08bce9,8,Omar Alderete,PAR,DF,Getafe,27-246,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,2,7,0,0.0,0.0,0.0,0.0,0.0,0.03,0.31,0.34,0.03,0.34,Matches,ESP-LALIGA,24-25
6c811eb7,9,Carles Aleñá,ESP,MF,Getafe,26-236,1998,2,1,125,1.4,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,3,3,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,ESP-LALIGA,24-25
