Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
1,Sat,2019-08-24,18:00,Parma,0.3,0–1,1.4,Juventus,20073,Stadio Ennio Tardini,Fabio Maresca,/en/matches/2b01c68a/Parma-Juventus-August-24-2019-Serie-A,,ITA-SERIA_A,19-20
1,Sat,2019-08-24,20:45,Fiorentina,1.7,3–4,2.0,Napoli,33614,Stadio Artemio Franchi,Davide Massa,/en/matches/de16a772/Fiorentina-Napoli-August-24-2019-Serie-A,,ITA-SERIA_A,19-20
1,Sun,2019-08-25,18:00,Udinese,0.8,1–0,0.7,Milan,24584,Dacia Arena,Fabrizio Pasqua,/en/matches/5d32941f/Udinese-Milan-August-25-2019-Serie-A,,ITA-SERIA_A,19-20
1,Sun,2019-08-25,20:45,SPAL,1.6,2–3,1.8,Atalanta,11706,Stadio Paolo Mazza,Gianluca Manganiello,/en/matches/0326af7e/SPAL-Atalanta-August-25-2019-Serie-A,,ITA-SERIA_A,19-20
1,Sun,2019-08-25,20:45,Roma,2.5,3–3,1.3,Genoa,38779,Stadio Olimpico,Giampaolo Calvarese,/en/matches/3ac8069d/Roma-Genoa-August-25-2019-Serie-A,,ITA-SERIA_A,19-20
1,Sun,2019-08-25,20:45,Torino,1.2,2–1,1.3,Sassuolo,16536,Stadio Olimpico di Torino,Maurizio Mariani,/en/matches/6237b77f/Torino-Sassuolo-August-25-2019-Serie-A,,ITA-SERIA_A,19-20
1,Sun,2019-08-25,20:45,Hellas Verona,0.2,1–1,1.8,Bologna,16324,Stadio Marc'Antonio Bentegodi,Antonio Giua,/en/matches/a8b82bb0/Hellas-Verona-Bologna-August-25-2019-Serie-A,,ITA-SERIA_A,19-20
1,Sun,2019-08-25,20:45,Sampdoria,0.7,0–3,1.8,Lazio,19500,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,/en/matches/de72f334/Sampdoria-Lazio-August-25-2019-Serie-A,,ITA-SERIA_A,19-20
1,Sun,2019-08-25,20:45,Cagliari,1.2,0–1,1.3,Brescia,16099,Sardegna Arena,Eugenio Abbattista,/en/matches/fb06cc65/Cagliari-Brescia-August-25-2019-Serie-A,,ITA-SERIA_A,19-20
1,Mon,2019-08-26,20:45,Inter,1.7,4–0,0.6,Lecce,64188,Stadio Giuseppe Meazza,Federico La Penna,/en/matches/813ea7be/Internazionale-Lecce-August-26-2019-Serie-A,,ITA-SERIA_A,19-20
2,Fri,2019-08-30,20:45,Bologna,4.0,1–0,0.8,SPAL,25086,Stadio Renato Dall'Ara,Marco Di Bello,/en/matches/ba549b1e/Bologna-SPAL-August-30-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sat,2019-08-31,18:00,Milan,1.5,1–0,0.7,Brescia,56691,Stadio Giuseppe Meazza,Rosario Abisso,/en/matches/27c01148/Milan-Brescia-August-31-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sat,2019-08-31,20:45,Juventus,1.8,4–3,1.4,Napoli,39203,Allianz Stadium,Daniele Orsato,/en/matches/14afe9c6/Juventus-Napoli-August-31-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sun,2019-09-01,18:00,Lazio,2.2,1–1,1.3,Roma,52000,Stadio Olimpico,Marco Guida,/en/matches/5f3fe07d/Lazio-Roma-September-1-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sun,2019-09-01,20:45,Sassuolo,2.2,4–1,1.3,Sampdoria,9608,Mapei Stadium - Città del Tricolore,Luca Pairetto,/en/matches/1dea6b5e/Sassuolo-Sampdoria-September-1-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sun,2019-09-01,20:45,Udinese,1.4,1–3,1.3,Parma,20410,Dacia Arena,Marco Piccinini,/en/matches/2b67d770/Udinese-Parma-September-1-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sun,2019-09-01,20:45,Genoa,2.1,2–1,1.9,Fiorentina,20000,Stadio Comunale Luigi Ferraris,Piero Giacomelli,/en/matches/355e9742/Genoa-Fiorentina-September-1-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sun,2019-09-01,20:45,Cagliari,0.5,1–2,1.7,Inter,16412,Sardegna Arena,Fabio Maresca,/en/matches/5dba4b71/Cagliari-Internazionale-September-1-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sun,2019-09-01,20:45,Lecce,0.9,0–1,1.4,Hellas Verona,24418,Stadio Comunale Via Del Mare,Juan Sacchi,/en/matches/a9c723e3/Lecce-Hellas-Verona-September-1-2019-Serie-A,,ITA-SERIA_A,19-20
2,Sun,2019-09-01,20:45,Atalanta,1.8,2–3,0.8,Torino,8182,Stadio Ennio Tardini,Daniele Doveri,/en/matches/e55b020e/Atalanta-Torino-September-1-2019-Serie-A,,ITA-SERIA_A,19-20
