id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,league,season
5f09991f,1,Patrick van Aanholt,NED,DF,Crystal Palace,29,1990,19.7,2,0,0,11,3,3,40,30,22,0,0,0,136,11,13,45.8,Matches,ENG-EPL,20-21
f586779e,2,Tammy Abraham,ENG,FW,Chelsea,22,1997,11.6,0,0,0,22,12,4,6,5,5,1,0,0,28,38,28,57.6,Matches,ENG-EPL,20-21
f2bf1b0f,3,Che Adams,SCO,FW,Southampton,24,1996,29.6,1,0,0,30,55,19,6,4,16,0,0,0,84,53,133,28.5,Matches,ENG-EPL,20-21
c81d773d,4,Tosin Adarabioyo,ENG,DF,Fulham,22,1997,32.8,1,0,0,16,6,2,2,42,19,0,1,1,143,82,38,68.3,Matches,ENG-EPL,20-21
f76e6b4e,5,Adrián,ESP,GK,Liverpool,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches,ENG-EPL,20-21
4d034881,6,Sergio Agüero,ARG,FW,Manchester City,32,1988,6.2,0,0,0,2,7,1,1,2,1,0,0,0,12,2,4,33.3,Matches,ENG-EPL,20-21
246d153b,7,Ola Aina,NGA,DF,Fulham,23,1996,29.6,3,0,0,32,25,2,52,45,20,0,0,0,147,31,36,46.3,Matches,ENG-EPL,20-21
9b398aea,8,Rayan Aït-Nouri,ALG,DF,Wolves,19,2001,15.6,1,0,0,15,19,1,61,15,16,0,1,0,86,5,23,17.9,Matches,ENG-EPL,20-21
d6192210,9,Semi Ajayi,NGA,DF,West Brom,26,1993,30.9,3,1,0,28,4,1,7,42,14,0,2,0,161,74,54,57.8,Matches,ENG-EPL,20-21
