id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,league,season
a2c1a8d3,1,Julen Agirrezabala,ESP,GK,Athletic Club,23-248,2000,1,1,90,1,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches,ESP-LALIGA,24-25
e1846dde,2,Cárdenas,ESP,GK,Rayo Vallecano,27-155,1997,3,3,270,3,3,1.0,9,6,66.7,1,1,1,1,33.3,0,0,0,0,,Matches,ESP-LALIGA,24-25
04ac8285,3,Jasper Cillessen,NED,GK,Las Palmas,35-130,1989,3,3,270,3,5,1.67,18,13,77.8,0,2,1,0,0.0,2,1,1,0,50,Matches,ESP-LALIGA,24-25
4eae5bc4,4,Diego Conde,ESP,GK,Villarreal,25-307,1998,3,3,270,3,6,2.0,18,12,66.7,2,1,0,0,0.0,0,0,0,0,,Matches,ESP-LALIGA,24-25
1840e36d,5,Thibaut Courtois,BEL,GK,Real Madrid,32-111,1992,3,3,270,3,2,0.67,7,5,71.4,1,2,0,1,33.3,0,0,0,0,,Matches,ESP-LALIGA,24-25
87b498b0,6,Joan García,ESP,GK,Espanyol,23-118,2001,3,3,270,3,2,0.67,11,9,81.8,0,1,2,1,33.3,0,0,0,0,,Matches,ESP-LALIGA,24-25
63d17038,7,Paulo Gazzaniga,ARG,GK,Girona,32-241,1992,3,3,270,3,4,1.33,10,6,60.0,1,1,1,1,33.3,0,0,0,0,,Matches,ESP-LALIGA,24-25
30061f53,8,Dominik Greif,SVK,GK,Mallorca,27-146,1997,2,2,180,2,2,1.0,10,8,80.0,0,1,1,0,0.0,0,0,0,0,,Matches,ESP-LALIGA,24-25
a4995f48,9,Sergio Herrera,ESP,GK,Osasuna,31-086,1993,3,3,270,3,5,1.67,10,5,50.0,1,1,1,1,33.3,0,0,0,0,,Matches,ESP-LALIGA,24-25
aa81d8f8,10,Karl Jakob Hein,EST,GK,Valladolid,22-139,2002,3,3,270,3,3,1.0,12,9,75.0,1,1,1,2,66.7,0,0,0,0,,Matches,ESP-LALIGA,24-25
d4b73232,11,Giorgi Mamardashvili,GEO,GK,Valencia,23-336,2000,3,3,270,3,6,2.0,15,8,66.7,0,0,3,0,0.0,2,1,1,0,50,Matches,ESP-LALIGA,24-25
bdedffac,12,Ørjan Nyland,NOR,GK,Sevilla,33-355,1990,3,3,270,3,4,1.33,15,12,73.3,0,2,1,1,33.3,0,0,0,0,,Matches,ESP-LALIGA,24-25
ee8508c0,13,Jan Oblak,SVN,GK,Atlético Madrid,31-236,1993,3,3,270,3,2,0.67,8,7,75.0,1,2,0,2,66.7,0,0,0,0,,Matches,ESP-LALIGA,24-25
a275838a,14,Alex Padilla,ESP,GK,Athletic Club,20-364,2003,2,2,180,2,3,1.5,7,4,57.1,0,1,1,0,0.0,0,0,0,0,,Matches,ESP-LALIGA,24-25
374ee424,15,Álex Remiro,ESP,GK,Real Sociedad,29-159,1995,3,3,270,3,4,1.33,12,8,75.0,1,0,2,1,33.3,1,1,0,0,0,Matches,ESP-LALIGA,24-25
924ff27e,16,Leo Román,ESP,GK,Mallorca,24-055,2000,1,1,90,1,0,0.0,7,7,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,ESP-LALIGA,24-25
ea83bfa6,17,Rui Silva,POR,GK,Betis,30-205,1994,2,2,180,2,1,0.5,3,2,66.7,0,2,0,1,50.0,0,0,0,0,,Matches,ESP-LALIGA,24-25
9970da54,18,Antonio Sivera,ESP,GK,Alavés,28-019,1996,3,3,270,3,3,1.0,8,5,62.5,1,1,1,1,33.3,0,0,0,0,,Matches,ESP-LALIGA,24-25
8f8c6934,19,David Soria,ESP,GK,Getafe,31-148,1993,2,2,180,2,1,0.5,4,3,75.0,0,2,0,1,50.0,0,0,0,0,,Matches,ESP-LALIGA,24-25
5512b1a9,20,Juan Soriano,ESP,GK,Leganés,27-007,1997,3,3,270,3,2,0.67,13,12,84.6,1,2,0,1,33.3,0,0,0,0,,Matches,ESP-LALIGA,24-25
6f51e382,21,Marc-André ter Stegen,GER,GK,Barcelona,32-122,1992,3,3,270,3,3,1.0,7,4,71.4,3,0,0,0,0.0,1,1,0,0,0,Matches,ESP-LALIGA,24-25
cde52ef5,22,Iván Villar,ESP,GK,Celta Vigo,27-052,1997,3,3,270,3,6,2.0,15,9,60.0,2,0,1,0,0.0,1,0,1,0,100,Matches,ESP-LALIGA,24-25
