Season,Competition Name,# Squads,Champion,Top Scorer,url,Format
1954-1955,ENG-EPL,22,Chelsea - 52,,/en/comps/9/1954-1955/1954-1955-Premier-League-Stats,round-robin
1953-1954,ENG-EPL,22,Wolverhampton Wanderers - 57,,/en/comps/9/1953-1954/1953-1954-Premier-League-Stats,round-robin
1952-1953,ENG-EPL,22,Arsenal - 54,,/en/comps/9/1952-1953/1952-1953-Premier-League-Stats,round-robin
1951-1952,ENG-EPL,22,Manchester United - 57,,/en/comps/9/1951-1952/1951-1952-Premier-League-Stats,round-robin
1950-1951,ENG-EPL,22,Tottenham Hotspur - 60,,/en/comps/9/1950-1951/1950-1951-Premier-League-Stats,round-robin
1949-1950,ENG-EPL,22,Portsmouth - 53,,/en/comps/9/1949-1950/1949-1950-Premier-League-Stats,round-robin
1948-1949,ENG-EPL,22,Portsmouth - 58,,/en/comps/9/1948-1949/1948-1949-Premier-League-Stats,round-robin
1947-1948,ENG-EPL,22,Arsenal - 59,,/en/comps/9/1947-1948/1947-1948-Premier-League-Stats,round-robin
1946-1947,ENG-EPL,22,Liverpool - 57,,/en/comps/9/1946-1947/1946-1947-Premier-League-Stats,round-robin
1938-1939,ENG-EPL,22,Everton - 59,,/en/comps/9/1938-1939/1938-1939-Premier-League-Stats,round-robin
1937-1938,ENG-EPL,22,Arsenal - 52,,/en/comps/9/1937-1938/1937-1938-Premier-League-Stats,round-robin
1936-1937,ENG-EPL,22,Manchester City - 57,,/en/comps/9/1936-1937/1936-1937-Premier-League-Stats,round-robin
1935-1936,ENG-EPL,22,Sunderland - 56,,/en/comps/9/1935-1936/1935-1936-Premier-League-Stats,round-robin
1934-1935,ENG-EPL,22,Arsenal - 58,,/en/comps/9/1934-1935/1934-1935-Premier-League-Stats,round-robin
1933-1934,ENG-EPL,22,Arsenal - 59,,/en/comps/9/1933-1934/1933-1934-Premier-League-Stats,round-robin
1932-1933,ENG-EPL,22,Arsenal - 58,,/en/comps/9/1932-1933/1932-1933-Premier-League-Stats,round-robin
1931-1932,ENG-EPL,22,Everton - 56,,/en/comps/9/1931-1932/1931-1932-Premier-League-Stats,round-robin
1930-1931,ENG-EPL,22,Arsenal - 66,,/en/comps/9/1930-1931/1930-1931-Premier-League-Stats,round-robin
1929-1930,ENG-EPL,22,Sheffield Wednesday - 60,,/en/comps/9/1929-1930/1929-1930-Premier-League-Stats,round-robin
1928-1929,ENG-EPL,22,The Wednesday - 52,,/en/comps/9/1928-1929/1928-1929-Premier-League-Stats,round-robin
1927-1928,ENG-EPL,22,Everton - 53,,/en/comps/9/1927-1928/1927-1928-Premier-League-Stats,round-robin
1926-1927,ENG-EPL,22,Newcastle United - 56,,/en/comps/9/1926-1927/1926-1927-Premier-League-Stats,round-robin
1925-1926,ENG-EPL,22,Huddersfield Town - 57,,/en/comps/9/1925-1926/1925-1926-Premier-League-Stats,round-robin
1924-1925,ENG-EPL,22,Huddersfield Town - 58,,/en/comps/9/1924-1925/1924-1925-Premier-League-Stats,round-robin
1923-1924,ENG-EPL,22,Huddersfield Town - 57,,/en/comps/9/1923-1924/1923-1924-Premier-League-Stats,round-robin
1922-1923,ENG-EPL,22,Liverpool - 60,,/en/comps/9/1922-1923/1922-1923-Premier-League-Stats,round-robin
1921-1922,ENG-EPL,22,Liverpool - 57,,/en/comps/9/1921-1922/1921-1922-Premier-League-Stats,round-robin
1920-1921,ENG-EPL,22,Burnley - 59,,/en/comps/9/1920-1921/1920-1921-Premier-League-Stats,round-robin
1919-1920,ENG-EPL,22,West Bromwich Albion - 60,,/en/comps/9/1919-1920/1919-1920-Premier-League-Stats,round-robin
1914-1915,ENG-EPL,20,Everton - 46,,/en/comps/9/1914-1915/1914-1915-Premier-League-Stats,round-robin
1913-1914,ENG-EPL,20,Blackburn Rovers - 51,,/en/comps/9/1913-1914/1913-1914-Premier-League-Stats,round-robin
1912-1913,ENG-EPL,20,Sunderland - 54,,/en/comps/9/1912-1913/1912-1913-Premier-League-Stats,round-robin
1911-1912,ENG-EPL,20,Blackburn Rovers - 49,,/en/comps/9/1911-1912/1911-1912-Premier-League-Stats,round-robin
1910-1911,ENG-EPL,20,Manchester United - 52,,/en/comps/9/1910-1911/1910-1911-Premier-League-Stats,round-robin
1909-1910,ENG-EPL,20,Aston Villa - 53,,/en/comps/9/1909-1910/1909-1910-Premier-League-Stats,round-robin
1908-1909,ENG-EPL,20,Newcastle United - 53,,/en/comps/9/1908-1909/1908-1909-Premier-League-Stats,round-robin
1907-1908,ENG-EPL,20,Manchester United - 52,,/en/comps/9/1907-1908/1907-1908-Premier-League-Stats,round-robin
1906-1907,ENG-EPL,20,Newcastle United - 51,,/en/comps/9/1906-1907/1906-1907-Premier-League-Stats,round-robin
1905-1906,ENG-EPL,20,Liverpool - 51,,/en/comps/9/1905-1906/1905-1906-Premier-League-Stats,round-robin
1904-1905,ENG-EPL,18,Newcastle United - 48,,/en/comps/9/1904-1905/1904-1905-Premier-League-Stats,round-robin
1903-1904,ENG-EPL,18,The Wednesday - 47,,/en/comps/9/1903-1904/1903-1904-Premier-League-Stats,round-robin
1902-1903,ENG-EPL,18,The Wednesday - 42,,/en/comps/9/1902-1903/1902-1903-Premier-League-Stats,round-robin
1901-1902,ENG-EPL,18,Sunderland - 44,,/en/comps/9/1901-1902/1901-1902-Premier-League-Stats,round-robin
