id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,league,season
8bc373ea,1,Pape Abou Cissé,SEN,DF,Olympiacos,24,1995,5.0,189,263,71.9,3909,1552,64,75,85.3,92,106,86.8,29,65,44.6,0,0.0,0.0,0.0,1,10,0,0,10,Matches,UCL,20-21
f586779e,2,Tammy Abraham,ENG,FW,Chelsea,22,1997,2.6,38,48,79.2,397,80,25,32,78.1,9,9,100.0,0,0,,1,0.1,0.1,0.9,1,2,1,0,2,Matches,UCL,20-21
b96b595c,3,Francesco Acerbi,ITA,DF,Lazio,32,1988,8.0,389,467,83.3,7466,2596,161,173,93.1,163,189,86.2,56,85,65.9,1,1.1,0.7,-0.1,10,17,10,5,25,Matches,UCL,20-21
81442ecb,4,Marcos Acuña,ARG,DF,Sevilla,28,1991,3.6,244,305,80.0,4067,1503,129,137,94.2,84,99,84.8,27,57,47.4,1,1.4,0.8,-0.4,11,21,6,6,26,Matches,UCL,20-21
2b09d998,5,Tyler Adams,USA,"FW,MF",RB Leipzig,21,1999,3.2,126,160,78.8,1659,550,83,91,91.2,31,43,72.1,5,11,45.5,0,0.5,0.3,-0.5,3,5,2,0,9,Matches,UCL,20-21
501055d8,6,Karim Adeyemi,GER,FW,RB Salzburg,18,2002,0.6,4,8,50.0,41,7,4,6,66.7,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,UCL,20-21
f76e6b4e,7,Adrián,ESP,GK,Liverpool,33,1987,1.0,21,32,65.6,729,583,6,7,85.7,1,1,100.0,13,23,56.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches,UCL,20-21
288e1e13,8,Nayef Aguerd,MAR,DF,Rennes,24,1996,3.1,177,201,88.1,3532,1518,66,71,93.0,86,93,92.5,24,34,70.6,0,0.0,0.0,0.0,0,8,0,0,5,Matches,UCL,20-21
4d034881,9,Sergio Agüero,ARG,FW,Manchester City,32,1988,1.7,17,22,77.3,142,43,14,17,82.4,1,2,50.0,0,0,,0,0.0,0.1,0.0,0,1,0,0,1,Matches,UCL,20-21
89ac64a6,10,Manuel Akanji,SUI,DF,Dortmund,25,1995,7.0,521,567,91.9,9386,3203,201,215,93.5,269,278,96.8,39,56,69.6,0,0.1,0.1,-0.1,3,50,1,0,25,Matches,UCL,20-21
414e1f69,11,Marley Aké,FRA,"FW,MF",Marseille,19,2001,0.4,11,12,91.7,178,12,5,5,100.0,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,UCL,20-21
eaeca114,12,Nathan Aké,NED,DF,Manchester City,25,1995,2.0,128,140,91.4,1975,585,54,57,94.7,67,74,90.5,1,2,50.0,1,0.0,0.0,1.0,0,6,1,0,9,Matches,UCL,20-21
