Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-12,15:00:00,Premier League,Matchweek 1,Sat,Away,L,1,4,Brighton,1.5,4.0,30,31872,Tom Lockyer,3-5-2,4-2-3-1,David Coote,/en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-08-25,20:00:00,Premier League,Matchweek 3,Fri,Away,L,0,3,Chelsea,0.4,2.2,33,39893,Tom Lockyer,5-3-2,3-4-3,Robert Jones,/en/matches/6bfb9dc0/Chelsea-Luton-Town-August-25-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-08-29,19:45:00,EFL Cup,Second round,Tue,Home,W,3,2,Gillingham,,,62,9468,Tom Lockyer,3-4-3,5-4-1,Jeremy Simpson,/en/matches/4cf59be1/Luton-Town-Gillingham-August-29-2023-EFL-Cup,,23-24,Luton Town,e297cd13
2023-09-01,20:00:00,Premier League,Matchweek 4,Fri,Home,L,1,2,West Ham,1.4,1.0,39,10802,Carlton Morris,5-3-2,4-2-3-1,Paul Tierney,/en/matches/e929e225/Luton-Town-West-Ham-United-September-1-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-09-16,15:00:00,Premier League,Matchweek 5,Sat,Away,L,0,1,Fulham,1.1,1.0,23,24467,Tom Lockyer,5-3-2,4-3-3,Michael Salisbury,/en/matches/48b1bdc7/Fulham-Luton-Town-September-16-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-09-23,15:00:00,Premier League,Matchweek 6,Sat,Home,D,1,1,Wolves,2.1,0.6,57,10893,Tom Lockyer,3-4-3,4-2-3-1,Joshua Smith,/en/matches/76a1421e/Luton-Town-Wolverhampton-Wanderers-September-23-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-09-26,19:45:00,EFL Cup,Third round,Tue,Away,L,0,1,Exeter City,,,67,7360,Pelly Ruddock Mpanzu,3-5-2,5-4-1,James Bell,/en/matches/4a316f30/Exeter-City-Luton-Town-September-26-2023-EFL-Cup,,23-24,Luton Town,e297cd13
2023-09-30,15:00:00,Premier League,Matchweek 7,Sat,Away,W,2,1,Everton,0.9,2.9,33,39289,Tom Lockyer,3-4-3,4-4-1-1,Anthony Taylor,/en/matches/921d5f17/Everton-Luton-Town-September-30-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-10-03,19:30:00,Premier League,Matchweek 2,Tue,Home,L,1,2,Burnley,1.3,1.1,49,10918,Tom Lockyer,3-4-3,4-3-3,Peter Bankes,/en/matches/4f7b3f27/Luton-Town-Burnley-October-3-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-10-07,12:30:00,Premier League,Matchweek 8,Sat,Home,L,0,1,Tottenham,0.8,1.9,34,10290,Tom Lockyer,4-4-2,4-2-3-1,John Brooks,/en/matches/d021f28f/Luton-Town-Tottenham-Hotspur-October-7-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-10-21,15:00:00,Premier League,Matchweek 9,Sat,Away,D,2,2,Nott'ham Forest,1.7,2.9,43,29361,Tom Lockyer,4-4-2,4-3-3,Samuel Barrott,/en/matches/d1671efa/Nottingham-Forest-Luton-Town-October-21-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-10-29,14:00:00,Premier League,Matchweek 10,Sun,Away,L,1,3,Aston Villa,0.5,2.3,30,41785,Tom Lockyer,3-4-3,4-4-2,John Brooks,/en/matches/ee677172/Aston-Villa-Luton-Town-October-29-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-11-05,16:30:00,Premier League,Matchweek 11,Sun,Home,D,1,1,Liverpool,0.8,2.6,27,11049,Tom Lockyer,3-4-3,4-3-3,Andy Madley,/en/matches/a62b97ba/Luton-Town-Liverpool-November-5-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-11-11,15:00:00,Premier League,Matchweek 12,Sat,Away,L,0,1,Manchester Utd,0.4,2.2,36,73599,Tom Lockyer,3-4-3,4-2-3-1,Graham Scott,/en/matches/4b9f3f25/Manchester-United-Luton-Town-November-11-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-11-25,15:00:00,Premier League,Matchweek 13,Sat,Home,W,2,1,Crystal Palace,0.9,1.6,39,11029,Tom Lockyer,3-4-3,4-2-3-1,Jarred Gillett,/en/matches/f4805536/Luton-Town-Crystal-Palace-November-25-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-12-02,15:00:00,Premier League,Matchweek 14,Sat,Away,L,1,3,Brentford,0.2,3.1,32,17075,Tom Lockyer,3-4-3,4-3-3,Anthony Taylor,/en/matches/0f71f535/Brentford-Luton-Town-December-2-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-12-05,20:15:00,Premier League,Matchweek 15,Tue,Home,L,3,4,Arsenal,0.5,2.2,34,11031,Pelly Ruddock Mpanzu,3-4-3,4-3-3,Samuel Barrott,/en/matches/dd3a5afc/Luton-Town-Arsenal-December-5-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-12-10,14:00:00,Premier League,Matchweek 16,Sun,Home,L,1,2,Manchester City,0.3,1.6,35,11047,Tom Lockyer,3-4-3,4-2-3-1,Tim Robinson,/en/matches/f6155857/Luton-Town-Manchester-City-December-10-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-12-23,15:00:00,Premier League,Matchweek 18,Sat,Home,W,1,0,Newcastle Utd,1.4,1.4,35,11042,Amari'i Bell,3-4-3,4-3-3,Darren England,/en/matches/46bfb645/Luton-Town-Newcastle-United-December-23-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-12-26,15:00:00,Premier League,Matchweek 19,Tue,Away,W,3,2,Sheffield Utd,0.6,2.4,49,31041,Amari'i Bell,3-4-3,4-4-2,Samuel Allison,/en/matches/6269b2e3/Sheffield-United-Luton-Town-December-26-2023-Premier-League,,23-24,Luton Town,e297cd13
2023-12-30,12:30:00,Premier League,Matchweek 20,Sat,Home,L,2,3,Chelsea,2.3,1.5,52,11041,Amari'i Bell,3-4-3,4-2-3-1,Paul Tierney,/en/matches/8e04572c/Luton-Town-Chelsea-December-30-2023-Premier-League,,23-24,Luton Town,e297cd13
2024-01-07,14:00:00,FA Cup,Third round proper,Sun,Home,D,0,0,Bolton,,,63,10739,Carlton Morris,3-4-1-2,3-1-4-2,Andy Madley,/en/matches/3c125353/Luton-Town-Bolton-Wanderers-January-7-2024-FA-Cup,,23-24,Luton Town,e297cd13
2024-01-12,19:45:00,Premier League,Matchweek 21,Fri,Away,D,1,1,Burnley,0.9,1.1,61,20155,Amari'i Bell,3-4-3,4-4-2,Tony Harrington,/en/matches/d62dd931/Burnley-Luton-Town-January-12-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-01-16,19:45:00,FA Cup,Third round proper,Tue,Away,W,2,1,Bolton,,,53,10878,Carlton Morris,3-4-3,3-5-2,Thomas Bramall,/en/matches/d24f54a3/Bolton-Wanderers-Luton-Town-January-16-2024-FA-Cup,,23-24,Luton Town,e297cd13
2024-01-27,15:00:00,FA Cup,Fourth round proper,Sat,Away,W,2,1,Everton,,,54,37713,Carlton Morris,3-4-1-2,4-4-2,Simon Hooper,/en/matches/91fa9d29/Everton-Luton-Town-January-27-2024-FA-Cup,,23-24,Luton Town,e297cd13
2024-01-30,19:45:00,Premier League,Matchweek 22,Tue,Home,W,4,0,Brighton,3.1,0.9,41,10994,Carlton Morris,3-4-3,3-4-3,Robert Jones,/en/matches/381f12be/Luton-Town-Brighton-and-Hove-Albion-January-30-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-02-03,15:00:00,Premier League,Matchweek 23,Sat,Away,D,4,4,Newcastle Utd,2.4,2.3,45,52211,Carlton Morris,3-4-3,4-3-3,Thomas Bramall,/en/matches/67cb7a4e/Newcastle-United-Luton-Town-February-3-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-02-10,15:00:00,Premier League,Matchweek 24,Sat,Home,L,1,3,Sheffield Utd,1.8,1.7,74,11138,Carlton Morris,3-4-3,5-4-1,Chris Kavanagh,/en/matches/1a4e7d02/Luton-Town-Sheffield-United-February-10-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-02-18,16:30:00,Premier League,Matchweek 25,Sun,Home,L,1,2,Manchester Utd,1.8,2.9,58,11483,Carlton Morris,3-4-3,4-2-3-1,David Coote,/en/matches/49523b04/Luton-Town-Manchester-United-February-18-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-02-21,19:30:00,Premier League,Matchweek 26,Wed,Away,L,1,4,Liverpool,0.9,3.3,40,59713,Carlton Morris,3-4-3,4-3-3,Andy Madley,/en/matches/58636a1e/Liverpool-Luton-Town-February-21-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-02-27,20:00:00,FA Cup,Fifth round proper,Tue,Home,L,2,6,Manchester City,,,43,11163,Carlton Morris,3-4-3,4-2-3-1,Anthony Taylor,/en/matches/777de07a/Luton-Town-Manchester-City-February-27-2024-FA-Cup,,23-24,Luton Town,e297cd13
2024-03-02,17:30:00,Premier League,Matchweek 27,Sat,Home,L,2,3,Aston Villa,1.8,1.9,46,11594,Carlton Morris,3-4-3,4-2-3-1,Michael Oliver,/en/matches/59f4adc0/Luton-Town-Aston-Villa-March-2-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-03-09,15:00:00,Premier League,Matchweek 28,Sat,Away,D,1,1,Crystal Palace,0.8,2.7,51,25103,Carlton Morris,3-4-3,3-4-3,Sunny Singh,/en/matches/fd693c8e/Crystal-Palace-Luton-Town-March-9-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-03-13,19:30:00,Premier League,Matchweek 17,Wed,Away,L,3,4,Bournemouth,2.0,2.3,41,11198,Carlton Morris,3-4-3,4-2-3-1,Samuel Allison,/en/matches/a32a8157/Bournemouth-Luton-Town-March-13-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-03-16,15:00:00,Premier League,Matchweek 29,Sat,Home,D,1,1,Nott'ham Forest,0.6,2.0,60,11630,Carlton Morris,3-4-3,4-2-3-1,Darren England,/en/matches/76d09384/Luton-Town-Nottingham-Forest-March-16-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-03-30,15:00:00,Premier League,Matchweek 30,Sat,Away,L,1,2,Tottenham,0.5,2.9,30,61534,Carlton Morris,4-3-3,4-2-3-1,Jarred Gillett,/en/matches/6397e2af/Tottenham-Hotspur-Luton-Town-March-30-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-04-03,19:30:00,Premier League,Matchweek 31,Wed,Away,L,0,2,Arsenal,0.3,0.7,42,60262,Carlton Morris,3-4-3,4-3-3,Craig Pawson,/en/matches/77d7e2d6/Arsenal-Luton-Town-April-3-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-04-06,15:00:00,Premier League,Matchweek 32,Sat,Home,W,2,1,Bournemouth,1.5,0.4,55,11797,Carlton Morris,3-4-3,4-2-3-1,Andy Madley,/en/matches/08114c35/Luton-Town-Bournemouth-April-6-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-04-13,15:00:00,Premier League,Matchweek 33,Sat,Away,L,1,5,Manchester City,0.5,4.2,27,52149,Carlton Morris,3-4-3,4-2-3-1,John Brooks,/en/matches/40128bc4/Manchester-City-Luton-Town-April-13-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-04-20,15:00:00,Premier League,Matchweek 34,Sat,Home,L,1,5,Brentford,0.6,3.1,53,11877,Carlton Morris,3-4-3,4-3-3,Jarred Gillett,/en/matches/c98abeb4/Luton-Town-Brentford-April-20-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-04-27,15:00:00,Premier League,Matchweek 35,Sat,Away,L,1,2,Wolves,0.6,1.2,42,31531,Carlton Morris,3-4-3,3-5-1-1,David Coote,/en/matches/55d68500/Wolverhampton-Wanderers-Luton-Town-April-27-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-05-03,20:00:00,Premier League,Matchweek 36,Fri,Home,D,1,1,Everton,0.8,1.4,51,11873,Carlton Morris,3-4-3,4-4-1-1,Tim Robinson,/en/matches/76d10c7d/Luton-Town-Everton-May-3-2024-Premier-League,,23-24,Luton Town,e297cd13
2024-05-11,15:00:00,Premier League,Matchweek 37,Sat,Away,L,1,3,West Ham,0.3,3.2,42,62475,Carlton Morris,3-4-3,4-2-3-1,Michael Oliver,/en/matches/17e9dbbf/West-Ham-United-Luton-Town-May-11-2024-Premier-League,,23-24,Luton Town,e297cd13
