id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,league,season
9f9e1b9c,1,Sabit Abdulai,GHA,MF,Getafe,21,1999,0.7,1,0,0,2,1,0,1,0,0,0,0,0,1,1,3,25.0,Matches,ESP-LALIGA,20-21
81442ecb,2,Marcos Acuña,ARG,DF,Sevilla,28,1991,25.9,5,0,0,45,32,2,119,23,42,0,2,0,160,20,33,37.7,Matches,ESP-LALIGA,20-21
3ed84b2c,3,Bobby Adekanye,NED,"FW,MF",Cádiz,21,1999,0.4,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,,Matches,ESP-LALIGA,20-21
355c883a,4,Martin Agirregabiria,ESP,"DF,MF",Alavés,24,1996,17.3,1,0,0,23,23,1,32,27,18,0,0,0,81,19,22,46.3,Matches,ESP-LALIGA,20-21
18abe173,5,Joseph Aidoo,GHA,DF,Celta Vigo,24,1995,14.3,3,0,0,13,13,1,1,25,17,0,0,0,89,42,40,51.2,Matches,ESP-LALIGA,20-21
f2a68b97,6,Carlos Akapo,EQG,DF,Cádiz,27,1993,9.6,3,1,1,10,4,0,18,19,14,0,0,0,49,14,3,82.4,Matches,ESP-LALIGA,20-21
31f5b89b,7,Paul Akouokou,CIV,MF,Betis,22,1997,4.2,5,1,1,11,2,0,2,6,8,0,0,0,29,10,8,55.6,Matches,ESP-LALIGA,20-21
788be7f9,8,Jony Álamo,ESP,MF,Elche,18,2001,0.8,0,0,0,0,2,0,0,1,1,0,0,0,7,0,1,0.0,Matches,ESP-LALIGA,20-21
4601e194,9,Jordi Alba,ESP,"DF,FW",Barcelona,31,1989,33.6,9,0,0,20,15,10,119,49,30,0,0,1,218,4,8,33.3,Matches,ESP-LALIGA,20-21
4bd414c1,10,Raúl Albiol,ESP,DF,Villarreal,34,1985,34.6,7,0,0,13,16,1,6,22,15,0,0,0,175,65,42,60.7,Matches,ESP-LALIGA,20-21
a7a9d95a,11,Paco Alcácer,ESP,FW,Villarreal,26,1993,17.2,0,0,0,7,8,17,3,9,3,0,0,0,31,13,44,22.8,Matches,ESP-LALIGA,20-21
ba71d071,12,Pedro Alcalá,ESP,DF,Cádiz,31,1989,10.1,2,0,0,12,4,1,0,16,4,0,0,1,34,17,26,39.5,Matches,ESP-LALIGA,20-21
036bba5f,13,Rubén Alcaraz,ESP,MF,Valladolid,29,1991,24.1,10,0,0,47,44,0,10,31,29,0,0,0,153,52,46,53.1,Matches,ESP-LALIGA,20-21
3d7e48ce,14,Iván Alejo,ESP,"MF,FW",Cádiz,25,1995,9.2,5,0,0,29,22,4,63,3,10,0,0,0,42,13,9,59.1,Matches,ESP-LALIGA,20-21
6c811eb7,15,Carles Aleñá,ESP,MF,Barcelona,22,1998,0.5,1,0,0,4,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches,ESP-LALIGA,20-21
6c811eb7,16,Carles Aleñá,ESP,"MF,FW",Getafe,22,1998,15.2,1,0,0,20,26,0,60,2,10,0,0,0,75,14,34,29.2,Matches,ESP-LALIGA,20-21
1c772b46,17,Alfon,ESP,MF,Celta Vigo,21,1999,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0.0,Matches,ESP-LALIGA,20-21
88d91621,18,Sergio Álvarez,ESP,"MF,DF",Eibar,28,1992,17.4,3,0,0,38,16,0,9,22,25,0,0,0,103,45,45,50.0,Matches,ESP-LALIGA,20-21
3ecc11d8,19,Yeray Álvarez,ESP,DF,Athletic Club,25,1995,21.6,6,0,0,20,15,1,5,53,12,0,0,0,126,58,45,56.3,Matches,ESP-LALIGA,20-21
69c5633e,20,Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,18,2001,0.5,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,,Matches,ESP-LALIGA,20-21
c46736ab,21,Jon Ander Garrido,ESP,MF,Cádiz,30,1989,8.9,1,0,0,13,6,0,2,14,10,1,0,0,45,22,26,45.8,Matches,ESP-LALIGA,20-21
ae86d473,22,Marcos André,BRA,FW,Valladolid,23,1996,13.1,3,0,0,25,26,7,9,2,2,1,0,0,29,40,84,32.3,Matches,ESP-LALIGA,20-21
b1e5bbec,23,Ángel,ESP,GK,Granada,18,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,ESP-LALIGA,20-21
3024e383,24,José Ángel,ESP,DF,Eibar,30,1989,10.0,3,0,0,8,4,0,59,13,8,0,0,0,81,17,12,58.6,Matches,ESP-LALIGA,20-21
56cafd0a,25,Miguel Ángel Rubio,ESP,DF,Valladolid,22,1998,1.5,0,0,0,2,1,1,0,3,0,0,0,0,10,9,8,52.9,Matches,ESP-LALIGA,20-21
683788fd,26,José Antonio Miranda,EQG,"MF,DF",Getafe,22,1998,0.3,1,0,0,2,2,0,2,0,0,0,0,0,1,2,0,100.0,Matches,ESP-LALIGA,20-21
f28876e5,27,Aritz Arambarri,ESP,DF,Real Sociedad,22,1998,0.3,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,50.0,Matches,ESP-LALIGA,20-21
58afe001,28,Mauro Arambarri,URU,MF,Getafe,24,1995,33.1,11,0,0,58,73,1,123,42,39,0,0,0,204,54,53,50.5,Matches,ESP-LALIGA,20-21
27a013f7,29,Néstor Araujo,MEX,DF,Celta Vigo,28,1991,27.0,5,0,0,30,4,0,2,43,16,0,0,0,134,61,46,57.0,Matches,ESP-LALIGA,20-21
2bef2bca,30,Ronald Araújo,URU,DF,Barcelona,21,1999,16.8,3,0,0,12,17,2,0,20,11,1,1,0,104,51,22,69.9,Matches,ESP-LALIGA,20-21
850c0a0d,31,Anaitz Arbilla,ESP,DF,Eibar,33,1987,31.2,8,0,0,36,13,0,43,69,26,0,2,0,245,68,53,56.2,Matches,ESP-LALIGA,20-21
74d9a90b,32,Unai Arietaleanizbeaskoa,ESP,"FW,MF",Eibar,21,1999,0.5,1,0,0,3,1,1,0,0,0,0,0,0,1,0,3,0.0,Matches,ESP-LALIGA,20-21
1e465e70,33,Sergio Arribas,ESP,"MF,FW",Real Madrid,18,2001,1.5,1,0,0,1,2,2,1,4,1,0,0,0,11,2,2,50.0,Matches,ESP-LALIGA,20-21
9f0ea33f,34,Sergio Asenjo,ESP,GK,Villarreal,31,1989,36.0,2,0,0,1,2,0,0,0,0,0,1,0,40,7,0,100.0,Matches,ESP-LALIGA,20-21
