id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,league,season
565bf0da,1,David Abraham,ARG,DF,Eint Frankfurt,31,1986,25.6,20,0.78,17,2,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches,GER-BL1,17-18
1c08a3c8,2,Amir Abrashi,ALB,MF,Freiburg,27,1990,9.4,14,1.48,10,0,0,1,3,0,2,0.21,2,0,0,0,0,0,Matches,GER-BL1,17-18
f71890f5,3,René Adler,GER,GK,Mainz 05,32,1985,14.0,5,0.36,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,17-18
74ced675,4,Ailton,BRA,"DF,MF",Stuttgart,22,1995,1.2,2,1.65,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,17-18
89ac64a6,5,Manuel Akanji,SUI,DF,Dortmund,22,1995,10.0,7,0.7,5,0,1,0,0,1,1,0.1,1,0,0,0,0,0,Matches,GER-BL1,17-18
debc2f28,6,Chadrac Akolo,COD,"MF,FW",Stuttgart,22,1995,12.2,37,3.02,25,1,5,4,1,1,4,0.33,0,0,3,1,0,0,Matches,GER-BL1,17-18
6ec6fde0,7,Kevin Akpoguma,NGA,DF,Hoffenheim,22,1995,18.8,15,0.8,15,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,GER-BL1,17-18
05439de2,8,David Alaba,AUT,DF,Bayern Munich,25,1992,17.2,53,3.07,44,4,1,3,0,1,4,0.23,4,0,0,0,0,0,Matches,GER-BL1,17-18
834d0be5,9,Lucas Alario,ARG,FW,Leverkusen,24,1992,17.2,40,2.33,27,0,7,1,4,1,7,0.41,4,0,2,0,1,0,Matches,GER-BL1,17-18
d459281d,10,Miiko Albornoz,CHI,"DF,MF",Hannover 96,26,1990,7.8,20,2.56,15,1,1,1,1,1,3,0.38,3,0,0,0,0,0,Matches,GER-BL1,17-18
77e84962,11,Thiago Alcántara,ESP,"MF,FW",Bayern Munich,26,1991,13.9,60,4.33,52,3,1,0,2,2,5,0.36,4,0,1,0,0,0,Matches,GER-BL1,17-18
2930c9d8,12,Stephan Ambrosius,GHA,DF,Hamburger SV,18,1998,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,17-18
555d5edd,13,Nadiem Amiri,GER,MF,Hoffenheim,20,1996,19.4,74,3.83,55,7,3,7,2,0,6,0.31,5,0,0,1,0,0,Matches,GER-BL1,17-18
5e66fa06,14,Waldemar Anton,GER,"DF,MF",Hannover 96,21,1996,25.3,14,0.55,13,0,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches,GER-BL1,17-18
c311243f,15,Dennis Aogo,GER,"MF,DF",Stuttgart,30,1987,21.7,43,1.98,28,14,0,1,0,0,8,0.37,3,4,0,1,0,0,Matches,GER-BL1,17-18
56413b1f,16,Charles Aránguiz,CHI,MF,Leverkusen,28,1989,25.6,71,2.78,59,4,0,3,2,3,6,0.23,4,1,0,0,0,1,Matches,GER-BL1,17-18
86e119e0,17,Maximilian Arnold,GER,MF,Wolfsburg,23,1994,27.3,83,3.05,55,22,0,1,4,1,3,0.11,2,1,0,0,0,0,Matches,GER-BL1,17-18
c21fb312,18,Jann-Fiete Arp,GER,"FW,MF",Hamburger SV,17,2000,9.4,18,1.91,9,0,4,1,3,1,2,0.21,1,0,1,0,0,0,Matches,GER-BL1,17-18
13ddc856,19,Takuma Asano,JPN,"FW,MF",Stuttgart,22,1994,8.0,21,2.61,19,0,1,1,0,0,1,0.12,1,0,0,0,0,0,Matches,GER-BL1,17-18
e26fcca3,20,Santiago Ascacíbar,ARG,MF,Stuttgart,20,1997,26.5,32,1.21,21,0,1,2,5,3,2,0.08,1,0,0,1,0,0,Matches,GER-BL1,17-18
dfc85b89,21,Simon Asta,GER,MF,Augsburg,16,2001,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,GER-BL1,17-18
d5dd5f1f,22,Pierre-Emerick Aubameyang,GAB,FW,Dortmund,28,1989,15.7,37,2.35,26,0,3,6,1,1,10,0.64,4,0,2,3,1,0,Matches,GER-BL1,17-18
