Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,1,Thu,2023-09-21,18:45,Servette FC,0.4,0–2,1.2,Slavia Prague,19783,Stade de Genève,Giorgi Kruashvili,/en/matches/0a120e38/Servette-FC-Slavia-Prague-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,18:45,LASK,0.3,1–3,2.2,Liverpool,18091,Raiffeisen Arena,Marco Di Bello,/en/matches/1b1f3de6/LASK-Liverpool-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,18:45,Leverkusen,3.0,4–0,0.4,Häcken,25402,BayArena,Manfredas Lukjančukas,/en/matches/21d5e315/Bayer-Leverkusen-Hacken-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,18:45,Rennes,1.8,3–0,0.2,Maccabi Haifa,26838,Roazhon Park,Harm Osmers,/en/matches/57ff57bf/Rennes-Maccabi-Haifa-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,18:45,Union SG,1.3,1–1,1.4,Toulouse,12162,Lotto Park,Rohit Saggi,/en/matches/76a18903/Union-SG-Toulouse-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,19:45,Panathinaikos,0.9,2–0,0.3,Villarreal,57003,Olympiako Stadio Spyros Louis,Craig Pawson,/en/matches/9eb4630b/Panathinaikos-Villarreal-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,19:45,Sheriff Tiraspol,0.8,1–2,0.9,Roma,10711,Bolshaya Sportivnaya Arena,Andris Treimanis,/en/matches/ff9887c8/Sheriff-Tiraspol-Roma-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,20:00,Rangers,2.0,1–0,0.8,Betis,45634,Ibrox Stadium,Lawrence Visser,/en/matches/57ffcbe1/Rangers-Real-Betis-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,20:00,Brighton,2.7,2–3,1.3,AEK Athens,30178,The American Express Community Stadium,Kristo Tohver,/en/matches/8aebde7a/Brighton-and-Hove-Albion-AEK-Athens-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,20:00,West Ham,2.2,3–1,0.5,TSC Bačka Top,41374,London Stadium,Filip Glova,/en/matches/c376e97b/West-Ham-United-TSC-Backa-Top-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,20:45,Qarabağ,1.8,1–0,0.2,Molde,26500,Tofiq Bəhramov adına Respublika stadionu,John Beaton,/en/matches/e32a79b6/Qarabag-Molde-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,21:00,Atalanta,3.9,2–0,0.8,RKS Raków,13698,Gewiss Stadium,Roi Reinshreiber,/en/matches/159f2864/Atalanta-RKS-Rakow-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,21:00,Sturm Graz,0.6,1–2,1.7,Sporting CP,13517,Merkur Arena,Nikola Dabanović,/en/matches/52995d52/Sturm-Graz-Sporting-CP-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,21:00,Ajax,2.6,3–3,2.4,Marseille,53000,Johan Cruyff ArenA,Maurizio Mariani,/en/matches/7933e9bf/Ajax-Marseille-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,21:00,Sparta Prague,1.7,3–2,1.0,Aris Limassol FC,17371,epet Arena,Jérôme Brisard,/en/matches/e5f733c3/Sparta-Prague-Aris-Limassol-FC-September-21-2023-Europa-League,,UEL,23-24
Group stage,1,Thu,2023-09-21,22:00,Olympiacos,2.3,2–3,1.6,Freiburg,30056,Stadio Georgios Karaiskáki,Allard Lindhout,/en/matches/fc67cf77/Olympiacos-Freiburg-September-21-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,17:45,Sporting CP,2.0,1–2,2.1,Atalanta,42301,Estádio José Alvalade,Alejandro Hernández,/en/matches/6b0b141b/Sporting-CP-Atalanta-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,18:45,Marseille,1.3,2–2,2.4,Brighton,63465,Orange Vélodrome,Mykola Balakin,/en/matches/6e5bc2fb/Marseille-Brighton-and-Hove-Albion-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,18:45,Freiburg,1.5,1–2,1.0,West Ham,34100,Europa-Park Stadion,Mohammed Al Hakim,/en/matches/734e1b51/Freiburg-West-Ham-United-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,18:45,RKS Raków,0.7,0–1,1.7,Sturm Graz,8993,ArcelorMittal Park,Əliyar Ağayev,/en/matches/7d7140aa/RKS-Rakow-Sturm-Graz-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,18:45,TSC Bačka Top,1.2,2–2,0.7,Olympiacos,3778,TSC Arena,Benoît Bastien,/en/matches/c48ed8ee/TSC-Backa-Top-Olympiacos-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,18:45,Betis,1.5,2–1,1.3,Sparta Prague,45037,Estadio Benito Villamarín,Duje Strukan,/en/matches/eca58409/Real-Betis-Sparta-Prague-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,19:45,Aris Limassol FC,1.7,2–1,0.7,Rangers,3911,Alphamega Stadium,Horațiu Fesnic,/en/matches/040511a1/Aris-Limassol-FC-Rangers-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,19:45,AEK Athens,2.3,1–1,1.9,Ajax,29524,Agia Sophia Stadium,Matej Jug,/en/matches/300d9ac1/AEK-Athens-Ajax-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,20:00,Liverpool,2.9,2–0,1.1,Union SG,49513,Anfield,Morten Krogh,/en/matches/bcfbaac5/Liverpool-Union-SG-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,21:00,Slavia Prague,2.4,6–0,0.4,Sheriff Tiraspol,17844,Fortuna Arena,Willy Delajod,/en/matches/1e479935/Slavia-Prague-Sheriff-Tiraspol-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,21:00,Toulouse,1.3,1–0,1.7,LASK,29233,Stadium Municipal,Nick Walsh,/en/matches/1e6b3712/Toulouse-LASK-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,21:00,Villarreal,0.3,1–0,1.9,Rennes,17458,Estadio de la Cerámica,Harald Lechner,/en/matches/25d48427/Villarreal-Rennes-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,21:00,Häcken,0.8,0–1,0.9,Qarabağ,8124,Bravida Arena,Sebastian Gishamer,/en/matches/83f61fa7/Hacken-Qarabag-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,21:00,Roma,2.3,4–0,0.3,Servette FC,55764,Stadio Olimpico,Igor Pajač,/en/matches/ca9df6d6/Roma-Servette-FC-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,21:00,Molde,1.3,1–2,1.7,Leverkusen,8190,Aker Stadion,Anastasios Papapetrou,/en/matches/e3072c52/Molde-Bayer-Leverkusen-October-5-2023-Europa-League,,UEL,23-24
Group stage,2,Thu,2023-10-05,22:00,Maccabi Haifa,1.4,0–0,0.9,Panathinaikos,29465,Sammy Ofer Stadium,António Nobre,/en/matches/410dca2e/Maccabi-Haifa-Panathinaikos-October-5-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,18:45,TSC Bačka Top,0.7,1–3,2.1,Freiburg,3400,TSC Arena,Əliyar Ağayev,/en/matches/1e2739be/TSC-Backa-Top-Freiburg-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,18:45,Marseille,3.0,3–1,1.0,AEK Athens,65092,Orange Vélodrome,Daniel Stefański,/en/matches/3775a614/Marseille-AEK-Athens-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,18:45,Molde,1.9,5–1,1.5,Häcken,5870,Aker Stadion,Urs Schnyder,/en/matches/54b617f8/Molde-Hacken-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,18:45,Sparta Prague,1.7,0–0,0.6,Rangers,18250,epet Arena,Sascha Stegemann,/en/matches/75a322fc/Sparta-Prague-Rangers-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,18:45,Sturm Graz,1.6,2–2,1.7,Atalanta,14167,Merkur Arena,Duje Strukan,/en/matches/b8337593/Sturm-Graz-Atalanta-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,18:45,RKS Raków,2.0,1–1,0.3,Sporting CP,10518,ArcelorMittal Park,Anastasios Papapetrou,/en/matches/c91cd9f2/RKS-Rakow-Sporting-CP-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,19:45,Aris Limassol FC,0.5,0–1,2.1,Betis,3945,Alphamega Stadium,Filip Glova,/en/matches/2c402bf4/Aris-Limassol-FC-Real-Betis-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,19:45,Olympiacos,0.9,2–1,1.0,West Ham,30623,Stadio Georgios Karaiskáki,Andris Treimanis,/en/matches/a945ca05/Olympiacos-West-Ham-United-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,20:00,Liverpool,2.9,5–1,1.1,Toulouse,49338,Anfield,Rade Obrenović,/en/matches/85a8a3a3/Liverpool-Toulouse-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,20:00,Brighton,1.3,2–0,0.2,Ajax,30540,The American Express Community Stadium,Bartosz Frankowski,/en/matches/cd2c07a6/Brighton-and-Hove-Albion-Ajax-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,21:00,Leverkusen,2.5,5–1,0.9,Qarabağ,29039,BayArena,Horațiu Fesnic,/en/matches/35cae623/Bayer-Leverkusen-Qarabag-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,21:00,Roma,0.9,2–0,0.4,Slavia Prague,64934,Stadio Olimpico,Espen Andreas Eskås,/en/matches/e499c13d/Roma-Slavia-Prague-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,21:00,Union SG,3.0,2–1,1.0,LASK,11426,Lotto Park,Atilla Karaoğlan,/en/matches/ee56aa77/Union-SG-LASK-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,22:00,Panathinaikos,2.2,1–2,1.5,Rennes,13459,Olympiako Stadio Spyros Louis,João Pinheiro,/en/matches/b760ba57/Panathinaikos-Rennes-October-26-2023-Europa-League,,UEL,23-24
Group stage,3,Thu,2023-10-26,22:00,Sheriff Tiraspol,0.8,1–1,1.8,Servette FC,2834,Bolshaya Sportivnaya Arena,John Brooks,/en/matches/cafe0e08/Sheriff-Tiraspol-Servette-FC-October-26-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,18:45,Slavia Prague,2.1,2–0,0.5,Roma,19265,Fortuna Arena,François Letexier,/en/matches/1a6d301d/Slavia-Prague-Roma-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,18:45,Ajax,0.7,0–2,1.0,Brighton,52095,Johan Cruyff ArenA,Nikola Dabanović,/en/matches/287a023b/Ajax-Brighton-and-Hove-Albion-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,18:45,Rennes,2.1,3–1,1.6,Panathinaikos,28004,Roazhon Park,William Collum,/en/matches/2ec5d613/Rennes-Panathinaikos-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,18:45,LASK,2.4,3–0,0.5,Union SG,15900,Raiffeisen Arena,Simone Sozza,/en/matches/a489b203/LASK-Union-SG-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,18:45,Toulouse,1.0,3–2,1.1,Liverpool,32026,Stadium Municipal,Georgi Kabakov,/en/matches/e4192b01/Toulouse-Liverpool-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,18:45,Servette FC,2.4,2–1,0.5,Sheriff Tiraspol,15822,Stade de Genève,Manfredas Lukjančukas,/en/matches/fbc2bf76/Servette-FC-Sheriff-Tiraspol-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,19:45,Maccabi Haifa,1.7,1–2,3.4,Villarreal,,Sammy Ofer Stadium,Mykola Balakin,/en/matches/428ed6c7/Maccabi-Haifa-Villarreal-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,20:00,Rangers,1.4,2–1,0.6,Sparta Prague,48838,Ibrox Stadium,Davide Massa,/en/matches/113caebe/Rangers-Sparta-Prague-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,20:00,Sporting CP,2.7,2–1,0.4,RKS Raków,32940,Estádio José Alvalade,Enea Jorgji,/en/matches/5d319000/Sporting-CP-RKS-Rakow-November-9-2023-Europa-League,,UEL,23-24
Group stage,4,Thu,2023-11-09,20:00,West Ham,1.5,1–0,0.6,Olympiacos,55811,London Stadium,Matej Jug,/en/matches/9778001e/West-Ham-United-Olympiacos-November-9-2023-Europa-League,,UEL,23-24
