Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,1,Thu,2020-10-22,17:55,Dundalk,0.4,1–2,1.3,Molde,,Tallaght Stadium,Petri Viljanen,/en/matches/013c12a9/Dundalk-Molde-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,18:55,Leverkusen,1.7,6–2,0.7,Nice,,BayArena,Fran Jović,/en/matches/4703b4aa/Bayer-Leverkusen-Nice-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,18:55,Napoli,1.2,0–1,0.7,AZ Alkmaar,494,Stadio Diego Armando Maradona,Daniel Stefański,/en/matches/56460d78/Napoli-AZ-Alkmaar-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,18:55,PSV Eindhoven,0.5,1–2,2.0,Granada,,Philips Stadion,Felix Zwayer,/en/matches/61082188/PSV-Eindhoven-Granada-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,18:55,Young Boys,1.3,1–2,1.3,Roma,600,Wankdorfstadion,Carlos del Cerro,/en/matches/7a27ceed/Young-Boys-Roma-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,18:55,Rijeka,0.7,0–1,2.1,Real Sociedad,2089,Stadion HNK Rijeka,Bartosz Frankowski,/en/matches/935e5b9c/Rijeka-Real-Sociedad-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,18:55,Standard Liège,0.5,0–2,1.5,Rangers,3139,Stade Maurice Dufrasne,Jakob Kehlet,/en/matches/9c6c85f2/Standard-Liege-Rangers-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,18:55,Lech Poznań,2.2,2–4,3.4,Benfica,,Stadion Miejski,Nikola Dabanović,/en/matches/dde42d3c/Lech-Poznan-Benfica-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,18:55,Rapid Wien,1.5,1–2,1.5,Arsenal,3000,Allianz Stadion,Pavel Královec,/en/matches/e4074aa9/Rapid-Wien-Arsenal-October-22-2020-Europa-League,,UEL,20-21
Group stage,1,Thu,2020-10-22,19:55,CSKA Sofia,0.5,0–2,1.4,CFR Cluj,11958,Stadion Bâlgarska Armija,Halil Umut Meler,/en/matches/2362bec4/CSKA-Sofia-CFR-Cluj-October-22-2020-Europa-League,,UEL,20-21
