id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 23_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,league,season
f586779e,1,Tammy Abraham,ENG,FW,Chelsea,21,1997,6.3,112,95,17,0,0,1,2,0,0,0,0,0,75,0,3,Matches,UCL,19-20
2b09d998,2,Tyler Adams,USA,"MF,DF",RB Leipzig,20,1999,0.9,83,76,7,1,0,0,1,6,0,0,0,0,66,0,4,Matches,UCL,19-20
ee926a02,3,Arijan Ademi,MKD,"MF,DF",Dinamo Zagreb,28,1991,5.7,170,164,6,4,0,2,0,0,0,0,0,0,146,0,3,Matches,UCL,19-20
f76e6b4e,4,Adrián,ESP,GK,Liverpool,32,1987,3.3,99,75,24,9,0,0,0,0,0,0,0,0,81,0,1,Matches,UCL,19-20
4d034881,5,Sergio Agüero,ARG,FW,Manchester City,31,1988,2.2,53,52,1,0,1,0,2,0,0,0,0,0,36,0,5,Matches,UCL,19-20
89ac64a6,6,Manuel Akanji,SUI,DF,Dortmund,24,1995,5.8,394,369,24,19,1,7,0,5,0,0,0,0,351,1,1,Matches,UCL,19-20
05439de2,7,David Alaba,AUT,DF,Bayern Munich,27,1992,7.5,595,581,14,9,0,2,4,5,0,0,0,0,538,0,3,Matches,UCL,19-20
834d0be5,8,Lucas Alario,ARG,FW,Leverkusen,26,1992,2.4,45,40,5,0,0,0,0,0,0,0,0,0,37,0,1,Matches,UCL,19-20
4601e194,9,Jordi Alba,ESP,DF,Barcelona,30,1989,3.9,230,203,27,10,1,2,5,17,0,0,0,0,194,0,3,Matches,UCL,19-20
a7a9d95a,10,Paco Alcácer,ESP,FW,Dortmund,25,1993,1.3,20,18,2,0,0,0,2,1,0,0,0,0,13,0,0,Matches,UCL,19-20
77e84962,11,Thiago Alcántara,ESP,MF,Bayern Munich,28,1991,9.1,835,809,25,20,4,22,0,2,2,0,0,0,759,1,7,Matches,UCL,19-20
f7d50789,12,Toby Alderweireld,BEL,DF,Tottenham,30,1989,6.0,345,335,10,7,2,1,0,3,0,0,0,0,297,0,0,Matches,UCL,19-20
6c811eb7,13,Carles Aleñá,ESP,MF,Barcelona,21,1998,1.0,97,93,4,1,1,0,3,0,3,0,3,0,82,0,1,Matches,UCL,19-20
cd1acf9d,14,Trent Alexander-Arnold,ENG,DF,Liverpool,20,1998,6.5,749,606,141,17,1,19,77,89,35,3,22,0,549,2,15,Matches,UCL,19-20
7a2e46a8,15,Alisson,BRA,GK,Liverpool,26,1992,5.0,173,142,31,3,0,1,0,0,0,0,0,0,159,0,0,Matches,UCL,19-20
cc700722,16,Allan,BRA,MF,Napoli,28,1991,4.9,267,261,6,6,2,1,0,0,0,0,0,0,227,0,3,Matches,UCL,19-20
cea4ee8f,17,Dele Alli,ENG,"MF,FW",Tottenham,23,1996,5.7,239,217,22,8,4,0,4,3,1,0,0,0,192,0,9,Matches,UCL,19-20
67b3d74b,18,André Almeida,POR,DF,Benfica,28,1990,1.0,46,38,8,0,0,0,0,8,0,0,0,0,35,0,1,Matches,UCL,19-20
f4290206,19,Marcos Alonso,ESP,DF,Chelsea,28,1990,4.4,289,243,46,5,0,1,10,41,0,0,0,0,230,0,6,Matches,UCL,19-20
8ce30c57,20,Éder Álvarez Balanta,COL,MF,Club Brugge,26,1993,3.2,150,149,1,1,1,2,0,0,0,0,0,0,125,0,2,Matches,UCL,19-20
8b3ab7ad,21,Edson Álvarez,MEX,MF,Ajax,21,1997,4.2,236,233,3,3,2,0,2,0,0,0,0,0,212,0,1,Matches,UCL,19-20
555d5edd,22,Nadiem Amiri,GER,"FW,MF",Leverkusen,22,1996,2.6,145,132,13,1,0,2,9,4,8,3,4,1,118,0,4,Matches,UCL,19-20
10b9fa99,23,Ethan Ampadu,WAL,DF,RB Leipzig,18,2000,2.0,199,194,5,5,0,1,0,0,0,0,0,0,182,0,0,Matches,UCL,19-20
e34fc66d,24,Joachim Andersen,DEN,DF,Lyon,23,1996,4.4,240,230,10,8,0,5,0,2,0,0,0,0,215,0,1,Matches,UCL,19-20
dc008610,25,Florin Andone,ROU,FW,Galatasaray,26,1993,1.8,35,29,6,0,0,0,0,0,0,0,0,0,23,0,4,Matches,UCL,19-20
ef9c1c95,26,Benjamin André,FRA,MF,Lille,28,1990,4.5,192,185,7,6,1,0,6,1,0,0,0,0,154,0,2,Matches,UCL,19-20
b35db3f6,27,Miguel Ángel Guerrero,ESP,FW,Olympiacos,29,1990,3.5,71,63,7,0,0,0,1,0,0,0,0,0,52,1,2,Matches,UCL,19-20
30941e96,28,Angeliño,ESP,"DF,MF",RB Leipzig,22,1997,4.0,236,196,36,6,0,0,24,25,5,3,1,0,168,4,6,Matches,UCL,19-20
30941e96,29,Angeliño,ESP,DF,Manchester City,22,1997,1.0,82,74,7,0,0,0,2,7,0,0,0,0,70,1,1,Matches,UCL,19-20
108fe016,30,Marcos Antônio,BRA,MF,Shakhtar,19,2000,0.3,28,27,1,1,0,0,0,0,0,0,0,0,25,0,0,Matches,UCL,19-20
a5db0bec,31,Houssem Aouar,ALG,"MF,FW",Lyon,21,1998,7.9,318,301,14,5,2,3,10,4,4,1,1,0,248,3,11,Matches,UCL,19-20
c63f6e46,32,Youssef El-Arabi,MAR,FW,Olympiacos,32,1987,3.1,65,55,9,1,0,1,0,0,0,0,0,0,43,1,4,Matches,UCL,19-20
56413b1f,33,Charles Aránguiz,CHI,MF,Leverkusen,30,1989,4.6,374,363,10,5,2,3,5,2,3,0,3,0,327,1,4,Matches,UCL,19-20
fa18c72e,34,Luiz Araújo,BRA,"FW,MF",Lille,23,1996,3.1,84,84,0,0,0,0,6,0,0,0,0,0,54,0,4,Matches,UCL,19-20
2f965a72,35,Alphonse Areola,FRA,GK,Real Madrid,26,1993,1.5,59,40,19,8,0,0,0,0,0,0,0,0,47,0,0,Matches,UCL,19-20
fdd60087,36,Santiago Arias,COL,DF,Atlético Madrid,27,1992,2.0,142,120,22,1,0,0,8,21,0,0,0,0,109,0,2,Matches,UCL,19-20
28d596a0,37,Kepa Arrizabalaga,ESP,GK,Chelsea,24,1994,6.0,177,122,54,9,0,0,0,0,0,0,0,0,140,1,0,Matches,UCL,19-20
089550f5,38,Kwadwo Asamoah,GHA,"FW,DF",Inter,30,1988,2.9,95,82,13,1,0,1,2,12,0,0,0,0,72,0,1,Matches,UCL,19-20
45af8a54,39,Marco Asensio,ESP,FW,Real Madrid,23,1996,0.3,15,15,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches,UCL,19-20
552e00b9,40,Majeed Ashimeru,GHA,MF,RB Salzburg,21,1997,0.7,41,40,0,0,0,0,0,0,0,0,0,0,34,1,1,Matches,UCL,19-20
8f5bfaac,41,Iyayi Atiemwen,NGA,FW,Dinamo Zagreb,23,1996,0.1,3,1,2,0,0,0,0,1,0,0,0,0,2,0,0,Matches,UCL,19-20
5c2b4f07,42,Serge Aurier,CIV,DF,Tottenham,26,1992,5.0,266,226,40,0,0,0,16,40,0,0,0,0,206,0,4,Matches,UCL,19-20
10549b49,43,Sardar Azmoun,IRN,FW,Zenit,24,1995,5.1,112,104,7,0,2,0,5,0,0,0,0,0,74,1,5,Matches,UCL,19-20
53cad200,44,César Azpilicueta,ESP,DF,Chelsea,29,1989,6.8,469,396,71,9,2,1,19,62,0,0,0,0,383,2,12,Matches,UCL,19-20
6438d426,45,Ryan Babel,NED,FW,Galatasaray,32,1986,3.7,118,114,4,1,0,0,3,1,0,0,0,0,91,0,0,Matches,UCL,19-20
3a233281,46,Leon Bailey,JAM,"FW,MF",Leverkusen,21,1997,1.3,57,52,5,1,0,1,10,1,3,3,0,0,37,0,4,Matches,UCL,19-20
a58bb1e1,47,Gareth Bale,WAL,"FW,MF",Real Madrid,30,1989,1.3,42,41,1,0,0,0,2,1,0,0,0,0,28,0,2,Matches,UCL,19-20
7c3ed041,48,Leonardo Balerdi,ARG,MF,Dortmund,20,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,UCL,19-20
b2bd0f6c,49,Jonathan Bamba,CIV,"FW,MF",Lille,23,1996,3.1,126,110,15,2,2,0,12,3,10,3,3,0,98,1,2,Matches,UCL,19-20
6928979a,50,Nicolò Barella,ITA,MF,Inter,22,1997,3.2,126,122,4,3,1,3,3,1,0,0,0,0,105,0,0,Matches,UCL,19-20
d7c09951,51,Dmitri Barinov,RUS,MF,Loko Moscow,22,1996,5.0,156,146,9,8,1,0,1,0,0,0,0,0,112,1,4,Matches,UCL,19-20
3a24769f,52,Ross Barkley,ENG,"FW,MF",Chelsea,25,1993,1.8,41,40,1,0,0,0,2,1,0,0,0,0,30,0,1,Matches,UCL,19-20
8e7f49d3,53,Wílmar Barrios,COL,MF,Zenit,25,1993,6.0,241,235,5,5,0,1,0,0,0,0,0,0,206,1,1,Matches,UCL,19-20
e5bf73f3,54,Musa Barrow,GAM,MF,Atalanta,20,1998,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,UCL,19-20
2973d8ff,55,Michy Batshuayi,BEL,FW,Chelsea,25,1993,1.0,24,22,2,0,0,0,0,0,0,0,0,0,15,0,0,Matches,UCL,19-20
69374ff5,56,Julian Baumgartlinger,AUT,MF,Leverkusen,31,1988,3.8,260,253,7,7,0,5,1,0,0,0,0,0,235,0,0,Matches,UCL,19-20
7bcc0708,57,Ömer Bayram,TUR,"FW,MF",Galatasaray,28,1991,2.8,99,91,8,3,0,1,15,1,4,2,2,0,72,0,4,Matches,UCL,19-20
50dc94ce,58,Donny van de Beek,NED,MF,Ajax,22,1997,5.0,160,152,6,0,2,0,1,1,0,0,0,0,125,2,6,Matches,UCL,19-20
e204ec12,59,Younès Belhanda,MAR,"MF,FW",Galatasaray,29,1990,3.4,151,142,8,5,1,1,0,1,0,0,0,0,125,1,1,Matches,UCL,19-20
bee0bab1,60,Karim Bellarabi,GER,"FW,MF",Leverkusen,29,1990,4.6,225,222,3,0,0,2,27,3,0,0,0,0,157,0,8,Matches,UCL,19-20
