id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,league,season
cd1acf9d,15,Trent Alexander-Arnold,ENG,DF,Liverpool,21,1998,33.7,2245,3015,74.5,40719,15754,1064,1184,89.9,897,1145,78.3,256,545,47.0,7,8.6,7.5,-1.6,77,193,101,29,251,Matches,ENG-EPL,20-21
1a7fcf39,16,Ezgjan Alioski,MKD,"DF,MF",Leeds United,28,1992,27.3,1321,1670,79.1,20073,7163,703,788,89.2,521,619,84.2,58,147,39.5,3,3.3,2.3,-0.3,28,87,29,12,132,Matches,ENG-EPL,20-21
7a2e46a8,17,Alisson,BRA,GK,Liverpool,27,1992,33.0,1000,1157,86.4,22600,14023,223,225,99.1,578,590,98.0,191,330,57.9,0,0.0,0.0,0.0,0,4,1,0,1,Matches,ENG-EPL,20-21
cc700722,18,Allan,BRA,MF,Everton,29,1991,22.8,908,1068,85.0,14950,4370,430,468,91.9,354,405,87.4,82,116,70.7,0,0.8,0.8,-0.8,17,88,16,1,92,Matches,ENG-EPL,20-21
cea4ee8f,19,Dele Alli,ENG,MF,Tottenham,24,1996,6.9,275,345,79.7,3878,882,151,177,85.3,99,109,90.8,9,20,45.0,1,1.2,0.9,-0.2,9,15,7,1,26,Matches,ENG-EPL,20-21
862a1c15,20,Miguel Almirón,PAR,"MF,FW",Newcastle Utd,26,1994,27.0,708,895,79.1,10715,2430,369,422,87.4,245,289,84.8,51,92,55.4,1,2.9,2.2,-1.9,31,64,23,7,90,Matches,ENG-EPL,20-21
f4290206,21,Marcos Alonso,ESP,DF,Chelsea,29,1990,10.7,493,610,80.8,7494,2506,278,306,90.8,184,221,83.3,24,49,49.0,0,1.3,1.0,-1.3,15,29,8,1,42,Matches,ENG-EPL,20-21
ad1f61f3,22,Steven Alzate,COL,MF,Brighton,21,1998,10.0,403,449,89.8,6190,1326,216,235,91.9,142,150,94.7,30,35,85.7,0,0.6,0.3,-0.6,11,37,6,1,39,Matches,ENG-EPL,20-21
1a4ef233,23,Daniel Amartey,GHA,DF,Leicester City,25,1994,8.0,414,493,84.0,7047,2296,178,195,91.3,203,233,87.1,26,43,60.5,0,0.0,0.1,0.0,0,15,2,0,24,Matches,ENG-EPL,20-21
10b9fa99,24,Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,19,2000,23.2,870,1087,80.0,15680,5536,370,424,87.3,378,446,84.8,102,158,64.6,0,1.2,1.1,-1.2,11,76,14,2,100,Matches,ENG-EPL,20-21
e34fc66d,25,Joachim Andersen,DEN,DF,Fulham,24,1996,30.3,1609,1993,80.7,34882,12812,427,491,87.0,912,1007,90.6,252,442,57.0,1,0.4,0.9,0.6,8,130,6,1,95,Matches,ENG-EPL,20-21
de31038e,26,Elliot Anderson,SCO,MF,Newcastle Utd,17,2002,0.0,1,1,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ENG-EPL,20-21
9f1893b9,27,Felipe Anderson,BRA,"FW,MF",West Ham,27,1993,0.0,3,5,60.0,45,23,1,2,50.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,ENG-EPL,20-21
ac05f970,28,Michail Antonio,JAM,FW,West Ham,30,1990,21.9,316,494,64.0,4273,796,192,266,72.2,78,122,63.9,18,30,60.0,5,3.0,1.8,2.0,27,24,13,2,36,Matches,ENG-EPL,20-21
2f965a72,29,Alphonse Areola,FRA,GK,Fulham,27,1993,36.0,746,1014,73.6,18222,12486,272,274,99.3,254,256,99.2,204,465,43.9,0,0.0,0.0,0.0,0,12,1,0,0,Matches,ENG-EPL,20-21
97333cf5,30,Stuart Armstrong,SCO,MF,Southampton,28,1992,30.7,1021,1298,78.7,15050,4362,563,653,86.2,360,420,85.7,51,78,65.4,5,2.6,1.8,2.4,35,80,40,7,144,Matches,ENG-EPL,20-21
28d596a0,31,Kepa Arrizabalaga,ESP,GK,Chelsea,25,1994,6.5,202,246,82.1,4701,2827,45,46,97.8,103,104,99.0,52,94,55.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches,ENG-EPL,20-21
d5dd5f1f,32,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31,1989,25.9,499,674,74.0,6849,1366,319,380,83.9,137,197,69.5,24,38,63.2,3,2.4,3.0,0.6,22,29,22,4,66,Matches,ENG-EPL,20-21
5c2b4f07,33,Serge Aurier,CIV,DF,Tottenham,27,1992,17.8,772,980,78.8,10939,4252,449,499,90.0,255,333,76.6,33,59,55.9,3,3.4,1.9,-0.4,18,31,18,9,59,Matches,ENG-EPL,20-21
8d228291,34,Charlie Austin,ENG,"FW,MF",West Brom,31,1989,1.5,23,34,67.6,297,111,17,20,85.0,4,7,57.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches,ENG-EPL,20-21
da052c14,35,Jordan Ayew,GHA,"FW,MF",Crystal Palace,28,1991,23.3,519,667,77.8,6434,1218,323,368,87.8,136,177,76.8,13,25,52.0,3,0.7,1.4,2.3,13,23,12,2,35,Matches,ENG-EPL,20-21
420d7c7d,36,Luke Ayling,ENG,DF,Leeds United,28,1991,37.8,2161,2770,78.0,39595,16160,910,1029,88.4,956,1148,83.3,248,451,55.0,0,3.2,3.2,-3.2,27,179,32,12,224,Matches,ENG-EPL,20-21
53cad200,37,César Azpilicueta,ESP,DF,Chelsea,30,1989,24.3,1787,2081,85.9,27154,9701,935,1012,92.4,739,822,89.9,62,134,46.3,2,2.5,2.4,-0.5,27,123,22,3,135,Matches,ENG-EPL,20-21
a1232f4e,38,Eric Bailly,CIV,DF,Manchester Utd,26,1994,10.2,497,564,88.1,9002,3349,185,200,92.5,268,299,89.6,37,49,75.5,0,0.0,0.1,0.0,0,26,0,0,37,Matches,ENG-EPL,20-21
3626f7d9,39,Fabián Balbuena,PAR,DF,West Ham,28,1991,13.3,362,488,74.2,7770,3294,105,127,82.7,199,225,88.4,55,119,46.2,0,0.0,0.1,0.0,0,30,1,0,30,Matches,ENG-EPL,20-21
394854c4,40,George Baldock,GRE,DF,Sheffield Utd,27,1993,31.0,888,1153,77.0,11908,3743,582,647,90.0,229,305,75.1,36,98,36.7,2,2.9,1.8,-0.9,18,47,23,7,75,Matches,ENG-EPL,20-21
a58bb1e1,41,Gareth Bale,WAL,FW,Tottenham,31,1989,10.2,285,416,68.5,5015,1496,142,173,82.1,87,126,69.0,41,72,56.9,2,1.8,1.2,0.2,21,24,17,3,43,Matches,ENG-EPL,20-21
93feac6e,42,Patrick Bamford,ENG,FW,Leeds United,26,1993,33.9,394,516,76.4,4378,832,238,290,82.1,85,111,76.6,6,10,60.0,7,3.5,1.7,3.5,30,18,11,1,31,Matches,ENG-EPL,20-21
1ae30132,43,Phil Bardsley,SCO,DF,Burnley,35,1985,3.0,104,162,64.2,1713,640,50,56,89.3,41,63,65.1,11,30,36.7,0,0.0,0.1,0.0,0,6,4,2,10,Matches,ENG-EPL,20-21
3a24769f,44,Ross Barkley,ENG,MF,Aston Villa,26,1993,17.0,640,795,80.5,10363,2800,330,383,86.2,214,255,83.9,65,97,67.0,1,4.2,2.4,-3.2,39,46,25,0,88,Matches,ENG-EPL,20-21
3a24769f,45,Ross Barkley,ENG,"FW,MF",Chelsea,26,1993,0.5,23,27,85.2,437,98,11,14,78.6,7,8,87.5,5,5,100.0,0,0.1,0.0,-0.1,1,1,1,0,2,Matches,ENG-EPL,20-21
2691c772,46,Ashley Barnes,ENG,FW,Burnley,30,1989,14.8,189,315,60.0,2362,506,124,170,72.9,38,63,60.3,8,22,36.4,0,0.8,0.8,-0.8,18,15,6,1,20,Matches,ENG-EPL,20-21
3ea50f67,47,Harvey Barnes,ENG,"FW,MF",Leicester City,22,1997,21.6,459,637,72.1,6331,1534,272,343,79.3,135,171,78.9,20,37,54.1,4,1.6,2.4,2.4,26,38,17,1,56,Matches,ENG-EPL,20-21
18e96f64,48,Kyle Bartley,ENG,DF,West Brom,29,1991,28.7,647,842,76.8,12274,4688,223,266,83.8,345,412,83.7,64,131,48.9,1,1.4,0.9,-0.4,7,47,4,0,44,Matches,ENG-EPL,20-21
1aa84968,49,Chris Basham,ENG,"DF,MF",Sheffield Utd,32,1988,28.6,939,1153,81.4,14844,4412,493,557,88.5,364,426,85.4,62,116,53.4,1,0.9,0.9,0.1,11,50,14,6,82,Matches,ENG-EPL,20-21
2973d8ff,50,Michy Batshuayi,BEL,FW,Crystal Palace,26,1993,8.1,122,174,70.1,1523,293,81,99,81.8,30,37,81.1,3,5,60.0,1,1.6,1.0,-0.6,9,8,5,0,13,Matches,ENG-EPL,20-21
4115ce4e,51,Jan Bednarek,POL,DF,Southampton,24,1996,34.4,1734,2115,82.0,29051,11094,792,885,89.5,795,893,89.0,108,269,40.1,1,0.6,1.0,0.4,5,77,3,0,76,Matches,ENG-EPL,20-21
50dc94ce,52,Donny van de Beek,NED,"MF,FW",Manchester Utd,23,1997,5.8,237,275,86.2,3308,739,146,163,89.6,74,80,92.5,8,12,66.7,1,0.9,0.8,0.1,3,12,1,0,16,Matches,ENG-EPL,20-21
f874dd44,53,Héctor Bellerín,ESP,"DF,MF",Arsenal,25,1995,23.2,1080,1324,81.6,15904,4280,603,676,89.2,416,497,83.7,31,54,57.4,2,2.4,2.6,-0.4,20,69,26,9,108,Matches,ENG-EPL,20-21
5a04fd92,54,Saïd Benrahma,ALG,"FW,MF",West Ham,24,1995,15.5,411,536,76.7,5618,1648,251,279,90.0,120,161,74.5,17,46,37.0,6,4.1,3.2,1.9,27,43,20,8,60,Matches,ENG-EPL,20-21
bf3aeb61,55,Josh Benson,ENG,MF,Burnley,20,1999,2.9,62,85,72.9,738,273,37,38,97.4,15,24,62.5,2,7,28.6,0,0.0,0.1,0.0,0,7,0,0,6,Matches,ENG-EPL,20-21
ab070c55,56,Christian Benteke,BEL,FW,Crystal Palace,29,1990,20.2,339,583,58.1,4059,800,229,359,63.8,63,124,50.8,14,19,73.7,1,0.9,1.0,0.1,15,27,11,1,36,Matches,ENG-EPL,20-21
5348aada,57,Gaetano Berardi,SUI,DF,Leeds United,31,1988,1.3,50,63,79.4,785,388,24,27,88.9,23,28,82.1,2,5,40.0,0,0.0,0.0,0.0,0,2,1,0,2,Matches,ENG-EPL,20-21
f72293fc,58,Jóhann Berg Guðmundsson,ISL,MF,Burnley,29,1990,15.1,355,473,75.1,5201,1224,206,243,84.8,100,131,76.3,28,61,45.9,0,0.5,0.8,-0.5,9,25,12,4,31,Matches,ENG-EPL,20-21
d0b6129f,59,Sander Berge,NOR,MF,Sheffield Utd,22,1998,12.4,378,464,81.5,5944,1357,198,229,86.5,138,154,89.6,28,45,62.2,1,1.1,0.8,-0.1,13,28,4,2,39,Matches,ENG-EPL,20-21
a29b1131,60,Steven Bergwijn,NED,"FW,MF",Tottenham,22,1997,13.4,350,430,81.4,4248,714,228,254,89.8,90,117,76.9,4,17,23.5,3,0.9,0.8,2.1,13,15,8,0,25,Matches,ENG-EPL,20-21
ab4b3e35,61,Bernard,BRA,"MF,FW",Everton,27,1992,5.1,219,270,81.1,3230,813,116,129,89.9,81,96,84.4,11,18,61.1,0,0.6,0.8,-0.6,10,17,11,3,37,Matches,ENG-EPL,20-21
17370b95,62,Bernardo,BRA,"DF,MF",Brighton,25,1995,2.3,61,85,71.8,878,251,38,45,84.4,17,22,77.3,2,4,50.0,0,0.1,0.1,-0.1,2,3,3,1,9,Matches,ENG-EPL,20-21
01226327,63,Ryan Bertrand,ENG,DF,Southampton,30,1989,28.9,1186,1569,75.6,17245,6420,675,773,87.3,417,537,77.7,45,141,31.9,1,1.3,2.0,-0.3,14,64,22,6,101,Matches,ENG-EPL,20-21
6c203af0,64,Yves Bissouma,MLI,MF,Brighton,23,1996,34.6,1476,1697,87.0,25694,5672,637,693,91.9,661,725,91.2,135,189,71.4,0,0.9,1.4,-0.9,16,145,16,1,146,Matches,ENG-EPL,20-21
ae5019e6,65,Jayden Bogle,ENG,"DF,MF",Sheffield Utd,20,2000,12.3,296,387,76.5,3834,1410,189,214,88.3,71,96,74.0,8,28,28.6,0,0.2,0.4,-0.2,4,14,9,1,24,Matches,ENG-EPL,20-21
a4ac4b8f,66,Willy Boly,CIV,DF,Wolves,29,1991,20.9,855,1037,82.4,14746,5591,339,389,87.1,430,479,89.8,58,125,46.4,1,0.3,0.3,0.7,3,49,1,0,44,Matches,ENG-EPL,20-21
79c84d1c,67,Jarrod Bowen,ENG,"FW,MF",West Ham,23,1996,28.5,493,752,65.6,8489,1874,237,301,78.7,162,226,71.7,63,128,49.2,5,5.0,4.1,0.0,29,22,21,6,44,Matches,ENG-EPL,20-21
96bb8cc2,68,Robbie Brady,IRL,MF,Burnley,28,1992,11.7,257,403,63.8,4172,1284,151,182,83.0,68,109,62.4,30,74,40.5,1,0.9,0.6,0.1,7,23,6,4,26,Matches,ENG-EPL,20-21
30e81a88,69,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,20,2000,12.5,157,225,69.8,2231,556,98,125,78.4,37,54,68.5,12,22,54.5,0,1.6,0.6,-1.6,11,15,4,3,20,Matches,ENG-EPL,20-21
43309491,70,Nathan Broadhead,WAL,FW,Everton,22,1998,0.0,2,2,100.0,14,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ENG-EPL,20-21
47369df8,71,Josh Brownhill,ENG,MF,Burnley,24,1995,31.3,927,1198,77.4,12848,3119,561,644,87.1,252,330,76.4,57,113,50.4,1,0.7,1.4,0.3,18,64,16,2,83,Matches,ENG-EPL,20-21
af69e7f0,72,Joe Bryan,ENG,"DF,MF",Fulham,26,1993,7.4,298,430,69.3,4684,1996,160,188,85.1,112,147,76.2,18,62,29.0,0,0.3,0.4,-0.3,5,27,5,3,31,Matches,ENG-EPL,20-21
c684d3c9,73,Kean Bryan,ENG,DF,Sheffield Utd,23,1996,11.2,333,486,68.5,5901,2652,151,179,84.4,140,183,76.5,32,94,34.0,0,0.6,0.1,-0.6,4,24,3,2,22,Matches,ENG-EPL,20-21
f631c17f,74,Oliver Burke,SCO,FW,Sheffield Utd,23,1997,14.1,178,262,67.9,1997,309,114,150,76.0,31,45,68.9,4,8,50.0,1,2.2,1.5,-1.2,15,5,10,0,19,Matches,ENG-EPL,20-21
b2d31e83,75,Dan Burn,ENG,DF,Brighton,28,1992,22.9,954,1280,74.5,14625,4510,508,616,82.5,365,461,79.2,53,126,42.1,0,0.8,1.0,-0.8,10,75,14,7,87,Matches,ENG-EPL,20-21
cc70a1d5,76,Jack Butland,ENG,GK,Crystal Palace,27,1993,1.0,6,22,27.3,215,178,1,1,100.0,2,2,100.0,3,18,16.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches,ENG-EPL,20-21
e608ed4c,77,David Button,ENG,GK,West Brom,31,1989,1.0,18,37,48.6,693,571,2,2,100.0,5,5,100.0,11,30,36.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches,ENG-EPL,20-21
aa6f2f2c,78,Oskar Buur,DEN,DF,Wolves,22,1998,0.2,14,15,93.3,204,40,5,5,100.0,8,8,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ENG-EPL,20-21
a179d516,79,Willy Caballero,ARG,GK,Chelsea,38,1981,1.0,24,26,92.3,449,362,9,9,100.0,12,12,100.0,3,5,60.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ENG-EPL,20-21
7914b9fe,80,Gary Cahill,ENG,DF,Crystal Palace,34,1985,20.0,615,748,82.2,11797,4658,230,272,84.6,310,340,91.2,64,116,55.2,1,0.6,1.0,0.4,8,35,2,0,46,Matches,ENG-EPL,20-21
a8748947,81,Tom Cairney,SCO,MF,Fulham,29,1991,8.4,560,632,88.6,9963,2060,247,258,95.7,226,246,91.9,69,96,71.9,1,1.1,1.1,-0.1,17,51,10,6,72,Matches,ENG-EPL,20-21
59e6e5bf,82,Dominic Calvert-Lewin,ENG,FW,Everton,23,1997,31.9,469,691,67.9,6095,1186,287,388,74.0,112,167,67.1,21,28,75.0,0,2.0,2.1,-2.0,18,36,12,1,46,Matches,ENG-EPL,20-21
bd6351cd,83,João Cancelo,POR,"DF,MF",Manchester City,26,1994,25.5,1815,2128,85.3,27535,7458,1038,1117,92.9,603,711,84.8,117,180,65.0,3,4.6,5.6,-1.6,42,142,68,8,200,Matches,ENG-EPL,20-21
b581987a,84,Andy Carroll,ENG,FW,Newcastle Utd,31,1989,4.4,85,139,61.2,1186,322,57,83,68.7,20,27,74.1,6,11,54.5,0,0.1,0.2,-0.1,2,11,3,0,12,Matches,ENG-EPL,20-21
3e1550ee,85,Scott Carson,ENG,GK,Manchester City,34,1985,1.0,15,16,93.8,270,190,3,3,100.0,11,11,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ENG-EPL,20-21
966e28d0,86,Fabio Carvalho,POR,"MF,FW",Fulham,17,2002,2.8,67,89,75.3,883,100,43,50,86.0,17,22,77.3,3,4,75.0,0,0.4,0.3,-0.4,2,2,2,0,6,Matches,ENG-EPL,20-21
2389cdc2,87,Matty Cash,POL,DF,Aston Villa,22,1997,26.4,959,1320,72.7,16255,6050,478,542,88.2,361,480,75.2,101,244,41.4,2,1.7,1.7,0.3,21,73,23,19,76,Matches,ENG-EPL,20-21
58bc7d18,88,Kiko Casilla,ESP,GK,Leeds United,33,1986,3.0,87,98,88.8,1824,1175,27,27,100.0,43,45,95.6,16,25,64.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ENG-EPL,20-21
197640fd,89,Timothy Castagne,BEL,DF,Leicester City,24,1995,26.1,1284,1545,83.1,18542,6211,754,838,90.0,443,524,84.5,54,101,53.5,3,2.2,1.3,0.8,22,96,22,7,91,Matches,ENG-EPL,20-21
e28868f3,90,Jonny Castro,ESP,"MF,DF",Wolves,26,1994,5.5,185,243,76.1,2425,803,123,141,87.2,49,64,76.6,6,17,35.3,0,0.1,0.1,-0.1,2,6,0,0,16,Matches,ENG-EPL,20-21
979b811d,91,Ivan Cavaleiro,POR,FW,Fulham,26,1993,27.5,589,857,68.7,8802,2103,317,395,80.3,179,257,69.6,46,100,46.0,0,2.7,2.4,-2.7,43,26,32,12,63,Matches,ENG-EPL,20-21
527f063d,92,Edinson Cavani,URU,FW,Manchester Utd,33,1987,15.3,264,343,77.0,3854,561,141,178,79.2,84,102,82.4,17,20,85.0,3,2.2,1.6,0.8,14,16,9,1,30,Matches,ENG-EPL,20-21
c0617e2b,93,Dani Ceballos,ESP,MF,Arsenal,23,1996,17.9,1126,1310,86.0,19849,5172,504,559,90.2,476,521,91.4,118,165,71.5,3,2.6,2.1,0.4,27,125,18,4,150,Matches,ENG-EPL,20-21
