Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,league,season
Group stage,1,Wed,2021-09-15,17:30,Spartak Moscow,2.0,0–1,1.3,Legia Warsaw,6832,Stadion Akademii imeni Cherenkova № 4,Nikola Dabanović,/en/matches/7f1315ed/Spartak-Moscow-Legia-Warsaw-September-15-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,18:45,Betis,2.3,4–3,2.6,Celtic,30893,Estadio Benito Villamarín,Fran Jović,/en/matches/1b5101b4/Real-Betis-Celtic-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,18:45,Rapid Wien,0.5,0–1,1.4,Genk,18400,Gerhard-Hanappi-Stadion,Kristo Tohver,/en/matches/274537d1/Rapid-Wien-Genk-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,18:45,Red Star,1.3,2–1,0.9,Braga,24671,Stadion Rajko Mitić,John Beaton,/en/matches/4319d5f5/Red-Star-Belgrade-Braga-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,18:45,Leverkusen,2.2,2–1,1.3,Ferencváros,11013,BayArena,Andris Treimanis,/en/matches/480bc723/Bayer-Leverkusen-Ferencvaros-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,18:45,Midtjylland,1.8,1–1,0.5,Ludogorets,6568,MCH Arena,Chang Ssu-yu,/en/matches/b5678209/Midtjylland-Ludogorets-Razgrad-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,18:45,Dinamo Zagreb,0.4,0–2,1.9,West Ham,12344,Stadion Maksimir,Ruddy Buquet,/en/matches/e7e7f198/Dinamo-Zagreb-West-Ham-United-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,19:45,Loko Moscow,0.2,1–1,2.4,Marseille,8100,RZD Arena,Irfan Peljto,/en/matches/8b2adf45/Lokomotiv-Moscow-Marseille-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,19:45,Galatasaray,0.9,1–0,1.2,Lazio,15353,Ali Sami Yen Stadyumu,Matej Jug,/en/matches/ed618d9b/Galatasaray-Lazio-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,20:00,Rangers,0.6,0–2,1.1,Lyon,44906,Ibrox Stadium,Andreas Ekberg,/en/matches/90a8e1dd/Rangers-Lyon-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,20:00,Leicester City,0.7,2–2,2.1,Napoli,29579,King Power Stadium,Tiago Martins,/en/matches/ca7a900a/Leicester-City-Napoli-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,21:00,PSV Eindhoven,1.5,2–2,1.3,Real Sociedad,23135,Philips Stadion,William Collum,/en/matches/62f0f7dc/PSV-Eindhoven-Real-Sociedad-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,21:00,Brøndby,0.3,0–0,0.9,Sparta Prague,18867,Brøndby Stadion,Aleksandar Stavrev,/en/matches/98c3bd13/Brondby-Sparta-Prague-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,21:00,Eint Frankfurt,1.0,1–1,2.4,Fenerbahçe,25000,Deutsche Bank Park,Maurizio Mariani,/en/matches/df076ec8/Eintracht-Frankfurt-Fenerbahce-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,21:00,Monaco,1.9,1–0,0.1,Sturm Graz,2941,Stade Louis II,Donatas Rumšas,/en/matches/f24cac05/Monaco-Sturm-Graz-September-16-2021-Europa-League,,UEL,21-22
Group stage,1,Thu,2021-09-16,22:00,Olympiacos,1.2,2–1,1.6,Antwerp,15615,Stadio Georgios Karaiskáki,Tamás Bognár,/en/matches/e0c5a31a/Olympiacos-Antwerp-September-16-2021-Europa-League,,UEL,21-22
Group stage,2,Thu,2021-09-30,18:45,Lyon,3.8,3–0,0.7,Brøndby,25466,Groupama Stadium,Harald Lechner,/en/matches/1a89c989/Lyon-Brondby-September-30-2021-Europa-League,,UEL,21-22
