id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,league,season
774cf58b,1,Max Aarons,ENG,DF,Bournemouth,23,2000,20,1237,62,36.2,13.7,13,85,9,7,19,5,0.8,12,34,-22,-1.6,-1.97,14.2,27.1,-12.8,-0.94,-1.37,Matches,ENG-EPL,23-24
b7e62e1d,2,Joshua Acheampong,ENG,DF,Chelsea,17,2006,1,6,6,0.2,0.1,0,,0,1,6,3,3.0,0,0,0,0.0,-0.37,0.0,0.6,-0.5,-7.7,-8.15,Matches,ENG-EPL,23-24
77816c91,3,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,20,2002,8,387,48,11.3,4.3,3,86,1,5,26,11,0.13,2,13,-11,-2.56,-0.84,3.1,11.5,-8.4,-1.96,-1.08,Matches,ENG-EPL,23-24
2b09d998,4,Tyler Adams,USA,MF,Bournemouth,24,1999,3,121,40,3.5,1.3,1,90,1,2,16,2,2.0,4,3,1,0.74,1.13,2.1,1.5,0.6,0.43,0.51,Matches,ENG-EPL,23-24
c81d773d,5,Tosin Adarabioyo,ENG,DF,Fulham,25,1997,20,1617,81,47.3,18.0,18,90,17,2,2,2,1.4,28,25,3,0.17,0.62,27.6,28.0,-0.5,-0.03,0.56,Matches,ENG-EPL,23-24
c150b220,6,Tayo Adaramola,IRL,DF,Crystal Palace,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,ENG-EPL,23-24
0480ebc7,7,Elijah Adebayo,ENG,FW,Luton Town,25,1998,27,1419,53,41.5,15.8,16,77,5,11,16,0,0.78,30,36,-6,-0.38,0.83,22.2,28.4,-6.3,-0.4,0.92,Matches,ENG-EPL,23-24
1b5344ef,8,Val Adedokun,IRL,FW,Brentford,20,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,ENG-EPL,23-24
4dcec659,9,Simon Adingra,CIV,FW,Brighton,21,2002,31,2222,72,65.0,24.7,25,83,10,6,26,1,1.19,34,38,-4,-0.16,0.06,33.9,35.9,-2.0,-0.08,-0.34,Matches,ENG-EPL,23-24
f76e6b4e,10,Adrián,ESP,GK,Liverpool,36,1987,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches,ENG-EPL,23-24
