Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,team,id
2023-08-12,17:30:00,Premier League,Matchweek 1,Sat,Away,L,1,5,Newcastle Utd,1.8,3.3,48,52207,John McGinn,4-2-3-1,4-3-3,Andy Madley,/en/matches/8ff2f8fe/Newcastle-United-Aston-Villa-August-12-2023-Premier-League,,23-24,Aston Villa,8602292d
2023-08-20,14:00:00,Premier League,Matchweek 2,Sun,Home,W,4,0,Everton,2.9,0.6,60,41694,John McGinn,4-2-3-1,4-1-4-1,Anthony Taylor,/en/matches/959b558d/Aston-Villa-Everton-August-20-2023-Premier-League,,23-24,Aston Villa,8602292d
2023-08-23,17:45:00,Conf Lg,Play-off round,Wed,Away,W,5,0,Hibernian,,,,19306,John McGinn,4-1-4-1,3-4-1-2,Ricardo de Burgos,/en/matches/f36a1b2f/Hibernian-Aston-Villa-August-23-2023-Europa-Conference-League,Leg 1 of 2,23-24,Aston Villa,8602292d
2023-08-27,14:00:00,Premier League,Matchweek 3,Sun,Away,W,3,1,Burnley,2.5,0.7,43,21591,John McGinn,3-4-3,4-4-2,Michael Salisbury,/en/matches/b66a7def/Burnley-Aston-Villa-August-27-2023-Premier-League,,23-24,Aston Villa,8602292d
2023-08-31,20:00:00,Conf Lg,Play-off round,Thu,Home,W,3,0,Hibernian,,,,39467,Douglas Luiz,4-4-2,4-4-2,Luca Pairetto,/en/matches/5cc4d456/Aston-Villa-Hibernian-August-31-2023-Europa-Conference-League,Leg 2 of 2; Aston Villa won,23-24,Aston Villa,8602292d
2023-09-03,14:00:00,Premier League,Matchweek 4,Sun,Away,L,0,3,Liverpool,0.7,2.5,37,50109,John McGinn,4-4-2,4-3-3,Simon Hooper,/en/matches/bdbc722e/Liverpool-Aston-Villa-September-3-2023-Premier-League,,23-24,Aston Villa,8602292d
2023-09-16,15:00:00,Premier League,Matchweek 5,Sat,Home,W,3,1,Crystal Palace,3.0,1.2,66,40809,John McGinn,4-2-3-1,4-4-1-1,Darren England,/en/matches/bc77340e/Aston-Villa-Crystal-Palace-September-16-2023-Premier-League,,23-24,Aston Villa,8602292d
2023-09-21,18:45:00,Conf Lg,Group stage,Thu,Away,L,2,3,Legia Warsaw,1.5,1.7,60,27801,John McGinn,4-2-3-1,3-4-3,Evangelos Manouhos,/en/matches/59e37c79/Legia-Warsaw-Aston-Villa-September-21-2023-Europa-Conference-League,,23-24,Aston Villa,8602292d
2023-09-24,14:00:00,Premier League,Matchweek 6,Sun,Away,W,1,0,Chelsea,1.0,1.3,47,39700,John McGinn,4-2-3-1,4-2-3-1,Jarred Gillett,/en/matches/7d2c5e05/Chelsea-Aston-Villa-September-24-2023-Premier-League,,23-24,Aston Villa,8602292d
2023-09-27,19:45:00,EFL Cup,Third round,Wed,Home,L,1,2,Everton,,,68,23851,John McGinn,4-2-3-1,3-4-3,Tony Harrington,/en/matches/91394c43/Aston-Villa-Everton-September-27-2023-EFL-Cup,,23-24,Aston Villa,8602292d
