id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
47064058,1,Oliver Baumann,GER,GK,Hoffenheim,34-089,1990,1,2,0,0,0,0,1.8,0.4,-0.2,-0.18,7,17,41.2,30,4,40.0,37.9,9,55.6,46.3,19,0,0.0,2,2,12.7,Matches,GER-BL1,24-25
a8403737,2,Patrick Drewes,GER,GK,Bochum,31-208,1993,1,1,0,0,0,0,0.5,0.15,-0.5,-0.54,12,27,44.4,27,2,66.7,43.4,11,81.8,55.5,19,1,5.3,0,0,5.0,Matches,GER-BL1,24-25
62182b1d,3,Kamil Grabara,POL,GK,Wolfsburg,25-235,1999,1,3,0,0,0,1,2.9,0.37,0.9,0.85,13,32,40.6,41,1,75.6,46.3,1,100.0,65.0,13,0,0.0,0,0,3.3,Matches,GER-BL1,24-25
bcb2ccd8,4,Péter Gulácsi,HUN,GK,RB Leipzig,34-116,1990,1,0,0,0,0,0,0.9,0.29,0.9,0.86,2,5,40.0,29,3,13.8,28.5,3,33.3,33.7,7,1,14.3,0,0,13.5,Matches,GER-BL1,24-25
ad3389d5,5,Lukáš Hrádecký,FIN,GK,Leverkusen,34-280,1989,1,2,0,0,0,0,2.3,0.36,0.3,0.33,2,8,25.0,22,4,27.3,30.9,2,100.0,53.5,12,1,8.3,0,0,12.0,Matches,GER-BL1,24-25
cd59b9df,6,Gregor Kobel,SUI,GK,Dortmund,26-268,1997,1,0,0,0,0,0,0.3,0.15,0.3,0.3,2,4,50.0,36,6,11.1,22.1,3,0.0,21.3,15,1,6.7,1,1,9.3,Matches,GER-BL1,24-25
208fc867,7,Nediljko Labrović,CRO,GK,Augsburg,24-325,1999,1,2,0,0,0,0,0.8,0.17,-1.2,-1.15,5,13,38.5,30,7,30.0,33.6,4,100.0,59.8,14,0,0.0,1,1,11.0,Matches,GER-BL1,24-25
cbac6ec9,8,Florian Müller,GER,GK,Freiburg,26-291,1997,1,1,0,0,1,0,0.9,0.46,-0.1,-0.07,4,18,22.2,24,1,54.2,39.2,6,83.3,58.2,17,0,0.0,1,1,21.0,Matches,GER-BL1,24-25
f256f213,9,Kevin Müller,GER,GK,Heidenheim,33-168,1991,1,0,0,0,0,0,0.7,0.23,0.7,0.69,8,22,36.4,28,2,50.0,40.9,12,66.7,46.8,18,1,5.6,0,0,10.0,Matches,GER-BL1,24-25
8778c910,10,Manuel Neuer,GER,GK,Bayern Munich,38-156,1986,1,2,1,0,0,0,1.8,0.47,-0.2,-0.16,4,10,40.0,66,8,13.6,24.7,1,100.0,40.0,10,1,10.0,2,2,26.7,Matches,GER-BL1,24-25
afb0c500,11,Alexander Nübel,GER,GK,Stuttgart,27-335,1996,1,3,0,0,1,0,2.0,0.5,-1.0,-1.04,1,4,25.0,30,6,10.0,20.8,5,20.0,28.8,9,0,0.0,1,1,20.0,Matches,GER-BL1,24-25
c631f952,12,Jonas Omlin,SUI,GK,Gladbach,30-233,1994,1,3,0,0,0,0,2.3,0.14,-0.7,-0.66,6,16,37.5,49,5,26.5,29.5,5,60.0,38.8,16,0,0.0,0,0,13.5,Matches,GER-BL1,24-25
a70b8345,13,Frederik Rønnow,DEN,GK,Union Berlin,32-026,1992,1,1,0,1,0,0,0.8,0.28,-0.2,-0.16,16,25,64.0,28,4,67.9,44.9,7,85.7,61.3,15,1,6.7,0,0,7.3,Matches,GER-BL1,24-25
ce17b5eb,14,Kevin Trapp,GER,GK,Eint Frankfurt,34-053,1990,1,2,0,0,0,0,1.3,0.25,-0.7,-0.75,1,5,20.0,21,5,19.0,24.7,6,16.7,23.0,20,1,5.0,0,0,2.0,Matches,GER-BL1,24-25
f038585f,15,Nikola Vasilj,BIH,GK,St. Pauli,28-272,1995,1,2,0,0,1,0,1.8,0.6,-0.2,-0.2,5,10,50.0,48,4,20.8,27.2,1,0.0,27.0,10,0,0.0,2,2,22.5,Matches,GER-BL1,24-25
1fb2d1b0,16,Timon Weiner,GER,GK,Holstein Kiel,25-225,1999,1,3,1,0,0,0,3.8,0.37,0.8,0.78,8,17,47.1,37,4,43.2,33.8,3,33.3,34.3,17,2,11.8,0,0,6.0,Matches,GER-BL1,24-25
5c4bf6ba,17,Robin Zentner,GER,GK,Mainz 05,29-307,1994,1,1,0,0,0,0,0.9,0.19,-0.1,-0.07,8,15,53.3,26,8,38.5,35.2,9,55.6,51.9,21,2,9.5,3,3,14.2,Matches,GER-BL1,24-25
9b688ae1,18,Michael Zetterer,GER,GK,Werder Bremen,29-049,1995,1,2,0,0,0,0,1.5,0.49,-0.5,-0.54,3,8,37.5,30,9,20.0,32.1,10,20.0,32.9,15,1,6.7,1,1,15.3,Matches,GER-BL1,24-25
