id,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0,Unnamed: league,Unnamed: season
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,league,season
a9eaccda,1,Simone Aresti,ITA,GK,Cagliari,37,1986,0.0,1,1,0,0,0,1.0,0.0,0.0,-1.21,0,1,0.0,1,0,100.0,64.0,0,,,3,0,0.0,0,0.0,,Matches,ITA-SERIA_A,23-24
649b01d8,2,Emil Audero,ITA,GK,Inter,26,1997,3.7,3,0,0,0,0,3.1,0.28,0.1,0.02,6,24,25.0,177,28,11.9,24.6,18,16.7,27.2,54,6,11.1,2,0.53,10.2,Matches,ITA-SERIA_A,23-24
ad263695,3,Nicola Bagnolini,ITA,GK,Bologna,19,2004,0.1,0,0,0,0,0,0.0,0.02,0.0,0.36,1,2,50.0,1,0,100.0,47.0,2,50.0,53.0,0,0,,0,0.0,,Matches,ITA-SERIA_A,23-24
ee833569,4,Etrit Berisha,ALB,GK,Empoli,34,1989,14.0,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33.0,90,50.0,40.8,236,11,4.7,10,0.71,12.4,Matches,ITA-SERIA_A,23-24
97d7afbd,5,Elia Caprile,ITA,GK,Empoli,21,2001,23.0,27,4,0,5,0,27.6,0.22,0.6,0.02,117,350,33.4,657,137,40.3,36.8,159,53.5,45.1,391,31,7.9,20,0.87,13.3,Matches,ITA-SERIA_A,23-24
8ec56e62,6,Marco Carnesecchi,ITA,GK,Atalanta,23,2000,26.9,30,4,0,2,0,29.3,0.22,-0.7,-0.03,121,338,35.8,680,142,30.6,33.8,193,67.4,51.7,332,20,6.0,39,1.45,14.7,Matches,ITA-SERIA_A,23-24
efdeaff3,7,Michele Cerofolini,ITA,GK,Frosinone,24,1999,7.5,11,0,0,1,1,5.9,0.22,-4.1,-0.55,18,100,18.0,171,28,47.4,37.2,38,50.0,42.8,126,4,3.2,7,0.93,14.3,Matches,ITA-SERIA_A,23-24
af104654,8,Oliver Christensen,DEN,GK,Fiorentina,24,1999,4.0,9,2,0,0,0,4.7,0.15,-4.3,-1.08,23,61,37.7,170,15,31.8,31.0,20,35.0,33.7,32,1,3.1,9,2.25,19.5,Matches,ITA-SERIA_A,23-24
8cabdc1e,9,Andrea Consigli,ITA,GK,Sassuolo,36,1987,35.0,68,7,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,545,23,4.2,22,0.63,11.8,Matches,ITA-SERIA_A,23-24
e95069bb,10,Nikita Contini Baranovsky,ITA,GK,Napoli,27,1996,0.2,0,0,0,0,0,0.0,,0.0,0.0,0,0,,3,1,0.0,17.0,1,0.0,15.0,1,0,0.0,3,15.88,37.0,Matches,ITA-SERIA_A,23-24
2434f24a,11,Benoît Costil,FRA,GK,Salernitana,36,1987,13.0,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48.0,37.0,104,70.2,51.1,212,2,0.9,19,1.46,18.2,Matches,ITA-SERIA_A,23-24
f554e29b,12,Alessio Cragno,ITA,GK,Sassuolo,29,1994,3.0,7,1,1,1,1,5.1,0.3,-0.9,-0.28,17,45,37.8,78,11,50.0,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6,Matches,ITA-SERIA_A,23-24
7a4050d5,13,Raffaele Di Gennaro,ITA,GK,Inter,29,1993,0.3,0,0,0,0,0,0.5,0.13,0.5,2.08,1,2,50.0,15,3,13.3,25.2,1,0.0,10.0,4,0,0.0,0,0.0,,Matches,ITA-SERIA_A,23-24
4e0c8d66,14,Michele Di Gregorio,ITA,GK,Monza,26,1997,31.9,35,3,1,5,0,45.4,0.26,10.4,0.33,179,430,41.6,1126,201,27.8,30.6,223,52.5,44.2,469,19,4.1,18,0.56,11.5,Matches,ITA-SERIA_A,23-24
9f5a610b,15,Wladimiro Falcone,ITA,GK,Lecce,28,1995,38.0,54,5,1,7,1,53.2,0.28,0.2,0.01,152,489,31.1,893,159,42.6,34.9,248,44.0,35.2,522,20,3.8,20,0.53,11.0,Matches,ITA-SERIA_A,23-24
a2565f79,16,Vincenzo Fiorillo,ITA,GK,Salernitana,33,1990,4.0,8,0,0,4,0,7.3,0.28,-0.7,-0.18,27,96,28.1,72,9,68.1,44.9,54,87.0,56.6,77,4,5.2,1,0.25,7.6,Matches,ITA-SERIA_A,23-24
53e494ec,17,Luca Gemello,ITA,GK,Torino,23,2000,2.0,5,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,24,3,12.5,3,1.5,12.0,Matches,ITA-SERIA_A,23-24
f0f7f62f,18,Pierluigi Gollini,ITA,GK,Napoli,28,1995,7.0,8,0,0,1,0,8.2,0.34,0.2,0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2,Matches,ITA-SERIA_A,23-24
5f9970a0,19,Nicola Leali,ITA,GK,Genoa,30,1993,2.0,2,0,0,0,0,2.8,0.31,0.8,0.4,18,48,37.5,62,3,69.4,44.7,10,50.0,40.6,27,2,7.4,1,0.51,15.2,Matches,ITA-SERIA_A,23-24
fcb38f57,20,Mike Maignan,FRA,GK,Milan,28,1995,29.0,34,7,2,3,0,29.8,0.19,-4.2,-0.14,119,284,41.9,1070,188,21.1,28.2,147,39.5,38.0,339,37,10.9,36,1.24,15.2,Matches,ITA-SERIA_A,23-24
f794e9ab,21,Christos Mandas,GRE,GK,Lazio,21,2001,8.0,6,0,0,2,0,7.0,0.25,1.0,0.12,38,114,33.3,240,29,42.5,37.7,29,41.4,37.9,99,6,6.1,5,0.62,13.1,Matches,ITA-SERIA_A,23-24
968ddd14,22,Tommaso Martinelli,ITA,GK,Fiorentina,17,2006,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,ITA-SERIA_A,23-24
